"","beta0.1","beta0.2","beta0.3"
"327",5.0532380705778,5.03843227878467,5.1836928673676
"328",5.13097002173825,4.9596723676882,4.92663917913368
"329",4.94407623947217,5.04245003999956,5.17228251014221
"330",5.02391248012687,5.04859707127742,5.07687076591354
"331",5.0626688782239,5.06076752982367,5.11214004315415
"332",5.06459412993277,4.8839508558844,5.14543855175004
"333",4.89849077218984,4.83660234785027,5.1642924856487
"334",4.90779056380005,5.01037269652207,5.04076395474357
"335",4.85857047112087,4.89301122406685,4.99422652494036
"336",5.01591178986481,4.99576621143901,5.16922739618775
"337",4.98282371129602,5.027058477806,5.21030311912726
"338",4.97754525040004,5.03116686030204,5.07488238278376
"339",4.99035543323042,4.88978005401463,4.99621576364178
"340",5.12620413138592,4.92636043010836,5.0918492232417
"341",4.86996854452122,4.7746906725152,5.22355457230904
"342",4.85857047112087,4.89301122406685,4.99422652494036
"343",4.90875229236031,4.99929292753007,5.12628405692123
"344",5.06324217463624,5.05161869080531,5.062543191912
"345",5.05657841292341,4.91140841224236,5.08743753810463
"346",4.78431897650871,4.96417661180054,5.20024254612578
"347",4.8544507008223,4.91182983075033,5.06990700766147
"348",5.00001454895895,4.92015667506825,5.05199028293531
"349",5.10238081288402,4.97163598993401,4.96511028155763
"350",5.14096562278247,4.85168330061394,5.13221979312085
"351",5.07841776926391,5.22165067904263,5.19703188457228
"352",4.99430097140641,4.84822538243378,5.08852806299879
"353",4.80463864552913,4.95871077006694,5.00841193774048
"354",4.94869129655566,4.99323133129001,5.29136573193244
"355",5.12620413138592,4.92636043010836,5.0918492232417
"356",4.82674271750272,4.85557301660033,5.20934853429877
"357",4.94015421015145,5.3026617060857,4.99900450649965
"358",4.73928836147929,4.87298325194485,5.12823867424053
"359",5.02402524605425,4.99618466373411,5.16144174254794
"360",4.99952753956492,5.0972616630528,4.99357020948515
"361",4.94376463663329,5.02528077957881,5.06862126122352
"362",5.01013376402071,4.86727534017383,5.07317158566614
"363",5.14884446403904,4.9280827084637,5.16161686775267
"364",4.76284326099748,5.06901446209689,5.12414472244959
"365",4.94376463663329,5.02528077957881,5.06862126122352
"366",4.9935797802928,5.18977529138755,5.26596769938098
"367",4.88277932566731,4.94772171987232,5.05660849968442
"368",4.92915401416395,5.0782859075162,5.1621365365958
"369",5.07331185516277,4.9518613277176,5.02834964071908
"370",5.02439803544467,4.6952408226069,5.05485058362823
"371",4.91903671849334,4.9479363845686,5.18200812150612
"372",5.04725969448324,4.98142587871936,5.13073302086019
"373",4.93744699971097,4.8247033265431,5.15432303469867
"374",4.84897665279193,5.09864024403199,5.08522882904073
"375",4.99798612721307,4.88464042812756,5.09333667383063
"376",5.00001454895895,4.92015667506825,5.05199028293531
"377",4.94376463663329,5.02528077957881,5.06862126122352
"378",4.98408752826436,4.93821295012409,4.99737317831566
"379",4.91620520299801,5.03156813702504,5.16515651079958
"380",4.87125637488828,4.8326278635119,5.07883029020688
"381",4.70004797594763,5.1284632772021,5.11899701157101
"382",5.04632408328581,5.09604300681255,5.10006242818023
"383",4.89784348382284,4.91242915914898,5.08321055671583
"384",4.96796518469265,4.9394314402074,5.029901302097
"385",4.9784935259096,4.87504314380289,4.99379945809661
"386",5.1244825724177,4.86276004679715,5.10675564949592
"387",4.895927573198,5.09508392900083,5.03426078987579
"388",5.08346592805133,4.91999324975464,4.90550144608848
"389",4.85360159134426,5.01073972977332,5.14474099676409
