"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.961807048119958,0.969417742296685,0.995753895845319,0.962045895044923,1.00297696591839,0.998438879548851,0.972167384857327,0.998727305206022
"2",0.904492578997527,0.918911858551147,0.963917222465463,0.91289304124382,0.972935633325598,0.969011993475212,0.924508706555549,0.976131356870042
"3",0.971655004258924,0.977229792253386,0.993421008042395,0.968549650139946,0.99946641426532,0.995176823358807,0.977280898571879,0.993907935928054
"4",0.983907105891289,0.985610293045153,0.987100257666053,0.980074863085084,0.989614841834644,0.988750202477404,0.986674791487475,0.986715040503139
"5",0.962350985525619,0.966252235449575,0.98535302573167,0.960409780494448,0.989966231952343,0.986920598731728,0.967908599994453,0.986285631942286
"6",0.973376486991331,0.976988149822694,0.991602278061698,0.970571383747996,0.995802016754472,0.994400469779984,0.979541599844761,0.990829553958992
"7",0.956790391755554,0.963215300725471,0.982031928779346,0.958874514867548,0.988740955311484,0.985002454011133,0.966073773908449,0.986633629006846
"8",0.973618641885173,0.977527416509456,1.00663653949341,0.969834206085786,1.01169038901967,1.00788216247581,0.978514829910861,1.0017950531857
"9",0.952989417289289,0.957693843418948,0.975825528240526,0.95453603624269,0.980654122036035,0.978662601636418,0.96035140322771,0.980494112038989
"10",0.957109790601268,0.959038275224268,0.978675929288377,0.957995855399461,0.981961760620467,0.982572450074559,0.963445158021305,0.980479115139861
"11",0.988202952798226,0.988729078997453,1.00491624010792,0.983237725421605,1.0069483300397,1.00564552754493,0.989234214394895,0.999676086866609
"12",0.949391182147654,0.956240078850461,0.971131146608213,0.952434023057276,0.978061443948961,0.974534686686885,0.960164227616262,0.978608874285828
"13",0.951773549125921,0.955876411949421,0.987986001732229,0.956891424778711,0.9924293293572,0.99355267623918,0.961390697671674,0.991255108357631
"14",0.953534428475006,0.958085243253875,0.986940966244979,0.956341068984761,0.991475265277789,0.990603802780689,0.961284689921492,0.989136309943089
"15",0.959829294719605,0.962563722362392,0.974004590908502,0.960736245772816,0.977631085508139,0.976476428486074,0.964839015183366,0.977465300946057
"16",0.960418434822694,0.965894970667504,0.978357262755372,0.960511921366481,0.984272523742797,0.980836140733871,0.967683480670719,0.982674808254036
"17",0.969604334018546,0.975780390015603,0.996916927483648,0.967501614191741,1.0037358491275,1.00074599114134,0.978823315703214,0.997514569308463
"18",0.95485654219688,0.963400354462765,0.979723398199169,0.956432430205966,0.988129355406003,0.984344992856986,0.965199646733725,0.985372543088743
"19",0.98110049305807,0.984624007638156,0.994283309441922,0.979252391689491,0.99904069041411,0.997379951242148,0.986593817441248,0.99372909379429
"20",0.974604104888327,0.979710689575645,0.996124777359408,0.971120924265475,1.00183210596945,0.998831326342298,0.981784014239587,0.995873314670914
"21",0.958401279388098,0.964167389838247,0.974522685896266,0.960950504011661,0.980630098358806,0.978505056779983,0.967381237037866,0.981126107406229
"22",0.964050910766878,0.967952659762961,0.988230652145361,0.962475987860894,0.993470255088468,0.990445639056728,0.969729347787184,0.989351526477536
"23",0.95195765643933,0.958181146436057,0.978570112052486,0.954121793989951,0.984828707760581,0.982766762016412,0.96190512535974,0.982075519571586
"24",0.971094353400516,0.972612484956411,0.989484439789091,0.967487516994063,0.993373481540033,0.993152319856033,0.975933550997058,0.988591479864652
"25",0.949488931300118,0.954027126661552,0.972844854310087,0.953874322000368,0.977664308396696,0.977956685451497,0.958926647811797,0.980063920002038
"26",0.962359283399095,0.966247401116981,0.992296047001105,0.960593778489073,0.996747096999958,0.993635804872837,0.967094000870315,0.991310717250917
"27",0.984423531980165,0.987893454855114,0.997723583639963,0.980133235902605,1.00171543651647,0.999615521136507,0.98863995614424,0.995746127666922
"28",0.982406359050451,0.985426033182288,0.985171497657933,0.978022991464905,0.989085853761424,0.986343028489499,0.985731810039602,0.984758638516287
"29",0.98400301887154,0.985246717548254,1.01046237218434,0.976467538742099,1.01262833831554,1.0130176351807,0.988313879729318,1.00231213036893
"30",0.977815605064713,0.980626485520383,0.985198395959015,0.975895230240559,0.98857589086932,0.98920197021721,0.983780624348946,0.985740040566362
"31",0.964864486940988,0.966585085993159,0.987676505237876,0.963654461355176,0.990954722956511,0.989196160898177,0.96804308510088,0.986602617897248
"32",0.938487535933588,0.948003486730088,0.980652863851129,0.944115028051238,0.988152996181936,0.985927525350713,0.9524841440309,0.988206181050807
"33",0.95774026446069,0.962122538302132,0.977183301704318,0.957772763111301,0.982227223054128,0.979351574205319,0.964130569692028,0.98042335982257
"34",0.997133483661478,0.996338982965131,1.00705889612253,0.990011528362549,1.00694619129226,1.00844447820525,0.997436629491429,0.997284953745865
"35",0.983067980956146,0.984407071009031,0.99506573927084,0.979629248269828,0.997563982650001,0.996447150677441,0.985495716795651,0.992763793881007
"36",0.96728827569784,0.971033192466101,0.988664361198254,0.966281088673852,0.993628042256645,0.990726067569713,0.972386671957558,0.990749943582101
"37",0.991031736408435,0.991628220107937,0.994459203659409,0.984802724102331,0.995658783175308,0.995349935839651,0.992273575347892,0.98982314876712
"38",0.972768438775356,0.976305885188732,0.991198537198085,0.969886768727141,0.995733921583678,0.992454953066818,0.977095918719253,0.991579126533858
"39",0.968320713356701,0.971882181608566,0.988329510275432,0.968840714884703,0.992207171409933,0.990950054711211,0.973909996654957,0.988918089137818
"40",0.973300636496236,0.980852340858332,0.995460844819452,0.970162406383049,1.00254232796619,0.996347577882971,0.981428704299756,0.996193013428877
"41",0.955800588412251,0.96162160725472,0.985668404637211,0.954289604397719,0.991790107775465,0.988495311127945,0.964092112988908,0.986242252477501
"42",0.967958729985975,0.971172548607249,0.978513718154455,0.969453415272512,0.98292582720517,0.982846438559625,0.974481594584899,0.982830437655289
"43",0.986427921987437,0.988894468325406,1.0033392464914,0.981732317997392,1.00669342215633,1.00564905653716,0.990627340300618,0.999275185625397
"44",0.961532025749541,0.96778121145098,0.99161010732641,0.959809259706731,0.997855175506584,0.992843023688272,0.969131632958329,0.991405667351766
"45",0.942533971392144,0.952107332558801,0.963978942460372,0.945261438669018,0.973120361963483,0.969285593564422,0.955744199858912,0.974741349428358
"46",0.957530138274705,0.963062311812233,0.978978455772081,0.9607022576641,0.98472548514701,0.983677176641809,0.966991834410647,0.985519723333635
"47",0.964431810814018,0.968574121257805,0.98439601568906,0.962220930477152,0.990090207430054,0.986862169152002,0.969376036974999,0.985801204811868
"48",0.968182399390832,0.970350780868742,0.986915413915994,0.96506243486381,0.990148173773256,0.988938150092265,0.97143724061954,0.98555156968932
"49",0.936801215658245,0.948401014172475,0.974348661816217,0.939015375673662,0.98462442447304,0.977946781448575,0.951968227825516,0.981517889511806
"50",0.977391416477768,0.980433151008811,1.01580821144535,0.97176081062121,1.02050286791455,1.0154499525891,0.980885936014435,1.00810322177686
"51",0.96963834848637,0.97210839324088,0.98754276350569,0.966131182580265,0.990758815619542,0.989161081548216,0.97299694555248,0.985377189913071
"52",0.955522514162348,0.960523299738052,0.977402723159567,0.955122869183797,0.983301209049269,0.980048579394836,0.962433867089707,0.980775765023282
"53",0.980059466737822,0.982895671121052,0.995778307156047,0.976277569716331,0.999119834617898,0.997862365750471,0.984361429381659,0.993696607164973
"54",0.956321070792032,0.962040002616125,0.983552015377533,0.959499698529605,0.989172446819129,0.988366986081408,0.966377387832854,0.987330708348968
"55",0.959713603037125,0.968174359559501,0.989112371667441,0.960503126362737,0.996842402271871,0.992348608557932,0.971821468122481,0.993321427507722
"56",0.966235876270639,0.973890978634332,0.979338575340223,0.964547100298184,0.987838778120736,0.982655715672114,0.97604672545032,0.983900032525474
"57",0.941785641156263,0.949762302497,0.967582832870998,0.945328823572199,0.975941813975818,0.971788500635072,0.953871954793491,0.976617543915237
"58",0.970312786966332,0.972433832343352,0.979631945216013,0.969001589158736,0.9829116337674,0.981683945979121,0.974084202613454,0.981205352572374
"59",0.98456902191704,0.983904900337861,0.98991051035398,0.980447517522564,0.991765346231247,0.993822497770559,0.986552243023647,0.987687222075991
"60",0.958264910631257,0.967800074745072,0.988762663654964,0.957640119945002,0.997322866742213,0.991521703263704,0.969260305976566,0.992140967656697
"61",0.993168832900189,0.992748393536019,0.990433713532211,0.987627540672567,0.991835668423173,0.993512100246954,0.995029939262974,0.987307541102806
"62",0.966981160939022,0.970512726066918,0.993727991638277,0.967268131461099,0.997711125953044,0.997826957948026,0.974457589916812,0.99378422055521
"63",0.966178011090481,0.970393640900495,0.985319853226803,0.963826969293984,0.99114132546263,0.986764634929364,0.971398495160308,0.98642307679683
"64",0.963048732991427,0.96823811779426,0.985798042719119,0.964398296926037,0.991227896682216,0.988384749919399,0.971302708983993,0.988868887164758
"65",0.967912724452701,0.973501815787312,0.99014630624475,0.966631834849549,0.995988640214706,0.99278590856112,0.976386473440924,0.990448738394553
"66",0.978614644396587,0.980742806377659,0.997602952037628,0.976670403838032,1.00113872270574,0.999911750933323,0.982568114957506,0.99690833678326
"67",0.983193840983764,0.986893061419824,0.993027279851267,0.977394606501354,0.997655113743448,0.994028351860509,0.987238439805888,0.990963789089917
"68",0.929448403047829,0.935731176638275,0.973960298621999,0.934387173576187,0.979183026131304,0.977478227535144,0.941211067880602,0.979794923831898
"69",0.974588456436476,0.975970757408742,0.994129210471439,0.970597130744427,0.99644944551743,0.997394226775632,0.978936744495207,0.990174674771375
"70",0.959976757767631,0.964159990653858,0.983351371791767,0.959706778226629,0.988087005326779,0.986993209836466,0.966610495395494,0.985305819497461
"71",0.905839145361214,0.917951403548523,0.969415906163814,0.914665907369199,0.977317464675526,0.974858373444519,0.924673463635238,0.978629727744249
"72",0.959091976519342,0.965971945399779,0.992048641148565,0.956678016780268,0.998291662714923,0.994834826577636,0.968944635376649,0.990435447718144
"73",0.958117089296966,0.96353577522497,0.984151232949825,0.958170207403087,0.990352733501888,0.986123478253535,0.965653688610407,0.987610766838159
"74",0.960173265393016,0.963471403070384,0.99414960281746,0.960364094773535,0.998008846858304,0.99831277690656,0.967700942741124,0.994709251474108
"75",0.96595398153205,0.969582472020857,0.994082929531323,0.963023055673697,0.998477464907275,0.99617927386081,0.971846198828465,0.99030063090566
"76",0.95516937093348,0.96340486000768,0.981605041726418,0.958715545785612,0.989915958567572,0.987688901451168,0.967745237493916,0.987928855300167
