"","beta0","beta1"
"1",-1.40087943455524,0.0073564006158339
"2",-1.43895351653584,0.00718789696251532
"3",-1.39214349445404,0.00780371413262195
"4",-1.35151785622662,0.00693325611033543
"5",-1.41877418792977,0.00833399407655692
"6",-1.39448573032129,0.0070639061034336
"7",-1.3501611147045,0.00651820044941972
"8",-1.3468489063027,0.00734835494899667
"9",-1.35271271204941,0.00715829242434668
"10",-1.35673461881569,0.0061593197236192
"11",-1.3468489063027,0.00734835494899667
"12",-1.41670992167674,0.00606196950280908
"13",-1.42170535582509,0.00722640438790378
"14",-1.37992170910389,0.0074520438659707
"15",-1.3829134464127,0.00725935751203208
"16",-1.37761018444133,0.0075006734027859
"17",-1.39163785449035,0.00806144085249881
"18",-1.35330173157916,0.00682049084075399
"19",-1.37737968398424,0.00795580061607123
"20",-1.38142283686547,0.00827082988991157
"21",-1.41827289814628,0.00589854656156687
"22",-1.3657886980432,0.00586945264259879
"23",-1.3914666335907,0.00824583643634767
"24",-1.38011714283934,0.00744517475886641
"25",-1.36363271382219,0.00825870694547519
"26",-1.36490519873412,0.00644050189809345
"27",-1.37745746637697,0.00725308673334146
"28",-1.37524748277119,0.00685050894362274
"29",-1.34685588831725,0.00764502867474049
"30",-1.38253891133956,0.00866070537413216
"31",-1.39563900458615,0.00615241411822166
"32",-1.38002816223435,0.00690180853949003
"33",-1.40027876613317,0.00762393545274305
"34",-1.42045251298309,0.00688508431528185
"35",-1.37931731096807,0.0069403312163506
"36",-1.36167053235726,0.00840097514777393
"37",-1.42500825236796,0.00735702497760789
"38",-1.39512401070372,0.00824233148618144
"39",-1.39042143159357,0.00696713787084752
"40",-1.36260955391726,0.00643585828704542
"41",-1.35100362779792,0.0068581596628647
"42",-1.37921190501468,0.00622545757648228
"43",-1.3657886980432,0.00586945264259879
"44",-1.39499400066464,0.00747977639138884
"45",-1.39381892479539,0.00760481804898569
"46",-1.43957987505244,0.00682691061780591
"47",-1.35046680192854,0.00742638227103776
"48",-1.34660851692509,0.0080938983312155
"49",-1.36614117077264,0.00591430441696994
"50",-1.37409821613142,0.0069602811590059
"51",-1.36287160401437,0.00700741433334025
"52",-1.41796569437025,0.00872577935472855
"53",-1.36937950037715,0.00699564461153597
"54",-1.35962168523678,0.00748774492261892
"55",-1.35715624099617,0.00772029936397627
"56",-1.37744811520883,0.00771793781371731
"57",-1.3714418945585,0.00619161207431381
"58",-1.36076983331197,0.00701157739672478
"59",-1.39057290316798,0.00699220531343271
"60",-1.38143991571927,0.0078430932022792
"61",-1.39207311986991,0.00818903890653581
"62",-1.37543026194931,0.00800731272458262
"63",-1.43948859686876,0.00679167846636108
"64",-1.38416818312339,0.00730616992083774
"65",-1.38894512096138,0.00677802061813903
"66",-1.42846280787159,0.00734132800461722
"67",-1.36112534996257,0.00590945021745539
"68",-1.41805298234517,0.00694320884574128
"69",-1.37795182626689,0.00852662654782316
"70",-1.39155007041911,0.00781747844703931
"71",-1.38176679151907,0.00663116715818469
"72",-1.35285865149813,0.00695961241699717
"73",-1.41277485644772,0.00732207075332556
"74",-1.39575918230054,0.00902712691262456
"75",-1.378083904592,0.00867197323198395
"76",-1.39208061397658,0.0084995604980548
"77",-1.38618238109822,0.00563718871797241
"78",-1.37996008018481,0.00792834008583288
"79",-1.39129079763011,0.00686497557142035
"80",-1.42644551540997,0.00670368863062929
"81",-1.38140388367025,0.00821115280113588
"82",-1.37856734077787,0.00572729115920372
"83",-1.38015690010482,0.00815863208081268
"84",-1.38855086674463,0.00815327942547939
"85",-1.39163785449035,0.00806144085249881
"86",-1.38253891133956,0.00866070537413216
"87",-1.39448573032129,0.0070639061034336
"88",-1.38354562262191,0.00813912946333842
"89",-1.36130656331628,0.00753419115531997
"90",-1.35287932204027,0.00730038793491645
"91",-1.38296426928564,0.00739232301002852
"92",-1.41317406108304,0.00750386414545557
"93",-1.36397301377696,0.0077194796701943
"94",-1.39034688905624,0.00741995189290591
"95",-1.4209993012236,0.00734432064671953
"96",-1.38749769322335,0.00623384590113747
"97",-1.38736672691487,0.00694430252404034
"98",-1.40787105542947,0.00732038985403669
"99",-1.39304261536056,0.00777498180911325
"100",-1.37794399901814,0.00621108372847448
"101",-1.43957987505244,0.00682691061780591
"102",-1.44000267401782,0.00786831801218123
"103",-1.42180727044358,0.00783811541119427
"104",-1.38109572570181,0.00802389005993089
"105",-1.38585058959151,0.00745263244358954
"106",-1.38971369266492,0.0061146897277638
"107",-1.38231536332305,0.00729779625046676
"108",-1.38138875135575,0.00612880743340983
"109",-1.39052288876094,0.00771880592524556
"110",-1.35519379331064,0.00904969393229967
"111",-1.37684949768909,0.00734383727892906
"112",-1.37731585670427,0.00688224032914687
"113",-1.43998229621542,0.00650496462029042
"114",-1.39563900458615,0.00615241411822166
"115",-1.37437195496616,0.00772417963613401
"116",-1.39389965439352,0.00751493752802107
"117",-1.37158305617646,0.00762418665621358
"118",-1.37495901178121,0.00761829130105531
"119",-1.35952010652806,0.00672362125687795
"120",-1.38215107241421,0.0070206893222949
"121",-1.35823998248803,0.00670230505833929
"122",-1.37908087683734,0.00668739390406554
"123",-1.36646385903898,0.00701650711818528
"124",-1.38775696021784,0.00651471018784807
"125",-1.42985255002864,0.00749876074738684
"126",-1.39042143159357,0.00696713787084752
"127",-1.39815724472534,0.00824113250174185
"128",-1.37700903326935,0.00815328558024915
"129",-1.38630419125018,0.00822413648127988
"130",-1.37282352939441,0.00825339900452522
"131",-1.37737968398424,0.00795580061607123
"132",-1.36216343644268,0.00652975480949546
"133",-1.36515387446951,0.00844777812532973
"134",-1.37223620699497,0.00738941351978156
"135",-1.37751354392603,0.00665302113601732
"136",-1.37992823365097,0.00894454370522733
"137",-1.3745580457852,0.00838826673708993
"138",-1.41973150929557,0.00702469394679919
"139",-1.3749078126825,0.00660625483853064
"140",-1.4199565688589,0.00728193685210701
"141",-1.3881343752035,0.00609563339059714
"142",-1.38098663644636,0.00801509748094792
"143",-1.37839011824427,0.00723339444343095
"144",-1.37754337493191,0.00691516003736639
"145",-1.37608010924094,0.0063647740849872
"146",-1.38984694246123,0.00709058947917771
"147",-1.40961960983318,0.00696450939864834
"148",-1.38274549271106,0.00811625518774185
