"","beta0.1","beta0.2","beta1.1","beta1.2","sigma"
"1",-107.493036851832,22.3697844734215,-169.779406478673,25.6672803940834,3.63160226281786e+307
"2",-19.2826380753162,19.9520217960422,-25.9193984961951,21.5675261382988,6.51232075771627e+307
"3",-23.7792636821376,-9.06067488582834,-55.3401867082374,16.4285402535621,1.07610064136424e+308
"4",0.408748869970912,71.9585500900923,-35.860755673135,84.5554320595947,9.11877741097325e+307
"5",-1.02281028517962,10.4244494814136,-6.34740408779621,7.18132486287672,1.31813191923399e+308
"6",-5.86378563694729,5.99150701376987,-13.4687628270194,8.85307639015047,1.25368666491095e+308
"7",-55.1439745892785,96.6844492434142,-161.166996531247,39.4978821902454,7.24726347572217e+307
"8",-83.8914549468175,91.1842810882062,-123.822657364673,144.647246613306,8.86037323431936e+307
"9",-19.1899050654132,-43.4334622632365,-0.745921998571464,70.2231465072745,7.66940414419808e+307
"10",-61.8021944106327,48.6335251585701,-53.9082918013829,74.8231221545343,1.37724208795508e+308
"11",-25.5454048192271,-33.8802229793728,-7.19552511023954,103.351242183214,3.10691795849327e+307
"12",-25.8131029254277,122.271614107713,-199.985109262584,54.5417907026006,3.14287484594334e+307
"13",-40.9092379400653,-60.2571938640388,-32.9498923984648,62.945425080945,6.26909476873488e+307
"14",-75.0598728188076,30.839630159949,-37.3012945425716,126.949035934244,1.25122124829579e+308
"15",-25.6789583936432,66.4147628741844,-12.6618861322491,228.30499202053,1.1421490393709e+308
"16",-4.79800596801082,-32.662064220379,-31.8766037538807,39.6124323546024,3.51595983163415e+307
"17",-50.2882937767579,44.6511248581001,-114.43623612549,11.7982838302013,1.05492580952933e+308
"18",-4.95472822920482,-48.058562623894,-20.8157039126006,58.9231789143345,3.75431063661719e+307
"19",-70.5218532465883,59.3302631983458,-74.388337089566,94.4889378961122,1.09405850604821e+308
"20",-71.4587551877446,61.6587783443523,-50.7325500367363,207.205230088688,1.36090501699758e+308
"21",-78.8982179411138,-7.74256622515042,-82.9826961113902,101.303696074069,8.50747416618513e+307
"22",-22.1142621680205,-16.7854203852539,-51.820049402936,13.7523094819997,9.21177999352989e+307
"23",-53.8933865480444,105.376968990942,-196.165771066024,8.21103704361942,9.64397411147717e+307
"24",-76.6872595019707,-77.3058769266818,-229.55490225654,167.739906569272,2.96845147263521e+307
"25",-18.5251977978437,100.367738162158,-118.453951617479,59.0185760467915,2.49726669486157e+307
"26",-7.14439735083051,104.886334980076,-18.4342042935642,35.9059537119071,4.36077744699366e+307
"27",-67.6176728675622,65.067719705708,-166.969663189174,36.8307675472069,3.54022917112292e+307
"28",-64.2467313242084,46.9696812497429,-80.1965174857326,79.9377594505332,1.51858391582188e+308
"29",-20.0646019485869,58.3365788225379,-1.7580604856907,165.724688886364,6.22428664418699e+307
"30",-2.89544138143549,93.1055112477489,-9.5795955080315,103.105378614034,2.31155088852993e+307
"31",-66.5250896674145,-14.1358470991833,-121.896276108919,155.632972284798,1.53044637952456e+308
"32",-108.893711339556,-77.6862112751047,-212.144792028195,170.403064604103,7.03163869011286e+307
"33",-4.9438402471178,4.94943355263354,-16.2613360060295,8.13889127868916,1.41211585870767e+308
"34",-19.3086265527717,28.907021132068,-3.41003393844985,163.474400039458,3.74192549342869e+307
"35",-22.1142621680205,-16.7854203852539,-51.820049402936,13.7523094819997,9.21177999352989e+307
"36",-96.7741821408033,-13.5771062000859,-130.313973209078,21.1009461605506,1.24151781322221e+308
"37",-21.3247082024872,12.2567136139753,-153.414812151165,10.6273040308217,5.88983581250913e+307
"38",-71.1225900536548,-127.633291214784,-170.914237152528,120.608264147307,4.91501147602508e+307
"39",-47.9129262709837,30.4435631769661,-82.5501757435497,30.6052504186439,1.26691386837413e+308
"40",-52.7189799269833,-16.7794276088651,-7.00685928886613,85.4981128437919,3.95080665843812e+307
"41",-49.0001625711325,29.6773966978518,-83.1899216013625,33.8794642685313,1.44021257457416e+308
"42",-72.0216056131526,-19.1325130376003,-51.276846319545,49.0413769181003,2.74815441517917e+307
"43",-20.1052548157586,40.5483499554981,-54.5930095499209,25.336068212652,1.2672335602656e+308
"44",-10.7338480681243,10.1876205017337,-4.44387721431507,10.9914414089602,3.77444222176129e+307
"45",-51.4181808469383,38.3620840674443,-34.8945104614398,51.2200171947066,5.01272951834323e+307
"46",-26.8437782651318,16.8640827103744,-62.2712678766001,16.4217048132312,8.65239722310048e+307
"47",1.52146193529894,-49.4424236762035,-111.586169037438,76.5342854016593,1.52299552596485e+307
"48",-24.4031500202299,96.0262073381363,-82.9202432891163,72.2255759834659,1.26566416637889e+308
"49",-2.87259160872099,73.5455972734614,-35.4316286756437,82.0625443398671,1.7332215139164e+308
"50",-2.93190465716052,7.66455028520804,-65.3813517596691,11.3295457319083,9.74879669891331e+307
"51",-38.9404492900543,74.3249298917901,-29.4134417475002,205.472100686844,1.1342149296888e+308
"52",-93.448029462126,52.9979808861554,-68.3599168874118,236.457348035981,6.31341672676885e+307
"53",-39.886840353002,-8.63132052913297,-94.475381743513,50.2242773567748,1.44326014022925e+307
"54",-10.4995743885936,13.208233231427,-3.91598710468075,17.0176104536142,3.9425497316486e+307
"55",-3.38106515598439,18.0289607754601,-54.6732551969301,28.5636207069466,1.84899945009285e+307
"56",-123.415901710674,-86.5000928436985,-179.264920075098,256.348888089519,3.60664975230517e+307
"57",-71.2215616885163,91.0086300535474,-55.4811018536562,83.9139549750265,3.00765174367815e+307
"58",-14.43505987977,70.0754235752195,-49.9944080765133,84.3731004726553,1.53088059823718e+308
"59",-1.01618982420469,-36.5061458336451,-94.4606207092869,26.4276223551929,1.06342383057616e+308
"60",-20.1799071557957,32.8770630114369,-16.9048743887613,18.7921743313804,6.41619803157233e+307
"61",-18.1425421863395,-8.50131740284198,-98.6907565912185,59.3320688019398,4.55277909842031e+307
"62",-79.1882955059075,92.2348497364619,-54.795154618808,85.0508443480659,3.02609294936672e+307
"63",-25.5562932271414,69.0797571656903,-14.7692934590675,219.604631557804,8.64047790808667e+307
"64",-71.2615916928182,84.3258861423722,-84.2567081990987,199.222702084454,5.36634327968984e+307
"65",-0.914805030346839,74.2940522464708,-17.2114100513906,84.7423867577128,8.19122424827853e+307
"66",-32.8404130090882,-1.79363064175929,-4.12433721695297,103.649828951676,4.06418963167921e+307
"67",-58.5542511423738,-18.0781004690572,-13.8369566161386,85.1655976760731,5.0509890905636e+307
"68",-16.1523972659752,63.8785974023053,-96.2872571218877,69.8977891664217,4.07625821185685e+306
"69",-4.06086955829059,85.2947028447727,-102.184958110066,54.2024430957816,8.93637780965054e+307
"70",-67.4939260748677,31.4605797368337,-44.4403646431707,51.93968614455,9.80188671299141e+307
"71",-58.978856177597,-44.4737098109661,-80.1109832895251,101.310456661628,1.2438851888828e+308
"72",-9.3260938531641,17.4968889438392,-23.260057591793,42.4558366479542,1.86012146943056e+307
"73",-27.7092572778064,50.7282487881536,-10.5767680416095,214.300460658414,1.65956812729579e+308
"74",-54.6553462264856,103.990116538246,-194.623932042804,17.7927235780684,1.02449001880922e+308
"75",-45.0798383483482,78.8320467174423,-62.2740114654308,82.1961723370253,6.76202600724968e+307
"76",-0.196846365106652,69.3259949560106,-46.1016997938751,74.9409392726137,1.26004892284611e+308
"77",-14.1374172409467,-14.4664168319943,-37.5711591998942,31.8549459186999,4.32852568186592e+307
"78",-70.8719327501978,-29.8940381442002,-61.7819729114862,85.4935399549571,8.10772112411133e+307
"79",-16.141880154489,-26.8112664803757,-44.041004652692,50.328909749189,2.84773777023075e+307
"80",-106.950720026404,52.0184069269959,-187.907395484446,41.2764079776536,4.24629096015193e+307
"81",-86.1616870544276,-12.0329313598951,-125.403265574069,20.6165655589116,1.27466498626155e+308
"82",-60.2346846976493,-145.595489218658,-153.026460410805,107.991476723028,4.77406878676077e+307
"83",-33.0420766524502,17.9188604642335,-56.8178024486229,16.0242261536503,1.01912603242967e+308
"84",-17.7420645842312,-58.6994878252039,-2.29936245128419,78.4775380035221,4.00876426754672e+307
"85",-22.1142621680205,-16.7854203852539,-51.820049402936,13.7523094819997,9.21177999352989e+307
"86",-1.45588577555434,61.7120685499589,-89.2011944352053,58.6864803520047,1.0980110524614e+307
"87",-48.5410507753263,83.7265771439251,-55.8934007659352,143.169578660637,1.18436006341766e+308
"88",-53.3708955154215,46.3422983156031,-17.7823644008568,211.842779834893,7.17212899790675e+307
"89",-2.45549393222979,-43.9419503876303,-109.626756771875,83.6415385404452,3.84857907358965e+307
"90",-8.93857818255574,81.4113654819363,-39.4143084674511,49.6011003894834,4.68958459470425e+307
"91",-20.7677878080384,18.4102422439553,-16.5446702771286,92.3673876185308,4.03275679530753e+307
"92",-99.951479531895,55.3825130203213,-71.9776895265582,242.44749284072,1.04309743860155e+308
"93",-17.1792728126579,11.1481827306222,-8.4763937975295,9.83019299469974,8.20375239195347e+307
"94",-3.52814566930051,102.230943072305,-21.2290301818783,61.2909679522752,4.13127683515422e+307
"95",-67.5419511922676,-42.7981543397749,-105.937002103426,116.738599885918,6.01754418401525e+307
"96",-37.7326143949768,33.7061612738856,-24.0649382804363,92.6012680330959,1.58281406965365e+307
"97",-19.4537369242604,-0.392418341083509,-77.5118288507622,106.459814964583,1.04914966470276e+307
"98",-57.1319335478792,76.9276372097566,-24.0179855911983,82.6150032433824,9.91298139447054e+307
"99",-32.0967075516183,-6.22326387357488,-49.7131042333296,21.6015845025984,1.04033606191641e+308
"100",-5.57988006912288,71.5776931840261,-31.1724030842248,81.0955441444429,1.28441833298313e+308
"101",-49.4429946368539,132.059513271915,-143.445317242174,58.3441742024012,6.02068307269129e+307
"102",-98.0285479763471,-104.392186956793,-216.64680009583,171.048684414686,9.1989240531599e+307
"103",-38.4853543739649,106.986335034443,-131.759952839449,61.8477105414042,1.51240804093803e+307
"104",-76.6431525767008,39.2356764619927,-35.3776780843399,124.237332321561,7.39663071573387e+307
"105",6.9072593328123,88.4146809176695,-132.539843788543,57.4113501487932,1.06265863412724e+308
"106",-28.486469801912,-21.2817414258939,-2.64964312977219,103.823211218552,3.30004692070183e+307
"107",-108.157480356532,-4.8605950749212,-141.745227669978,25.6658960332037,7.63964149247422e+307
"108",0.261360032668996,89.9348214404753,-85.443138908362,19.4983980006023,1.37597187660043e+308
"109",-90.7938519920243,91.7170912846134,-103.82787955293,137.737630817799,1.20452165830985e+308
"110",-67.1320762641444,56.3865258254272,-57.2940605156068,206.172637658252,1.05129028695606e+308
"111",-15.8154785837327,-22.9439896725859,-32.1245970229159,21.5813402573547,4.0546430796349e+307
"112",-72.0148017244183,57.034454856865,-13.9943031863696,62.6268760346886,5.88007379576802e+307
