"","beta0.1","beta0.2","beta0.3","beta0.4","beta0.5","beta0.6","beta0.7"
"1",53.475085677982,86.6145979262917,-5.86669357329699,160.316659406667,133.262962552472,145.43424983243,73.2927317315061
"2",-49.6345887009324,24.3390218367549,-43.8318696631896,-81.9695496643398,192.784026598753,-40.8123824881702,-59.4461351925341
"3",-113.611533027151,-166.820699335491,157.032061524443,6.21721391088812,-18.8548732767284,-149.943530443778,68.1676689858845
"4",-160.346567705972,-105.653095375423,-19.9987127454214,-71.0103341084127,132.745102098189,82.4103993190898,70.9062580232455
"5",259.574460547441,177.339585291516,-127.803872364629,-89.4312691151279,104.887141953715,-202.847138442008,142.74869416365
"6",139.907062134424,67.4555607491114,-35.0979615728693,-185.381089210095,-64.7047222519894,-34.1671101962817,-48.1165639355903
"7",-174.2253996861,-101.97285826667,89.2326632154322,117.625552463983,-106.59235729547,104.075936765143,83.1794482335606
"8",179.498361346709,0.957846416012425,-106.714635185597,9.51661329624127,105.087841892058,-233.479414442558,73.57923814777
"9",67.6168315253906,-191.621688102988,-328.661950943104,101.934857058357,91.6845869851796,45.5087897610493,-70.1336392139914
"10",-37.7257930007849,-195.148769928251,-73.3847067806526,15.9448107395202,-7.63753996742309,-76.8996367507895,-102.209221422463
"11",-65.7318867548828,139.584028337735,149.510178005719,-28.8517370409791,111.147396886381,-29.5959286381777,-99.5298233821734
"12",-76.9732827324838,-126.289746317006,-98.8066693109668,69.5301392167818,27.3164767721694,135.129988260835,-86.364396480032
"13",-164.855541163624,-69.8920425127266,141.055664131956,-45.0395917619411,42.8370199356428,-57.924834806417,-67.7938122540278
"14",59.2609175186735,-28.1923468611584,22.1561677571853,-138.369864548606,59.9091687270187,-10.7669488291424,64.7023239938954
"15",-37.9294933042065,29.5330482699967,-76.7506528628402,-33.2777735678592,117.436512963173,0.812612525814581,128.608745234482
"16",-148.533722110974,-94.1937555282963,-50.2362664857969,-54.7276300302099,129.120105380466,50.0230273039804,77.2181719268848
"17",-88.0307845128896,-245.48969827072,56.5546089770754,-41.9647455263708,-17.6146263301113,-29.4906609095617,117.187406092971
"18",-49.9868460480212,-111.357669827279,-50.9679255083559,2.66572812748814,14.6323772456082,-11.2057712654463,41.4999530569892
"19",85.3283813790396,-135.746953176559,174.564073101858,-98.1315393843408,19.0824946919723,35.3993945476852,-137.129254890405
"20",60.949516329622,10.0327375395946,-88.5062606306914,-168.186297867515,-91.5751075430342,-4.7468992567562,154.829119353163
"21",-116.174156700505,-281.384638287333,61.6461121344596,-47.3022165786246,-140.651548454469,-74.9429045156972,56.4216283612401
"22",-80.2370620702542,-216.670762183381,35.9276326375326,-56.362174705198,-3.66024854811734,-31.3695317340976,161.381931313749
"23",-135.78716366789,-120.155029704973,-7.9441520131439,-57.4034159093092,121.952732316757,76.5418347107307,127.589998946747
"24",-81.6819408239407,-252.248943427365,48.5325563580306,-41.9304026861721,-23.7749853777597,-36.5147785540706,128.414396270466
"25",60.5408802983267,106.494989103456,75.2697786201155,26.0703869083017,90.9080688721945,-116.262268436794,-41.9933307087763
