"","beta0","mu.1","mu.2","mu.3","mu.4","mu.5","mu.6","mu.7","mu.8","mu.9","mu.10","mu.11","mu.12","mu.13","mu.14","mu.15","mu.16","mu.17","mu.18","mu.19","mu.20","mu.21","mu.22","mu.23","mu.24","mu.25","mu.26","mu.27","mu.28","mu.29","mu.30","mu.31","mu.32","mu.33","mu.34","mu.35","mu.36","mu.37","mu.38","mu.39","mu.40","mu.41","mu.42","mu.43","mu.44","mu.45","mu.46","mu.47","mu.48","mu.49","mu.50","mu.51","mu.52","mu.53","mu.54","mu.55","mu.56","mu.57","mu.58","mu.59","mu.60","mu.61","mu.62","mu.63","mu.64","mu.65","mu.66","mu.67","sigma"
"15210",-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,-1.45687707096182,1.52223443969139
"5592",-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,-1.732773487268,1.67830751101474
"7483",-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,-1.28411817484429,1.71893295288486
"14366",-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,-1.67226235305867,1.61517200073901
"6109",-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,-1.09941349120906,1.89002815604409
"3560",-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,-1.28929572599927,1.91354179680406
"23574",-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,-1.51933610865358,1.89044118334965
"14734",-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,-1.79435791130146,1.55396669360279
"3329",-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,-1.73245071386297,1.91935039808665
"14826",-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,-1.65504838899244,1.57876573339699
"11042",-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,-1.52977879067663,1.59972319349373
"13380",-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,-1.33807574350071,1.80603713506468
"19475",-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,-1.77829193917831,1.62313549084133
"341",-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,-1.81186266429284,1.74984495336566
"22770",-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,-1.48078086334911,1.67006262982777
"24403",-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,-1.60498604221781,1.66806767503094
"12875",-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,-1.25550303786138,1.65530285148127
"5306",-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,-1.65519109918243,1.72312204788984
"12092",-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,-1.64765812624138,1.69897278479832
"20116",-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,-1.54601191991398,1.936760628066
"2870",-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,-1.65830866830616,1.7330292713538
