"","beta0","mu.1","mu.2","mu.3","mu.4","mu.5","mu.6","mu.7","mu.8","mu.9","mu.10","mu.11","mu.12","mu.13","mu.14","mu.15","mu.16","mu.17","mu.18","mu.19","mu.20","mu.21","mu.22","mu.23","mu.24","mu.25","mu.26","mu.27","mu.28","mu.29","mu.30","mu.31","mu.32","mu.33","mu.34","mu.35","mu.36","mu.37","mu.38","mu.39","mu.40","mu.41","mu.42","mu.43","mu.44","mu.45","mu.46","mu.47","mu.48","mu.49","mu.50","mu.51","mu.52","mu.53","mu.54","mu.55","mu.56","mu.57","mu.58","mu.59","mu.60","mu.61","mu.62","mu.63","mu.64","mu.65","mu.66","mu.67","sigma"
"18310",-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,-1.52826816321273,1.59550627212718
"1157",-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,-1.45210082919151,1.6864719622073
"21233",-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,-1.62607628917286,1.61232380098699
"4200",-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,-1.76901097212425,1.57367389785998
"11884",-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,-1.30857452508971,1.59801970136296
"6686",-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,-1.50182152475092,1.94436944447828
"23313",-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,-1.66795409136193,1.67631887475771
"19818",-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,-1.72092303658338,1.6175707365449
"18621",-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,-1.64005634480554,2.02607669446707
"11729",-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,-1.425620474338,1.90901927503557
