"","x"
"1",2.56235272123503
"2",2.50081550041565
"3",2.41837180716322
"4",2.605772258852
"5",2.16141510636526
"6",2.28763899715693
"7",2.75619744981864
"8",2.07605220383271
"9",2.36106306232118
"10",2.53960374355968
"11",2.97449833960589
"12",2.75808961211886
"13",2.57374662853919
"14",2.01366100521393
"15",2.24906100738178
"16",2.45866365105887
"17",2.17133897631502
"18",2.5174673435611
"19",2.56664490289198
"20",2.48196807041696
"21",2.31945813531165
"22",1.97083888460062
"23",2.35233111403413
"24",2.06822906361299
"25",2.77523335387106
"26",2.56654287404374
"27",2.24903187512892
"28",2.92379319766688
"29",2.46529448387944
"30",2.25752120155091
"31",2.4549317835002
"32",2.51460316113493
"33",2.42055470032322
"34",2.44916452004388
"35",1.88616117765873
"36",2.63726975139033
"37",2.52512238720458
"38",2.45956353977655
"39",2.37622424912816
"40",2.24200160419209
"41",2.42882234950474
"42",2.06353906772295
"43",2.25017698696261
"44",2.89435481745356
"45",2.76871717143713
"46",2.10404793424486
"47",2.42063645585038
"48",2.78273336542096
"49",2.45770415661773
"50",2.71633156460377
"51",2.43548084586027
"52",2.78550835356288
"53",2.57135322414031
"54",2.42619464785047
"55",2.48535806015797
"56",2.58747252441067
"57",2.33068911637837
"58",2.62772236362955
"59",2.05517793276357
"60",2.47715549996049
"61",2.62866182921951
"62",2.6351960229411
"63",2.3683159706546
"64",2.58954764706411
"65",1.95439142567695
"66",2.17957627700877
"67",2.23477222593234
"68",2.07823905498039
"69",2.23082567355698
"70",2.48489486273408
"71",2.41251385350251
"72",2.44664118156898
"73",2.12678881640962
"74",2.5670061065878
"75",2.57665507647988
"76",2.50011397090021
"77",2.44702925574334
"78",2.44786350609582
"79",2.78286690811673
"80",2.29429388954152
"81",2.46538746143382
"82",2.27772440718176
"83",2.19552223190469
"84",2.45803880800925
"85",2.25169568190148
"86",2.5580906578598
"87",2.40894387514205
"88",1.79695386094723
"89",2.35905006989697
"90",1.88551544198479
"91",2.49678134279976
"92",2.46826770648095
"93",1.9275861353573
"94",2.21935026699034
"95",1.97739032762129
"96",2.22443819793622
"97",2.69406659417175
"98",2.35769460357405
"99",2.90358840750131
"100",2.53063873951785
"101",2.16519560929196
"102",2.6783244595705
"103",2.35783287006642
"104",2.36967342036832
"105",2.48900006798048
"106",2.19568858001969
"107",2.69090677681986
"108",2.92390599600809
"109",2.23189532215066
"110",2.35153656003605
"111",2.38150854291328
"112",2.43442049162174
"113",2.84986706091348
"114",2.00968585114328
"115",2.23350814540599
"116",2.87216198822709
"117",2.63508061957015
"118",2.27070708171721
"119",2.49577555213861
"120",2.15886484934969
"121",2.20917979263886
"122",2.30556321888917
"123",2.48638595020176
"124",2.4882558428913
"125",2.17617359683326
"126",2.40839752790617
"127",2.68884135614608
"128",1.94472130698605
"129",2.27852021782225
"130",2.29594435208648
"131",2.51633646931295
"132",2.67416415660362
"133",2.125724980963
"134",2.39605653238799
"135",2.79982634945747
"136",1.829710425409
"137",2.5824310388771
"138",2.10089520663528
"139",2.54310260552055
"140",3.01766715739348
"141",2.58117975546326
"142",2.66920213358805
"143",2.41631086664005
"144",2.99500303829816
"145",2.49989895086457
"146",2.77323559358363
"147",2.48875533657167
"148",2.35293489586799
"149",2.38484439873817
"150",2.31248993040116
"151",2.97206304424967
"152",2.49944722014012
"153",2.40452262544614
"154",1.80375263488965
"155",2.00813835993749
"156",2.73941830514695
"157",2.17838917344621
"158",2.23536022449781
"159",2.4390370355507
"160",1.94734242719597
"161",2.02751879556131
"162",2.32081715685967
"163",2.35966847791561
"164",2.08677247893017
"165",1.80422723731267
"166",2.49113609063457
"167",2.57113328787375
"168",2.44910029410022
"169",2.3167909431879
"170",2.19386724089936
"171",1.94513544766732
"172",2.57517507334533
"173",2.31212139776884
"174",2.28483644868166
"175",2.06823803845301
"176",2.14927241563627
"177",2.84789813030203
"178",2.80425288243439
"179",2.70230053344309
"180",3.06670084364895
"181",2.1207829946053
"182",2.36810422756521
"183",2.26604102739934
"184",2.83866841843372
"185",2.10441350895768
"186",1.96762219587387
"187",2.72866807788786
"188",2.32225814770509
"189",2.42883526772934
"190",2.29099731865009
"191",2.42588260240683
"192",2.55545266285818
"193",2.88399595923607
"194",2.01303548875977
"195",2.45499308708851
"196",2.37601926491345
"197",2.11848867483905
"198",2.26835973585036
"199",2.70335031308064
"200",2.34925778388724
"201",2.38162228725177
"202",2.46099575271297
"203",2.49642113902923
"204",2.61790353852619
"205",2.1802362147917
"206",2.5677908783488
"207",2.51785109372737
"208",2.27142683001836
"209",3.00952368243899
"210",3.15816548351205
"211",2.75576192869748
"212",2.31394997728235
"213",2.59258022926112
"214",2.58018514697858
"215",2.62701468762299
"216",2.49412423744228
"217",2.91581060724278
"218",2.62919027770245
"219",2.1351036882085
"220",2.30115049366593
"221",2.46350769925908
"222",2.30214766422232
"223",1.85691007095853
"224",2.18227977100358
"225",2.82814570993914
"226",2.47129510789005
"227",2.24322279928869
"228",2.48340960750284
"229",2.35126050306385
"230",2.6388865179567
"231",2.4338194139431
"232",2.42899157801868
"233",2.4054150968484
"234",2.29586266193014
"235",2.69622728720685
"236",2.14646544814169
"237",2.53040056288135
"238",2.65618229669551
"239",2.50345342886474
"240",2.71178998910533
"241",2.25389330562957
"242",2.47801538326375
"243",2.58403219045523
"244",2.44796118812295
"245",2.46485822946361
"246",2.30826651405788
"247",2.53106782633873
"248",2.11858334247566
"249",2.36384256458781
"250",2.14456896897201
"251",2.18499765912863
"252",2.77139999709434
"253",2.89474110597461
"254",2.3248369021642
"255",2.31180856926285
"256",2.52228060735329
"257",2.69113969847692
"258",2.11021694719211
"259",2.65522896705543
"260",2.31696010402032
"261",2.30354300100777
"262",2.5309441429089
"263",1.97431900981092
"264",2.22340394284538
"265",2.91468422513208
"266",2.3752507399391
"267",2.26489270103763
"268",2.74562581497776
"269",2.3261494120003
"270",2.42735552307592
"271",2.04894288502397
"272",2.20768671214379
"273",2.01213024290409
"274",2.4604941519804
"275",3.01125566540862
"276",2.74132340190554
"277",2.56381007875428
"278",3.06328894374998
"279",2.48033748276074
"280",2.46098132560644
"281",2.1748594193709
"282",2.80037420280023
"283",2.23185950965664
"284",2.60608365920299
"285",2.2188229790845
"286",2.26941275527736
"287",2.09666670061975
"288",2.40217616200387
"289",2.31620141073547
"290",2.67356787380203
"291",2.39932869578232
"292",2.14852172558395
"293",2.62111019907033
"294",2.48763827972545
"295",2.34035275502349
"296",2.14165515242728
"297",2.00341123403815
"298",2.30867909691271
"299",2.23199440622238
"300",2.41230764920027
"301",2.3941361819038
"302",1.92648687068934
"303",2.26103639889942
"304",2.21380511638248
"305",2.33110868242595
"306",2.13648958402925
"307",2.70394693907299
"308",2.11399449974585
"309",2.63509715643976
"310",2.51296667882941
"311",2.46747230566524
"312",2.08601594360456
"313",2.94839892947464
"314",2.53571323464865
"315",2.16597452252554
"316",2.12831465833277
"317",1.92418590644463
"318",2.06152572097193
"319",2.02867020102689
"320",2.63382693377545
"321",2.50090695535466
"322",2.29471411364463
"323",2.45810850964252
"324",2.24504333681643
"325",2.49070566285021
"326",2.79365431758634
"327",2.6491934601745
"328",2.39675419151077
"329",2.00066625151
"330",2.12956131713937
"331",2.25965056041969
"332",2.54805642144473
"333",2.38575327655151
"334",2.23514188106251
"335",2.03012641682878
"336",2.74188296450415
"337",1.8953563682045
"338",3.16230380609002
"339",2.60138483681786
"340",2.63376473354783
"341",2.50649075453957
"342",1.89879255557218
"343",2.61411146293
"344",2.7209680560833
"345",2.04006452024445
"346",2.64461978341039
"347",2.59606432119293
"348",2.32721478027623
"349",2.33582631252466
"350",2.27835569994315
"351",2.65564527495718
"352",2.00865318054926
"353",2.34281058101517
"354",2.2061653559373
"355",2.37362959824042
"356",2.55098899554536
"357",2.19828853548954
"358",2.09822567305764
"359",2.40602547186261
"360",2.43456311270643
"361",2.28030359722776
"362",2.21167245233368
"363",2.51455842456637
"364",2.30774987605376
"365",2.31681485205747
"366",1.84702746777059
"367",2.05963088994976
"368",2.62882567196122
"369",2.26827772174397
"370",2.44961474812847
"371",2.06626415204267
"372",2.47190761082746
"373",2.10939856318453
"374",2.22535422369078
"375",2.38753809194298
"376",2.18951273977941
"377",2.13755220988794
"378",2.24764370420454
"379",2.81953201105682
"380",2.68766577890832
"381",3.15706001610296
"382",2.59309472263623
"383",2.18707439561607
"384",2.42048202365591
"385",2.23261378904047
"386",2.16200940703251
"387",2.4496905197212
"388",2.44347394295027
"389",2.63631522669703
"390",2.42065399025726
"391",2.4438961921039
"392",2.27013901800502
"393",2.37901257283173
"394",2.25160073710461
"395",2.61263108777753
"396",2.37426329924779
"397",2.15867493734674
"398",2.24892836676536
"399",2.60383828855036
"400",2.57590506773545
"401",2.89336048135819
"402",2.33976400445365
"403",2.34388389147608
"404",2.32331420632931
"405",2.88500269243703
"406",2.39385889386684
"407",2.39341084802498
"408",2.40671384051934
"409",2.53354987389093
"410",2.32894497739334
"411",2.33151687575035
"412",2.51125134643198
"413",2.05595859301726
"414",2.18756099645408
"415",2.05848373795055
"416",2.54305007670426
"417",3.04771835006209
"418",2.24748844823284
"419",2.52467044979308
"420",2.53514192277996
"421",2.44074891099913
"422",2.28595697954173
"423",2.43124016231243
"424",2.01588338697941
"425",2.26694080111783
"426",2.09306042082778
"427",2.54270754198846
"428",2.41029758464677
"429",1.85095031359974
"430",2.32261017876027
"431",2.20814540688405
"432",2.46550862322689
"433",2.39917859053464
"434",2.13433348669178
"435",2.10545818408244
"436",2.66935402109852
"437",2.59566590140085
"438",2.20797912678478
"439",2.41238971011718
"440",2.17726728107662
"441",2.02314058130406
"442",2.39845995979624
"443",2.31257285242602
"444",2.17028947335279
"445",2.00576001872138
"446",2.28831828306248
"447",2.60249268122131
"448",2.84519567082303
"449",2.21811590351409
"450",2.46978773053353
"451",2.29024085777756
"452",2.99152239094367
"453",2.1587141543542
"454",2.1091458904924
"455",2.23294078895111
"456",2.18859493026419
"457",2.24205919807457
"458",2.31680614960608
"459",2.77954056015094
"460",2.26591043577514
"461",2.48949379925233
"462",2.69263682009259
"463",2.0204990876559
"464",2.59852712706896
"465",2.24939755996133
"466",2.55014621295738
"467",2.35973609450117
"468",2.03438971200016
"469",2.52990166306117
"470",2.01680537129728
"471",2.21542637320057
"472",2.68011201504532
"473",2.56176007592353
"474",2.70407141388868
"475",2.24315359491121
"476",2.67176219918318
"477",2.29072726249167
"478",1.98377702814419
"479",2.08192306322977
"480",2.12040346471831
"481",2.29566711399887
"482",2.12792116639988
"483",1.97773765443725
"484",2.30961007557528
"485",2.74209783373318
"486",2.16665746621987
"487",1.97901450436327
"488",2.55810803273398
"489",1.62169183430712
"490",2.01551399092125
"491",2.25286351148041
"492",2.20112297283105
"493",2.3711437800222
"494",2.25825838047537
"495",2.93367980708824
"496",2.25544474679317
"497",2.49050912771689
"498",2.49280367306819
"499",2.54309457804745
"500",2.16860683244029
"501",2.26353373209537
"502",2.27081528555573
"503",2.72497299267509
"504",2.35865153005252
"505",2.84339501791603
"506",2.36302192590904
"507",2.62901073137128
"508",2.39842413674106
"509",2.22310869344847
"510",2.49969058309147
"511",2.36808603875888
"512",2.74485040205611
"513",2.42545873714748
"514",2.83145455785128
"515",2.2983743897742
"516",2.10396113358251
"517",2.6941587671859
"518",2.63494591931541
"519",2.43077108549673
"520",2.40209709232516
"521",2.23657427186093
"522",2.29001221303024
"523",2.47911588440479
"524",2.25794594566713
"525",2.21543855323627
"526",2.39211728262579
"527",2.15347895984883
"528",3.01567741711949
"529",3.1535523490034
"530",2.28802759856581
"531",2.29631434878597
"532",2.58730337046332
"533",2.68739550885263
"534",1.83614232033259
"535",2.22457747689131
"536",2.24993016070718
"537",2.46002895750414
"538",2.63938629797555
"539",2.33511936388773
"540",2.41679178765072
"541",2.32593252385891
"542",2.26883279440038
"543",2.1338464729888
"544",2.37101317234877
"545",2.22532243047173
"546",2.49213148464041
"547",2.41265401446476
"548",2.2835031432276
"549",2.73059885326752
"550",2.35717762742198
"551",2.8071755775014
"552",2.36313476907529
"553",2.57043502405577
"554",1.82818864946881
"555",2.07813027695439
"556",2.12805668752227
"557",2.44515067111946
"558",2.4321389657824
"559",2.90652455667734
"560",2.28438220741936
"561",2.14109024464195
"562",1.97808270397396
"563",2.75148977275424
"564",2.54973065392557
"565",2.59245457010199
"566",2.50331172515637
"567",2.55198730722217
"568",2.6860395012827
"569",2.20590087485063
"570",2.38418513276464
"571",2.81881917373155
"572",2.38681504969752
"573",2.01306719807335
"574",2.33016856220664
"575",2.32008108726183
"576",2.1761155049853
"577",2.34894996984739
"578",2.25319571874578
"579",2.35319692394332
