"","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","beta0","beta1","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"21777",-0.143819953801703,-0.0905288849050766,-0.282043881992404,0.208088271100385,0.0382053847176027,0.0412463560843447,-0.0573689488179737,-0.0377794605692542,-0.300340170181166,-0.339287644945688,0.0445197605702228,0.188180257232994,-6.53414221406191,0.743403539434405,-0.341443106860668,-0.242211795135656,-0.02930224221984,0.346357151643529,0.10213432540267,-0.22965994497505,-0.120948088818925,-0.115139637246161,0.0696737929930986,-0.136347445641384,0.118209317942326,0.370675816011696,-0.168537706260639,0.0678424890208696,0.215366616212902,-0.0515757346623121,-0.078861785671571,-0.240363981202051,0.0920891763550456,0.217761841299766,0.185872276182466
"24251",0.053607743226025,0.170494810658438,-0.0563303842064303,0.0305430049665074,0.118118286983976,0.0107614918812525,-0.179556430297548,-0.105841366285821,-0.332533630280456,-0.41179422194426,0.0787442173186433,0.179723654333962,-6.31191859959902,0.710956793994043,-0.214536142920015,-0.2508265190754,0.222019282496246,0.724583169104787,0.278361535917066,0.00957838280422646,0.122835815397508,0.0521059107634849,0.140369348798224,0.179592759057684,-0.503117131508333,0.23687447033944,0.0435942312333417,-0.326408661087419,-0.213854324560001,-0.106503119858484,-0.00808051845340188,-0.129629158265153,0.174068428442439,0.304329256890966,0.291614515463535
"17915",-0.0787798189371366,-0.0767977298953749,-0.163158067120797,-0.190272149219868,0.221647441292424,-0.068299722196665,-0.193655244086802,0.0514531411788034,-0.518165573123487,-0.360156084563706,-0.00961582879682626,0.45673944052389,-6.76485439819573,0.759996609214955,-0.108078807905963,-0.243935955622099,-0.22310187060742,0.44757354019885,-0.0581438496810361,-0.377174058107618,-0.0185260277635218,-0.00156981105959201,0.079569979609816,0.268001903672215,-0.054188500221684,-0.0148590548403948,0.419989707147974,-0.519758497553312,-0.00982655042080372,-0.328612562930066,-0.146313988589817,-0.163835990014147,0.0939730283037844,0.224645130605184,0.287654463816903
"18891",0.109356002118805,0.071844432450326,-0.291879640203642,0.182718051203499,0.284692279417153,0.171274417504535,-0.0268636593321833,0.0624345900341054,-0.430371457033933,-0.325649945186177,0.19324857386892,0.47407590384246,-6.32493624262683,0.704877863717329,0.125691738514265,-0.0470934660965923,0.0322631425872604,0.483732881091721,0.0760586890455739,-0.302662669113666,0.116819640949487,-0.194959998282987,0.169192823832879,-0.0832097396661341,-0.093006093093862,-0.0463137348349493,0.11771374662733,0.0150797206406678,0.168684524789145,0.0758700685293944,0.0758400621631802,-0.145007862278406,0.0321245407495747,0.631905962625147,0.179728657367147
"3108",-0.0916872201451849,-0.180477027437092,-0.319483506597128,-0.107296384469047,0.179713797309897,-0.0937628989072228,-0.0353729881590186,0.0368111416099958,-0.554096005347264,-0.470139412451317,-0.00946985060559934,0.270163645705463,-6.79756112273659,0.748659630566041,-0.108028026273182,-0.120277406963372,0.185975973463693,0.608724636680148,0.032916244551713,-0.0155018015953719,0.0648075836968891,-0.0353987150660067,0.204388037018834,-0.150765243784583,-0.164626991184524,0.114574102420244,0.150733823472008,0.0476022940001409,0.07192755714278,-0.203378838572303,-0.0425347019198762,0.197971164423611,0.221247982531056,0.258404496399673,0.217730999550992
"5546",0.214271084049897,-0.0134585434506573,-0.0416189404951628,-0.0940801970164201,0.0940070875424722,-0.0941040200897724,-0.179792057779855,-0.0348000968554073,-0.485875632358993,-0.36636340524201,0.0565592813359852,0.0779159423678917,-6.00394758007628,0.689900203372782,-0.0525931124177622,-0.161865570010039,0.21664658383205,0.596629678091338,0.153739858363179,-0.175926701033989,-0.0755508919740068,0.0611497942565927,0.181771766305881,0.0883172732179945,0.286231450366187,-0.156376077840361,0.0869369644383396,-0.36680389029061,-0.029450590969635,0.34754873870545,0.0832814575984759,-0.239048080164586,0.096603017805379,0.214954054049042,0.211133131016759
"1406",0.488570091157328,-0.212902878749166,0.224855372135571,-0.044918002801181,0.332483854976649,0.169664328487554,-0.0238357318137467,0.11699995754208,-0.216838106947132,-0.247776777216059,0.273913329574358,0.287234262403792,-6.61976696125638,0.723927028850239,0.0485983780216832,-0.149481698869164,0.0542977822875403,0.532187873758525,-0.028258068804713,-0.348666119517351,0.114010404432876,-0.0972594874563079,0.158113998244254,-0.142435107051174,0.0944955020550703,-0.0718845983578569,-0.147448354531655,0.0977374576024127,0.20147244872742,-0.364050472584745,0.0417289168973409,0.0818750227094126,0.120811011898575,0.236933144178757,0.192518839354654
"15995",-0.153400807162873,-0.290645310723345,-0.413747077661026,0.121893230222071,0.134238237074194,0.114898132525825,-0.208542164159849,-0.166591029803045,-0.358728414281355,-0.237695047269638,0.0834038860995805,0.169041713081348,-6.56101068535291,0.731477831397215,-0.202100796567584,0.0647928866309204,0.0574589560735638,0.564339726422314,0.065628034434455,-0.439893204906481,0.0744655862629838,0.0521699295117021,0.291802378926472,0.273867870560395,0.290023775867855,0.40472484210271,0.3606300921791,-0.319656057008017,0.0354981774876258,-0.247175656783102,0.00465776078920582,0.0229808763319434,0.163404894010061,0.201134420559402,0.308367968443832
"22776",0.0074703964405854,0.300788564059483,-0.151030103186497,0.142916282247879,0.20662511306069,0.0308318197253764,-0.0067326333271162,0.0608341373988561,-0.279093730571261,-0.227486685753185,0.162326215060406,0.389574134463539,-6.22893725826591,0.701612339858428,0.382549441798653,-0.25332112373798,-0.0781696445658195,0.556349970350739,0.0246626415774913,-0.274550206847944,-0.0433084327014282,-0.0271219436681294,0.1182114086964,-0.346781648910362,0.362921916246719,0.0790492027466442,0.4223961710437,-0.0266151333980254,-0.830067616946155,-0.53310775837054,-0.231389035327447,-0.252350315499322,0.0355668776137672,0.19810652489671,0.459377873704489
"11214",-0.067444878205553,0.136107911634424,0.12792743808278,0.0204974898377107,0.357967562174786,0.0333706439066136,0.00656869638408851,0.0777964530128897,-0.514898579713522,-0.168783628925417,0.188099148844137,0.422664928070008,-5.97104805793431,0.678597419247846,-0.484986331699748,-0.194402477224535,0.068795328537764,0.523082073142274,0.0810112287084963,-0.444844949872377,-0.0307342102622706,-0.0536575631357601,0.245297927571415,0.170108788428376,-0.119526439754506,0.842747952308971,-0.179902661914496,0.103599192334254,0.00393783021668204,-0.145144605122421,-0.0507637291880462,0.3723900234491,0.177215862251477,0.208133490069406,0.310512999393896
"20769",-0.0358001547353662,-0.24282959288447,-0.35537638432442,-0.16888427527795,0.0481782975233416,-0.230436247711011,-0.219910437560819,-0.178429042554555,-0.461777283258214,-0.597964760233013,-0.139484412653533,0.22569285404215,-6.25078566755786,0.703031057389791,-0.180244562445777,-0.134505807739521,0.235836714489534,0.766829894161989,0.196713957766867,-0.0389502383947805,0.127860142378865,0.259849193386335,0.304738236453963,-0.204882013559888,-0.25951811467464,-0.321065764406306,0.163060289661481,-0.228646264155481,-0.110602572203246,-0.360112037124042,0.211284489466614,0.0533561217985922,0.525808763443941,0.302649863374352,0.301140981645842
"4805",0.32631920825858,0.206874093822948,-0.183615181897082,-0.200809326845962,0.175418598111456,-0.0286916748601681,-0.00468097096185534,0.0787292465317045,-0.438928946174885,-0.424252784304385,0.225393259891261,0.343984666792807,-5.90937261251578,0.67808450598229,-0.505938787292156,-0.118768288014442,-0.0246850221432476,0.555035034136185,0.06694573588974,-0.433625258564237,-0.0214773854546927,-0.103182007552303,0.0915064793571842,-0.686015033580318,-0.168548583229876,-0.283695503115929,0.89141369805356,0.661674764019796,0.000401357328745064,-0.0135064336084158,0.0286016429911541,-0.0670287958312927,-0.0378396481036046,0.448098514254854,0.314128017502143
"13459",0.268745524057469,0.202576535764992,-0.269865280173067,-0.189718670357378,0.0585226290880864,0.0790148119069343,-0.0867386727811828,0.126036351579723,-0.505847735277684,-0.149846289380429,0.204615778805908,0.339116713168029,-6.29092608458518,0.714023468001781,0.0924451558133763,-0.14287361514919,-0.0560092094879644,0.460776948224985,-0.0636907081323079,-0.343544043337,-0.101287547395487,-0.0560996694923655,0.0671444555144828,0.0472197678877501,-0.120292340368342,0.0572820179848501,0.121639912557157,0.154492191079046,-0.0982532319390659,0.0480746464688248,0.159913919183827,-0.116713449168284,-0.0142848596732441,0.292247725396982,0.227415865633517
"8625",-0.206273431615169,0.115427479560592,0.038937013663791,-0.154322665533663,0.225951349217663,0.102509606864626,0.0534514186095121,0.102781545424765,-0.435786725430105,-0.286486677307007,0.233116519684167,0.254945717806373,-6.32508504688119,0.710895083058325,0.511018478733501,-0.27150163218754,0.0740327588514419,0.395345713132703,-0.0722743194742704,-0.334300830556118,-0.0721914142800366,-0.0657431718494541,0.191967423063138,-0.27130977120384,-0.210284575553319,0.230725682179323,-0.52751901822769,0.294438737163227,-0.0413764639761149,-0.323081339325347,0.255314674216445,0.111967208659969,0.0389596697613657,0.253766851886222,0.235177128282911
"24032",-0.613889967283778,-0.170915910894833,-0.514757316577543,-0.330473254704064,0.0620574298449767,-0.195843609300374,-0.14867397116564,-0.00525983797969763,-0.557882445711803,-0.555227476625826,0.0194823006152046,0.296420095510769,-5.9194162531664,0.695292086551161,-0.0890464351208193,-0.25370684538762,-0.0929779270551625,0.413429377890429,-0.0149308278315575,-0.425498866693496,-0.188130691771288,-0.133953030077619,0.0515503294175797,0.0966685137876305,0.602566590984172,-0.162252543543821,-0.199726265530417,0.2786638447508,-0.449115033607571,0.310751665139821,0.20291967648266,0.0430204765876265,0.203343058973903,0.342079001403153,0.264102924379349
"6511",-0.246680677841104,-0.283611032781862,-0.222257533061643,-0.132787130739115,0.253718898465265,-0.0232982929411491,-0.0433384258342471,0.165134937038298,-0.463591290138405,-0.467643023886608,0.0927872730230152,0.235156502306865,-6.4120551551875,0.719432441431926,-0.0269240345039734,-0.0900733761218496,0.0475264998101331,0.623077168783462,0.143396471851642,-0.105696266657183,-0.00506837179499769,0.0506676071843736,0.000647563263003674,0.120422520670845,-0.254674879007972,-0.00409948051974252,-0.158437979688062,-0.367057272023274,-0.181766053265183,0.147994205210793,0.368350286150093,-0.0585123639746193,-0.0114204586520091,0.256411702214032,0.241760165357127
"1635",-0.0511483573430049,0.154898245032741,-0.140720679381298,-0.0690846848721374,0.396746532135889,-0.00544498740164298,-0.0283804596624562,0.0158030054152264,-0.0850804293381473,-0.234420754750881,0.232959576537785,0.265739183542591,-6.78150628846675,0.757701030572902,0.0456570720694602,-0.078147968003285,-0.0549640334581492,0.342526058482699,0.0602970694156185,-0.327208976577993,-0.106473294333012,-0.00570082909765478,0.00340275997106093,-0.212719025870456,0.107050795505347,0.0501764454306064,-0.0132913602905616,-0.172963382172631,-0.0191526593552709,0.363527859138626,0.0180650362284726,-0.158534454899444,-0.134124773505777,0.1377286461411,0.214412756700846
"21393",-0.00537414476327136,0.0872409243842775,-0.0678350649052719,0.0143703848616848,0.132671341373362,0.137438087220797,0.0305500526988703,-0.0297290419315003,-0.293286818406742,-0.339412887684121,0.217979745672223,0.338528877148787,-6.42485636151046,0.73189890142344,-0.160448361180323,-0.276722405178679,0.00881952552349942,0.298869939053856,0.017430950028578,-0.66578329549958,-0.24331231617528,-0.191484671819591,0.111076726413385,0.246587172040584,-0.204236335561683,0.347912837159674,0.291192368423246,-0.579638699964316,0.113584316289856,-0.244517905943022,-0.31588096615067,-0.200441198301069,0.0881363883515273,0.265732017065921,0.362862306276783
"23408",-0.106667096139853,0.154639525651644,-0.0792478910557455,-0.103800021263454,0.23593596884089,0.102490361863357,0.17555957557274,0.180508563836239,-0.310789948572653,-0.173314003901373,0.220989001287983,0.364108385353801,-6.20100765993994,0.693852615634039,-0.121598053412085,-0.253204758805431,0.160752418762665,0.655415896972669,0.0518625257638366,-0.209078384034892,0.111537589887277,-0.151092736877748,0.0799073718714121,-0.00304415298473219,-0.0502147663856404,0.359783457216306,-0.0613845929960306,-0.195841399599144,-0.0826885160920868,-0.106328227066958,0.122470075925433,-0.0938587353964813,0.0625200910385759,0.193523476765564,0.214458163565161
"15295",0.0504090338342798,-0.0522591624718652,-0.408114567014983,0.0166313509045096,0.0911134165518341,-0.139922230811203,0.0413280585989791,-0.00366789551646839,-0.64103293609183,-0.192759725343507,0.0966048842765992,0.109169518346854,-5.80732200067105,0.67971000593876,-0.103317803798032,-0.23045539047701,0.109853104335,0.378820415498511,-0.0712552046543552,-0.333484597720466,0.0410382142073582,-0.0240011575966739,0.113121522502579,-0.0767139208443028,0.0223138932972165,0.273567618685552,-0.126127532278167,-0.428199520513886,0.275478545858288,0.192823178414301,-0.287158169737249,-0.127029205832103,0.0118559895726819,0.170826170316712,0.222342600319516
"15873",0.200586641542919,0.0167152801647881,-0.198978530819251,-0.0663692524954672,0.22255629297124,-0.0284579810054301,-0.234811798699527,0.0236344719710733,-0.452829390490778,-0.177160044482237,0.189051273783182,0.0583128480924319,-6.59476826194469,0.740278136278302,-0.316715851040764,-0.0512441764408889,0.0159196743232027,0.465397069012274,0.07370351853748,-0.153812906362841,0.0428994481261885,0.109021720184681,0.0412669881566961,0.430828531882381,-0.282660273191572,0.0950040876389233,0.361067599855601,-0.492529709677427,0.131665835349086,-0.0088407744803418,-0.00391808579334775,-0.087557067888259,0.0194523794427423,0.22081052057494,0.358494531470414
"21491",0.0798815763533504,0.0938918787598753,-0.0575350675031359,-0.336071648437204,0.260575284850322,-0.101074738165543,-0.0629913096112119,0.0470745065451004,-0.502999977405705,-0.271820858464092,0.183530022931297,0.289564434909045,-6.60090970564965,0.723990035407085,0.284091477888797,-0.059795649997828,0.102450684545505,0.499588345606517,0.0458957824356114,-0.0878871754123883,0.0244177689880764,0.088372751232591,0.156522219186621,0.323307227415909,-0.445811591838329,0.342495128335338,-0.34946349389107,0.123181717800395,-0.406299941071893,0.235622518093701,0.0437051285210758,-7.90496837285771e-05,0.303411248262806,0.177995770439475,0.232211945105705
"12188",0.265381960474101,0.445658571425284,-0.112810017542417,0.125775262826547,0.241108689428646,0.176600935070937,0.0820316672952643,0.290729585585894,-0.271978468429729,-0.191311324453438,0.336119578480018,0.554527609193694,-6.1649078737163,0.682292815923505,-0.544383654223573,-0.0413136502067364,0.098244045880989,0.604253445164892,0.0121835713256995,-0.35802389469718,0.0978798310190044,-0.125845248116561,0.248678560220937,-0.0498888732509761,-0.132630709641787,0.620525697661528,0.392807100503234,0.238771440115018,-0.255092157250774,-0.161825032482691,-0.254051887058545,0.101487447734686,0.204538030381188,0.33447563713436,0.340353842172746
"5971",0.0785142590558897,0.027755419171243,-0.264376105207088,-0.18870452980418,0.248366037999259,0.109450154600665,0.035105006613466,0.263427808343511,-0.463536688093661,-0.336645317563978,0.223516403839382,0.30424111376184,-7.19622220383738,0.797023648330508,-0.0791319087963105,-0.308574744944326,-0.130360352919918,0.322751594997646,-0.0755863063110186,-0.440257698465733,-0.195419065896729,-0.0749986337210727,-0.0966986828744304,-0.370781208752511,0.0958314925925159,0.00265533471451004,-0.0726105971745912,0.404326891214368,-0.135273173767914,0.0839201416256347,-0.14281074400796,-0.148623762769917,-0.070550630701155,0.324499062814567,0.170924310560165
"7299",-0.101387222467106,0.0138112311054404,-0.860565252659739,-0.504951480017262,0.134114215814684,-0.0033388632067079,-0.220590241646638,0.058201429522616,-0.275180471951473,-0.406021013542542,0.311558145159744,0.305117063127972,-6.31691907843821,0.721240709109208,-0.178829382178943,-0.148903157348624,0.0677808389458183,0.42369370837355,-0.0743891076400071,-0.380758103226283,0.022477583673691,-0.167530028393772,0.0647630943240863,-0.238305260791359,0.188495789174265,-0.353989565906299,0.123045676143153,0.0355030939675065,-0.0924306287132489,0.249924193642401,0.307631983078959,0.0375932131671276,0.116856653005509,0.314298427401417,0.196417265752164
