"","x"
"1",0.497430565819905
"2",0.46509051973177
"3",0.475894128196108
"4",0.450334088335962
"5",0.502787130582137
"6",0.466637746469875
"7",0.479675002674293
"8",0.448970704428431
"9",0.496426719238761
"10",0.495456067501338
"11",0.477653525857976
"12",0.491858592080288
"13",0.438671661266713
"14",0.479298535440804
"15",0.481212607349492
"16",0.444189147629607
"17",0.460165915416452
"18",0.477523779569626
"19",0.498078939872751
"20",0.463558421523262
"21",0.454202037430945
"22",0.4614997611472
"23",0.508775067158795
"24",0.509525949575887
"25",0.525345531333425
"26",0.487705489082284
"27",0.502806474230223
"28",0.4904781897479
"29",0.520450658344392
"30",0.475811242617414
"31",0.461530363147346
"32",0.474246879510987
"33",0.44462568439109
"34",0.464956337148493
"35",0.477901750834262
"36",0.471232565025887
"37",0.466903808678336
"38",0.478963755764153
"39",0.484892168762196
"40",0.458684909952694
"41",0.455997629883889
"42",0.477590009881676
"43",0.482672156921091
"44",0.430351626359829
"45",0.453469652016034
"46",0.455882984408407
"47",0.45238680359672
"48",0.480487325394432
"49",0.459104790355776
"50",0.501639813957504
"51",0.473967544055104
"52",0.514423111715531
"53",0.449105535950464
"54",0.479143976914485
"55",0.483837640356103
"56",0.495429771194298
"57",0.51202555374973
"58",0.459466813729669
"59",0.505027067233803
"60",0.47207597139278
"61",0.507010183280278
"62",0.470596714776722
"63",0.488976607925792
"64",0.484951068211593
"65",0.477496242626792
"66",0.479004482270937
"67",0.471596525919407
"68",0.49047696678357
"69",0.445173011556725
"70",0.477631306139607
"71",0.456421446443275
"72",0.489981370970268
"73",0.472412410967059
"74",0.478404714938116
"75",0.47336434669794
"76",0.429340734125883
"77",0.476708134688705
"78",0.48702767098671
"79",0.444000527285439
"80",0.468101406267979
"81",0.470526257246098
"82",0.481977338595449
"83",0.479343450723533
"84",0.513136382128265
"85",0.457906482633752
"86",0.514414843324843
"87",0.458829534440376
"88",0.462844977649201
"89",0.490193173002825
"90",0.477418506596126
"91",0.485787127868856
"92",0.498667908367174
"93",0.485294177768176
"94",0.458798984308358
"95",0.482813206121581
"96",0.503972469875923
"97",0.453975326013671
"98",0.503931582726282
"99",0.474941640160647
"100",0.475088659270111
"101",0.501314545450319
"102",0.473129367366939
"103",0.48879484900096
"104",0.474516087998788
"105",0.500563426044273
"106",0.456762711410283
"107",0.462550452898448
"108",0.436668167983335
"109",0.464340545700271
"110",0.46619769439574
"111",0.498040558025317
"112",0.452286446761512
"113",0.493902982126556
"114",0.491234333399608
"115",0.457139649772769
"116",0.490553980329359
"117",0.497969879901714
"118",0.514272221311454
"119",0.48595629827123
"120",0.47546997878933
"121",0.459267412113196
"122",0.443176093144929
"123",0.485262326575539
"124",0.478308379386127
"125",0.488051642134181
"126",0.460993154895799
"127",0.492781678897778
"128",0.46383332561803
"129",0.488571467772293
"130",0.473832389074018
"131",0.468466622079006
"132",0.487630612384952
"133",0.504103354065705
