"","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","w.13","beta0","beta1","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"18310",1.25878882087582,1.23251126487204,1.12655374800088,-1.09364316484739,0.26415707015413,0.165372340409084,-0.0100050330365468,0.237676791192518,-0.705132011241311,-0.87923259415657,0.123795928651721,0.490707441945426,0.0933518820695994,-17.4440504797918,1.56680153182762,-0.0750893644866566,-0.130180386481492,0.0207858454153915,0.870841452544453,0.287296714223561,-0.0358754154920316,0.316570907038692,0.138296545824769,0.418806870163012,0.0222164938082044,0.611167609173831,-0.0473614575251283,0.426626539087857,-0.0595860116635597,0.0188293393776263,0.276014606146254,0.361375388317094,-0.283818772046126,-0.151138979345218,0.639315200044435,0.251270559578982
"1157",0.794570641897258,0.549739861138224,0.259127822272012,-1.7604579455952,-0.0062846406751245,0.0922262043289529,0.252640564467614,0.127620248370845,-0.940693131521218,-0.869955296702981,0.405201547666728,0.501147225582417,-0.841678761207365,-17.9266282180903,1.63294453630773,-0.287022848513562,-0.542762731244316,0.133615065064909,0.755143480858268,-0.132979292181193,-0.625823546033409,0.0485925811270647,0.109362010673709,0.0493345427209519,0.164731996145955,0.118099939238852,-0.105247568499277,-0.130821838020501,0.467046261537708,0.183892549176528,0.175297008842389,0.647715160672244,-0.045610300560649,0.136109984351545,0.707999356866938,0.280315561436793
"21233",0.829136983373846,0.301973073890476,-0.0807568720877702,-1.65160535300865,-0.285991158009091,-0.0660219878792888,-0.157903440430923,-0.289428681447261,-1.26821958237512,-1.3814190150124,-0.214888992731359,0.107215852773177,-1.01189485107094,-17.5677511670332,1.62291925616652,0.235548557266546,-0.0242023458028057,0.0218100504900615,0.691581185940216,0.00117507916444697,-0.327467132725698,0.023316149516986,-0.0738405235210638,0.235088448947509,-0.266398069438196,0.432291397728951,0.143568002489938,0.113512037370479,-0.150152301264777,-0.662859735568079,0.0179220408796681,0.561474604307361,-0.0847685625799258,-0.136721076920231,0.942351124519221,0.380250482907934
"4200",0.596960876641638,0.538944120619739,0.365718542503544,-1.93724503703545,-0.290696422356241,-0.339592089184795,-0.11644239504442,-0.159146882852211,-1.17816342495745,-1.15281933950946,-0.254270394306292,0.021225592526013,-0.618751965900606,-17.8325046978119,1.66909678524894,-1.32065867146018,-0.413179937128833,-0.236400934877867,0.710581680486317,-0.204940722065546,-0.747986688895932,-0.200879937372954,-0.222220443952195,-0.265089681195725,0.407747559792166,-0.037342988215633,0.199319892890184,-0.777964419731611,-0.212658728070055,-0.0622472539976928,-0.312805375864689,0.726294155261242,-0.436331143632186,-0.247637662321027,0.745102774100831,0.539329169054351
"11884",1.36963896019584,0.923409145484231,0.807326265238333,-0.90670157136809,0.398896077070429,0.528540563196151,0.492192764065077,0.435096951603151,-0.512113659101481,-0.493535579824038,0.571892101778531,0.97517854744737,0.480810197673487,-18.1262294141392,1.58484756167472,-0.296570879703331,-0.0325066855970513,0.173629954678582,1.0459988923036,0.184644360479485,-0.229379562013276,0.233639493795413,-0.0155144680451955,0.186280582209465,-0.363517398071022,1.14369116228548,-0.478409192273556,0.171041959904412,-0.645246563708294,0.329075869214408,-0.482623205179484,0.642763693275673,0.206218777422002,0.478315630848151,0.698131133016948,0.403082788441019
"6686",1.17655287606879,0.642744566402032,0.326328589417093,-0.86204847800525,0.260371190324552,0.0976575010494118,0.238228872256039,-0.0456686128395831,-0.613448365822327,-0.566388848424727,0.572634614779637,0.696253796843031,-0.522608839379661,-17.6510776239223,1.59872536950002,0.0821478307034928,-0.422645287576111,-0.161952305824985,0.432131362752166,-0.260460025778167,-0.454086829300408,0.0532809703416958,-0.153762809370418,0.155922034810591,0.196113223382033,0.79675800120782,-0.117010042235406,-0.329483139420728,-0.0515284742312514,0.690889315967204,-0.319064000421047,0.325087666053963,-0.101823442027371,-0.187251390984171,0.646118419093656,0.277924155020023
"23313",0.76194891306398,0.659080443964362,0.656261236255898,-1.19331993425817,0.225863580039121,0.627492528750021,0.572382202485455,0.480495844614787,-0.522619784076326,-0.595860471994091,0.646064281777024,0.941758117593597,-0.311539127474095,-17.1029636114451,1.53959273071549,0.158033633461994,-0.518936072368781,-0.237386947833956,0.364591406650745,-0.314203752968673,-0.720302157840289,0.126107003896073,-0.275920837089701,-0.031647312694772,0.0186014277266996,-0.77487525789376,0.070295282074197,-0.511638385170871,0.206770792461657,1.20749162311733,-1.27417278699988,0.310997283506097,0.0478175574650034,0.389239330138327,0.715998252504115,0.581231190019788
"19818",0.408026043564242,0.118494250868272,0.417095500830416,-1.62350575297338,-0.489139361769446,-0.433999025949287,-0.757888452963314,-0.219369129798373,-1.28139884200649,-1.62688297985225,-0.2297357179961,-0.0555440156549415,-1.38337492236265,-16.9145176077994,1.57541312328161,0.0301222083915424,-0.0750266555354593,0.0738159930114057,0.581750531203151,-0.0439016450349561,-0.266787957695528,0.0722766879977787,-0.0354531051260275,0.216058159289444,0.255413259649135,-0.117542220069294,0.181482260374852,0.208019366333166,-0.42743921264888,-0.466097554375284,-0.453023626418331,0.0051325490691055,-0.306976978789994,0.0276600720206578,1.47247070656043,0.27090880907167
"18621",0.754836791626445,0.56077858272023,0.406815273663353,-1.29255331608674,0.0934843507767261,-0.0718829454709201,-0.0966792819769654,0.124092548635296,-0.969835651709566,-0.980048475043882,0.360467384931353,0.263745076041349,-0.955451413831651,-17.5449885158186,1.59343531658069,0.0407433817048079,-0.255415898643307,0.18147145909643,0.973395048113698,0.0335563055878148,-0.531682331042142,0.0481894429080732,-0.08852169032667,0.304747825509044,-0.202291007830671,-0.333766652032176,-0.181692228926397,-0.146883252561661,-0.283254162118989,0.138983875967336,0.301440097593166,0.248640689045416,-0.120752054231979,0.0300801138657674,0.744427995055227,0.405616492335676
"11729",0.73146656191148,0.235114732933836,0.164993709196341,-1.26036479994534,0.342631984255781,0.198284801830371,0.182059769549871,0.151246329958267,-0.624122901357726,-0.864141496987076,0.459685985159655,0.624196732144386,-0.750611505038452,-17.811065187868,1.61874060826671,0.0583317921553034,-0.40522533835677,-0.137887878110081,0.656887027043357,-0.143468487714481,-0.465674627210126,-0.183423493091074,-0.258498624334033,-0.237259680045253,0.453881087332471,0.143598435956701,0.191034233536867,0.0228989121055659,-0.017014667786175,-0.0848079860189608,0.134848827846962,0.76339601343017,-0.167833992953286,0.0868845741998573,0.538658646646557,0.308353376402237
