"","w.1.1","w.2.1","w.3.1","w.4.1","w.1.2","w.2.2","w.3.2","w.4.2","w.1.3","w.2.3","w.3.3","w.4.3","w.1.4","w.2.4","w.3.4","w.4.4","w.1.5","w.2.5","w.3.5","w.4.5","w.1.6","w.2.6","w.3.6","w.4.6","w.1.7","w.2.7","w.3.7","w.4.7","w.1.8","w.2.8","w.3.8","w.4.8","w.1.9","w.2.9","w.3.9","w.4.9","w.1.10","w.2.10","w.3.10","w.4.10","w.1.11","w.2.11","w.3.11","w.4.11","w.1.12","w.2.12","w.3.12","w.4.12","w.1.13","w.2.13","w.3.13","w.4.13","w.1.14","w.2.14","w.3.14","w.4.14","w.1.15","w.2.15","w.3.15","w.4.15","beta0.1","beta0.2","beta0.3","beta0.4","beta1.1","beta1.2","beta1.3","beta1.4","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"20787",0.265027582896933,0.468967419272981,0.0145492881628105,1.46314457135649,-0.163550743892811,0.995798646446288,1.69362763845317,0.459260522240011,0.33882731859936,-0.0610638998878634,-0.0869325228302425,-0.173311040142811,-0.102835101029281,0.674730774179319,0.258836048350016,-0.277968520524537,-0.336543465602137,-0.245163535406744,-0.104331349154118,-0.591151790710456,0.354671891992463,-0.879528677083088,0.019875713682365,-0.969564691430025,0.054371061839761,-0.875352375496019,-0.129287490107768,1.27331649527589,-0.576989602434826,-0.118290066283826,0.189091232623896,0.154907434394866,-0.929049075780725,1.02645596772162,0.437759662540678,0.552101006208,-0.108723762951152,0.482275492382359,-0.0357617021418343,0.634829135839876,0.210541180774461,0.37976835332183,-0.208122082946713,0.57952591084188,0.250221485913902,0.187670958994711,-0.111593444270954,-0.693387764292372,-0.923627893818636,-0.312251553975531,-0.0384033755951152,0.137448608893431,-0.32798879055637,-0.665265406214987,0.344746540262615,-0.824527414537687,-0.163482170530295,0.41681993371359,-0.68457855636958,-0.0939831621827131,2.33993153161166,-1.04174729755423,0.866872273762076,0.773515705718447,0.267775941942403,0.67053682437908,0.40099236000184,0.283785212977398,0.189284951870074,-0.20624616974328,-0.255478948990756,-0.21401933621117,-0.519030686889668,0.253218162439363,0.0473545509452728,-0.11388266439559,-0.55521645606883,-0.182741330647656,0.878285699597963,0.285108639819176,0.448852423423427,-0.444101900944767,0.0827985764195723,0.0213680843259251,-0.156314211571362,-0.378609893275229,0.200302240602632,0.629847833926203,0.503343618449826
"20489",0.732440646393413,0.399840582827464,0.377583071767172,-0.131761412666588,-0.186109668493152,0.0281039599570537,-0.759792907381802,-0.477540174612009,-0.315293244082506,-0.00136668914649465,0.791528063383598,-0.877172097126242,0.000466645456178208,1.18269984909126,-0.339474334573513,-0.222754389905099,-0.23917603821952,0.0321885918549889,-1.16736965442253,-0.681790974304005,0.00582393705748391,-0.000471788168628542,-0.316921964266706,-1.09969951190045,1.12532609614444,-0.261765695639722,-0.119598489478132,0.497551089015239,0.178307607985477,0.223920901557496,0.446846923679571,-0.197993579736026,0.0847464037465605,0.90756351529857,0.131004465215447,-0.272019206973306,-0.01061408322666,-0.115318678677642,-0.449659100688963,0.453993136210434,0.359186621879121,-0.114101843372536,0.0623982579651432,0.208417552662184,0.262078959404242,-0.354577752586765,-0.109128073223424,-0.60656529099701,0.369002716501428,-0.0917513842019113,-0.153043064198946,-0.378842242779245,-0.38626902270705,-0.657627219796733,-0.542371460669594,-0.830788983044816,0.182066706820599,-0.625598285874643,-0.151345856898676,-0.406689745094226,3.43628030385657,-0.528986737405008,3.94122791212393,0.631437892362967,0.073715080167594,0.606458386044743,0.0462785292590123,0.295606622903789,-0.330301129366308,-0.0891812917607785,-0.0738486246079108,0.0855075637977871,-0.0650316668965793,0.170274124113136,0.0691646530618232,0.362963859030954,-0.340007976490244,-0.00541406870133712,0.572224504722242,0.012733769420761,-0.229442385689824,-0.0777757376538188,-0.106973607404865,0.0196840816234114,0.248326940896531,0.644936374703862,-0.178552298033198,0.49333044003239,0.379624371771388
"20836",-0.895860701300507,0.663626139320608,0.483300786181325,0.165414916793845,-0.124502509546747,0.368881446191126,0.118493931352597,0.0793367730025073,0.565754838197578,0.467409753715262,1.28691575443878,0.241865446267276,-0.000316056168172804,1.30147781183278,0.584245485320075,-0.290326457393114,0.478750781763977,-0.707900671874293,-1.36284628336682,-0.982762742925377,0.325515708772401,-0.513474132988293,-1.33720664519567,-1.40147883929967,0.614193955271016,0.138511472906378,1.0781175095714,0.894818349204823,-1.37462117342011,0.0255211884979728,-0.301631822103263,0.084896202969409,-0.577840019601205,0.657137740991058,0.630355229918323,0.513873689061481,-0.287039213162011,0.80045232908514,0.480825916463892,0.556660407208597,0.94943910964102,-0.563744455807157,-0.947203756434694,0.604676750513709,-0.121295769042601,-0.995806700345433,-1.17796508442751,-0.685254669599424,-0.478991032328185,-0.746009765136569,-0.600449262842311,-0.458925942571331,-2.34603708366691,-1.21533902364174,-0.800541183993805,-0.783460172654236,-1.38906710702698,1.03986648903952,-0.580588463764122,0.121387270608517,3.06568426979096,-0.371624991072823,1.60667970276273,0.48337606042309,0.341360285476156,0.575296769171299,0.278370853548265,0.309655959090771,0.000697285630611652,0.134047912963544,-0.0753592500721677,0.0584886483498249,-0.0505406926238104,0.03232448533966,0.363519465224172,0.165600643428941,-0.242537820431659,0.296263530928488,-0.0908396729369503,0.0312832025279121,-0.263000217142015,-0.155324291110426,-0.0533334290392132,-0.271629900820856,0.197274782597082,0.380808267608987,-0.179819928376906,0.833044817897305,0.183262681795904
"13169",1.8929613952992,-2.37018457324717,0.326475184215882,-0.547254058561235,0.503662676745127,-0.538760824162514,1.45006267263278,0.468398226855573,-0.0857542378385146,0.0092047721985845,0.162577359842417,-0.294709159898817,1.2354733125582,1.4344422227447,-0.429856071572084,-0.525078354895058,-2.28015646771839,-0.932854230732388,0.0973836537933027,-1.12128315679726,1.23600077338861,-1.41125667768419,-1.43983131561935,-1.62739226926596,0.575515173817299,0.40780225390573,-0.0932867480987674,-0.277153620911915,-2.02590551086801,0.905625350655526,1.16033183727208,-0.634226600240605,1.25991527818811,0.847460866031052,1.58288257252203,-0.182222608686132,1.01366742486559,-0.275886490406021,1.12760028413141,-0.0841787106763124,0.615637655971208,-0.706664454121372,-0.449980798220597,0.0657653031299204,0.0364746123788316,-0.666612358454313,-0.959959328859407,-1.20762944986531,-0.0570741346478335,-0.622521874463464,-0.421006177413421,-0.7357345852158,0.335106207039576,-1.03765223083072,-1.09502381011431,-1.12442150354795,0.928362899104205,0.625403872191133,1.09957711012522,0.751615485818855,3.08817217735026,-0.327726455018912,-0.663467132504101,1.04327436282264,0.2817193288366,0.645642411903663,0.599687696397555,0.296550183162828,0.172627319585085,0.104722916539749,-0.13704391495427,-0.0512962879880506,-0.226390029462651,0.209068642491371,0.0953390258957316,0.0274661029688153,-0.250080413038779,-0.235141601096648,-0.015128369061307,-0.1867584148901,0.166612468813585,-0.111945589645288,-0.137293728976899,0.032579741406627,-0.0546541640775919,0.0151109908334177,-0.165453225444964,0.898312699969475,0.161222152991623
"4429",-0.441718919819262,-0.764843489826366,-0.296908909447537,1.48549744222914,0.286208052800664,0.875462132975546,-0.00236735396538686,0.0562083865609228,-0.103530255523106,0.681279875917039,-0.27178372771235,0.0312537459269301,-0.159915452915181,0.527971044062514,0.411530852387202,0.167650449128908,-0.859034602282055,-0.106952784672538,-0.983644530572553,-0.186544664585262,1.14170326891246,-1.15686447370759,-0.375929143937966,-0.957051893640039,0.489605493509655,-0.968335923216631,0.250937084327759,1.5386159375958,-0.932864777816607,-0.489243810219998,1.29904683283868,-0.185020362576298,0.809696682069403,0.37421154398262,-0.248931234735688,0.286369251655016,0.51765882092113,-0.685265641475795,0.821789462904041,0.566993041364646,-1.01723113685444,0.101405538867888,-0.0310994965983838,0.624999516980286,-0.0225314563896502,-0.35329290336323,-0.73283946519688,-0.62502020412897,-0.623514820424735,-0.0759197234404347,-0.755231498258561,-0.102068395068262,-1.11413697179844,-1.40658885314814,-0.3559014254544,-0.577577248736748,0.189272983963499,0.636942304308007,0.801235441114724,-0.15199436769579,1.35579787219575,-1.71238296900502,-0.29975336076944,0.427152074874094,0.40143144052163,0.800092526302498,0.41061159172951,0.280318432260484,0.0327569287148963,0.108875633874217,-0.0167328967315215,-0.151703939811324,0.0525296352859449,0.28147148556694,0.250167614254743,0.170415930464916,-0.338151330144813,0.119080498925628,-0.391052196722922,-0.239282910490724,0.0050253296144902,-0.249325424238465,-0.346224193999669,-0.431005599397855,0.143042111692999,0.0134459364959875,-0.273349743007276,0.750181313743431,0.250767670258765
"21565",0.493066814683228,0.858861588260425,0.753374496951566,0.578434760106697,0.417135186531146,-1.46385957528601,-0.140019796778038,0.625498943404661,-0.0397609380808148,-0.241416167881906,0.958061651273781,-1.15757883293698,-0.216444241763545,0.0753328313374335,1.33140485086519,-0.0595678353511909,2.18629510500214,-0.793862940811929,-1.11042831932092,-0.817892880321668,-1.10094164439816,-1.48095108641536,0.693856723280741,-1.31198971632853,0.664610017557064,-0.255109784712424,1.23182352969157,0.736868610394917,0.378274396633149,0.366316500474455,-0.343991642553417,-0.221049029266272,2.08987206567387,0.397468343702536,0.485519382272186,0.313029223874361,0.54982151353725,0.64098245116008,-0.480538720544887,0.185576556694198,0.371665783289152,0.389893320725305,0.478956114882886,0.609726819753358,-0.270619385242851,-0.462644057237329,-1.44014749470608,-0.831733446939597,-1.22275155679054,-0.748406755855133,0.00775459363050296,0.0827059309279158,-0.50209594589456,-1.63707732824556,-0.972855232371369,-0.63558728976147,-0.159188759075942,0.566658522635331,-0.393212052907341,0.286443089490488,3.22577464241643,0.728922991028941,0.233778891213821,0.584577337018146,0.213385850070977,0.513645810970072,0.383934614104011,0.291374343865693,-0.0726371313959162,0.0328441012925157,0.0585770853952736,0.188848315921607,-0.0111688382771059,0.141851812618119,-0.0298790306614205,0.0702792878388952,-0.255788130030985,-0.269331253134022,-0.251861630140298,-0.20298848129418,0.00469130265395935,-0.25612382684903,-0.0186421890703308,-0.0181202034591523,-0.0195818249405509,0.0199659427300668,0.139704187337694,0.84653471968606,0.129630075781292
"11653",-0.725365704445723,-0.399254625418673,0.164723375147038,0.899656553912426,0.769724149801095,-0.199699006557188,0.860735183731113,0.726437163643499,-1.01656899870063,0.559105103540102,-0.085329277609165,0.460356708031911,0.545940535659468,1.23533089433936,0.96169536696222,0.0733288548818383,0.343511385369874,-0.330237592388792,0.172521308845696,-0.419135178002479,0.169606222897399,-1.3850916331488,-0.786842133327932,-0.775949021572921,-0.179952536359074,0.613147132613593,0.236443551158835,0.876285304945564,-0.687596404238172,-0.125705941419442,-0.923997010056045,-0.0654516774140008,-0.148298652869666,1.40870755750369,0.0432495762010499,0.0466039657848168,-0.398223417458236,0.29044168987839,-0.152836773644438,0.87467809727924,-0.0200470450814934,-0.0607476440199691,-0.410056515232519,0.630381637912745,-0.0948591107728777,-0.583255432261352,-0.43132930096561,-0.69145029331153,-0.317175569970135,-0.722966903943005,0.835159847075174,-0.00547895878734792,-0.808053341443099,-1.05008862535602,0.0958738071148427,-0.345549189104405,-0.208076360063979,-0.457327526453505,-0.896035262149938,0.611195219910168,2.09396067353776,-0.614917458972905,1.10858434997714,0.36666043766835,0.283327719959367,0.579380418165169,0.335560467038038,0.275213973520321,0.0133413451033081,0.215013791290907,0.0312823412551877,0.0523397223897039,0.0519810100627221,0.095165167736071,0.153128519418454,0.129394450119302,-0.128897819180906,0.128969633426122,0.062462058580418,0.0762711812898574,0.382878250309603,0.0625134617636635,0.011723832187435,-0.258432736645033,-0.0587944632513317,0.242627466441072,0.146311939766665,0.617315956740879,0.164938110558578
"3829",0.0952086223300661,0.0110649279942341,0.590857463215037,0.729357068833028,0.2357685316026,0.282509949359384,-0.168218125984386,0.393952624113753,0.432282801842137,-0.187851945891533,1.28735741172983,-0.711002735208282,0.912415677971888,0.771368393239532,1.29911055014579,-0.368780402048493,0.292111034102357,-0.291506129216838,-0.525042083355037,-0.247597321462444,-0.111163908194746,-0.747593322153029,-0.380461149675489,-1.21782052517541,0.963900895499761,0.504370166766607,-0.394153206481512,0.825260868455532,0.34000681344827,0.564984298042331,0.153604665567462,-0.152092362795374,-0.15141483204737,1.42881648467705,0.339441621955978,0.144536963682611,-0.272715427206336,0.205575808933953,0.125517322494069,0.479469367259887,0.66631419766318,0.442832995773387,0.278126111011263,0.604040663062162,-0.270549755323749,-0.365676226267903,0.0714533920424438,-0.551243425532586,0.770771803364781,-0.454605302754875,-0.548954418363389,0.0262999032360102,-0.80703603962082,-0.423164513419383,-0.388929881174578,-0.620576240902254,0.383198301141123,0.330738117529058,0.89371702679277,0.721493071085914,0.0139432700080409,-1.52839412291228,0.816303869872353,0.311677282399306,0.529465298187956,0.709802929733033,0.284225124140243,0.3199044145611,0.489619945647066,0.273172134555585,-0.215406764963425,0.0957413064407807,-0.268604851466214,0.20336433614803,0.0995330106488491,0.586620679453917,-0.470567604575864,-0.000389249937565707,0.428623815191577,0.0102146391728379,0.490605734416263,0.334257622431178,-0.156091062660874,0.113287989507195,0.184369256591363,0.122760519376964,0.301198021304481,0.598698434642174,0.376734766893143
"24467",0.233415695556744,0.296180246407836,0.56204650913832,1.56248671748677,1.29468911439311,-0.934601042672041,0.192273466248294,0.762576827672405,-1.68148678355955,-0.92270405439596,0.172380240017471,-0.947506876242369,-0.388205400780419,1.61298448950419,-0.469798276535701,0.279498165830453,-0.729077353848887,-0.611301556028627,-2.17484883116032,-0.323833728811796,2.74675455305332,-1.73901836255525,0.246815614092472,-1.15998026104965,2.28502682574199,-0.223114869106203,0.28098607696647,0.582189639276804,-0.243958496816704,0.490448556893089,1.06262085793093,0.098508298668487,-0.207511677210641,1.91730870449165,0.588355099423711,0.389335615304884,1.04062514844622,0.868770381058667,1.97916943803902,0.652943368826718,0.115737185626054,0.563823975010482,1.0424679969195,0.38048707046656,-0.599470865075989,-0.888465521927206,-0.762580023672819,-0.694974950304752,-0.386398852702112,-2.01746269939903,-0.459110868571623,0.0198042068253081,-0.60328890284498,-1.54346880780116,1.57047626350071,-0.509606306349363,-0.53649109606303,1.34024568875118,0.547625953455945,0.451354349340647,3.07728103579576,0.036598884004705,-1.22778324362304,0.580407724835691,0.230747871233552,0.68479589920303,0.565163247822591,0.289549726183427,-1.0165068965899,-0.147828492625374,-0.442159618805386,-0.145793193360674,-0.275132567417076,0.310044862282548,-0.00422652460876037,-0.107568174353282,-0.637796376531729,-0.608051812025078,-0.88623456426823,0.219685333555442,-0.41323084664414,0.588830090373683,-0.460447924473022,0.338800132435368,0.0359134760432042,-0.352266623156048,0.313488301463529,1.07364250537454,0.470766683835148
"967",-0.538235909202667,-0.0674990964145251,0.622826961040666,1.96378729907187,-0.241145211834144,-0.709630150668285,-1.69669286471418,-0.396286034710365,0.506656030281215,-1.66380658972068,-1.84456054360909,0.230526442111459,0.92980502567615,1.46336773062635,0.846976935271272,-0.31146459132687,1.77885766461905,0.176716644682718,-0.288082443186347,-0.554378366849776,1.48577121683196,-1.10892902486929,0.163197490252757,-1.1687242201024,1.63187787181664,-0.566772828941749,0.187129738065942,0.833535426002517,-0.271796695987935,1.17247161276476,-0.51226283782073,-0.557811465969965,0.321673868846254,2.14871981851423,-0.47141493631284,0.136420221830239,0.543330392290539,0.24298822694361,0.291602843979754,0.447544649324867,2.50190788675208,0.594505337808683,-0.647865347144395,0.419087900088693,-1.3597192641744,-0.852457316533495,-0.344317764793356,-0.837707074834546,-1.63028773855502,-1.35176029040486,-1.23798890459583,-0.150947942610901,-0.571980455968984,-0.58234833980403,-0.59168279745111,-0.824153865340137,0.266707206920414,0.616621604430027,-0.772069628957694,0.519012496724349,3.13226582393004,-0.740489936971189,0.656772944560225,0.616752101311798,0.254933570293394,0.62144198487387,0.356527476765639,0.301937572446581,-0.100956718975508,-0.111049030700218,-0.339381433326607,-0.147449996327809,-0.201550787750231,0.35646570879158,-0.00681104959624843,0.042159116129577,-0.680117895030023,0.304360716149144,0.171243962419679,-0.149553809239433,0.0405562088026823,0.0625012109015289,-0.330150584727652,-0.183022143095694,-0.273425250940699,0.136668388948497,0.150305355729394,0.99601716066185,0.238574678163509
