"","beta0.1","beta0.2","beta0.3"
"5508",4.94397888992649,4.93301630793573,5.07257748471541
"9343",5.11836589512008,5.07232369659742,4.95102376503901
"23141",5.27145621338278,4.98609846851344,5.06034942288287
"12712",4.95724265954485,5.05279585608475,4.99911745654454
"2322",5.15061609022742,4.92080242724368,5.21957809133692
"2373",4.92563119769871,4.92154468748908,4.93429143723741
"23372",5.06306562400738,5.07459557842315,5.09008086669676
"380",5.04177602716205,5.16157494777068,5.06840954392044
"21213",5.02324178915484,5.09611746712695,5.05037429703145
"13766",5.04320472093044,5.12131407930821,5.04698849378246
"7741",5.03891259509943,4.93555985679193,5.04373693413857
"18659",5.1886928977302,4.93622511864686,5.11175072951018
"9382",5.01220714744426,4.95213787453482,5.11738917467805
"13303",4.78766429380975,4.98385728867639,4.98433690625857
"20288",5.0048999380037,4.93197529100031,4.93315976711759
"23855",4.6093894790649,5.33718890301186,5.01386485080223
"19967",4.97029992783989,5.09781736391835,5.10679987182449
"12078",4.8815290701968,5.00627382224227,4.95973913825448
"11397",5.18494280772934,4.95642692771085,5.23064700346797
"18744",5.04759772873187,4.81257564490529,5.17813020027504
"17217",4.99019972662289,4.94597123737693,5.01463977665175
"1992",4.9831037274878,4.88561975750559,5.18895056959103
"10484",5.14408851534028,4.91321894609452,5.09049971558114
"9814",4.91514537386474,5.0505654023011,5.08815207420556
"12020",4.83300982126188,5.00393553296959,4.99944955708765
"13260",5.03999531588869,5.04321586327859,5.06004935282214
"14700",5.17383329051556,5.00341629915782,4.90789381532755
"25079",4.72876111308175,4.92905603011046,5.11755330542924
"5404",5.23941377809887,5.02233753576981,5.15638520449513
"24690",5.02915417804185,4.85410329206959,5.08180350614737
"6098",4.99664760448663,5.03463181086458,5.15413330663164
"6883",4.90459181163598,5.01169668729426,4.9770610112444
"1447",4.95494276579297,5.02663329212942,5.19013719494735
"6790",4.84670410879027,5.1092255673104,5.12024929823432
"2036",4.93292957117491,4.80033669021288,4.95199981721863
"23079",4.90282620590623,4.93750063454145,5.04772683946515
"12560",4.8751015070736,5.01113026288632,5.07952041363148
"16800",5.35723196237428,4.95702398231355,5.03559009176731
"6223",4.94144975236126,4.9166548434505,5.07504847164258
"16191",5.24059942256563,4.86443122309488,4.86219490285291
"22447",4.90460984318027,5.04938691318358,4.94156000508393
"9004",4.90508765715727,5.11527746400986,5.17817085975098
"8907",4.83182087662712,4.98281741498828,5.04309314978478
"16336",5.22809927936594,4.94505836631715,5.05505154258976
"19340",5.12085428879146,5.10229348652434,4.98812469798793
"2590",5.04349388392241,4.93628968166766,5.13380255537169
"1713",4.99112957272977,5.0279444035566,5.19943860262021
"14713",5.01290068461428,4.81271028185233,5.05503619776
"7688",5.07055570399028,5.04593883087661,5.09900465931012
"11724",5.19005990880715,5.08831051427617,5.11809033135757
"15242",5.20831896804388,4.98700603685687,5.16807597906054
"16123",4.85362831329585,4.97343816475182,5.04727477055314
"8486",4.87128231534022,5.09268018701156,5.12169844470133
"20045",4.92352529898045,5.09492992082099,4.81502721065312
"22759",4.96537570043583,5.02773283465499,4.9372304831434
"10831",5.00755606831495,4.93057765381857,5.0519710079689
"22686",4.94918101160377,5.07697946000732,5.03852004091612
"7193",5.01955691265252,4.9851485806852,5.00835670994947
"1495",4.91889964468177,5.12471365469086,5.01548892975755
"10575",4.96855654044238,4.89509964520468,5.04796324076594
"8292",5.04750763909566,4.94648544068473,5.15530967804004
