"","w.1.1","w.2.1","w.3.1","w.4.1","w.1.2","w.2.2","w.3.2","w.4.2","w.1.3","w.2.3","w.3.3","w.4.3","w.1.4","w.2.4","w.3.4","w.4.4","w.1.5","w.2.5","w.3.5","w.4.5","w.1.6","w.2.6","w.3.6","w.4.6","w.1.7","w.2.7","w.3.7","w.4.7","w.1.8","w.2.8","w.3.8","w.4.8","w.1.9","w.2.9","w.3.9","w.4.9","w.1.10","w.2.10","w.3.10","w.4.10","w.1.11","w.2.11","w.3.11","w.4.11","w.1.12","w.2.12","w.3.12","w.4.12","w.1.13","w.2.13","w.3.13","w.4.13","w.1.14","w.2.14","w.3.14","w.4.14","w.1.15","w.2.15","w.3.15","w.4.15","w.1.16","w.2.16","w.3.16","w.4.16","beta0.1","beta0.2","beta0.3","beta0.4","beta1.1","beta1.2","beta1.3","beta1.4","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","d_0","d_size","a_0","a_size","sigma_w","sigma_u"
"11453",-0.392774582022888,0.0368882339140207,-0.0683388361372071,-0.155100752722805,-0.0169879147554951,0.2040453086162,-0.131384517960337,-0.0200419464579267,-0.0882561295066878,-0.0783828379914598,0.127283301164225,0.0259480979360706,-0.154257518822762,0.0126308996476817,-0.0910846297513871,0.0102879903944199,-0.328625511529734,-0.232152141010075,-0.213894422238068,-0.24242377639049,0.366227436441392,0.0687339344142789,0.243091692997064,0.554456925248341,0.0199842849234443,-0.0237476039751849,0.101145365270857,0.126387286408044,0.291476001074891,-0.200368914619495,0.208221322212349,0.195446247174042,0.329796980408538,0.189977170392002,0.0484802269100362,0.219276714400486,0.102998079992118,0.0672188759226932,0.172540883184233,0.0893505042631362,-0.0341710394497138,0.0341849028992344,0.0331099192428187,0.0948564743565951,-0.241520104334831,0.00686638623465577,-0.0470843674033743,-0.132377380368877,0.0983188077536679,-0.0341185537483536,-0.020332968081704,0.143802327839553,-0.0927705903321512,-0.114816952649756,-0.0522801448722178,0.0405712899083311,0.217946674079066,0.218210825901564,-0.0804213195569494,0.114673831609983,0.182682202954311,0.142660031617337,-0.0537698161259564,0.0517884003637561,9.38328486753844,9.72537573589599,9.71573720176488,9.62151300875293,1.02050537597319,0.903431836377503,0.895082613011074,0.908731399425721,-0.0299271695959798,-0.00257953615705121,0.0142353559689011,-0.0122361041511725,-0.0179983833322473,-0.012717243396374,0.00655086337579667,-0.00689935477028485,-0.0122208282835654,0.0180725009662605,-0.00721481971926778,-0.015523725150797,-0.0251157719845691,0.0205398432315259,0.0250236275869543,0.00672856965631433,0.0251362023891238,0.00475763488070942,-0.0420177868843087,-0.0953702619742442,-1.59660457494011,-0.345795381316722,0.171773513766872,0.0309392574006547
"8061",1.97940178952329,-0.23791695802073,0.259030326940798,-1.61980348515166,1.38006887287344,-1.54422029683546,1.78265810908153,0.066832537551541,-0.263743746205749,1.44378499185737,0.859189942032374,0.597902572860816,1.31246125764319,-1.19490376727948,-0.775081280846453,-0.102059183843011,1.79438055688812,-0.94455227392679,-1.68341530403657,-0.824724398867752,-1.01869502931619,0.116930953929276,-0.519111563812488,1.2631287258468,-0.991021688535509,-0.347585078814588,-1.00594969634186,0.729221488821436,0.409016287761696,-1.60891962454014,-0.784212711750093,0.554011294424587,-0.662841260909229,0.410030650411962,0.938025027088707,-0.300447096192615,-0.0693461192526771,-1.91549865642919,1.97138290932412,1.62826501043835,-1.8477980988861,-1.11760926068692,-0.643181532665471,0.451697368246265,0.846889296158665,-0.559276460475899,1.05761969077372,1.47222960136103,-0.00824724286234047,1.7082798876057,1.16345645712418,1.71144033407486,-1.90567386090119,-0.0434212694724204,-1.45388429809801,0.316378589985938,-1.33651481835205,1.00068409058481,1.96248884532616,1.80080358822168,1.15412424819714,0.344996560473667,-0.935095569873108,-0.740975381138111,-0.929734328586654,1.81189993674758,-1.43216517193379,-1.45377044824863,-1.51910381242521,-0.367584546356699,0.5416232891747,1.62079595847393,-1.22727838074486,-0.193022948150838,0.654512042918471,-0.685047825092386,-0.271085393046327,-0.369406955873465,1.45395620869009,1.51645459708208,0.0676121988954223,1.09586131874698,0.425702479350724,0.363051069171312,-1.04861827556258,-1.43435557915777,0.11759570647482,0.0200584586671874,0.28975887459744,1.36888298418551,0.134782814377711,-0.187347787382654,1.23890066118136,1.53810635396802,6.10637615459281,2.11358040916665
"4742",1.97940551837487,-0.237915917805186,0.259013164093074,-1.61977460401847,1.3800516130205,-1.54423960254343,1.78264025009472,0.0668725783395686,-0.263779315473488,1.44377710947484,0.859197873602091,0.597920246815342,1.31244843818286,-1.19487829462777,-0.775117101951874,-0.102052489121523,1.79435367240246,-0.944561877773117,-1.6834154478921,-0.824764032281768,-1.01869161371294,0.116923297257847,-0.519112532343078,1.26314809985083,-0.99101786725006,-0.34758031213669,-1.00595248121695,0.729264805646128,0.409021467399328,-1.60889119648612,-0.784207361142074,0.554008665552199,-0.662814505027214,0.410018332308592,0.938037350339385,-0.300434428417976,-0.0693572434752946,-1.91551694631859,1.97135223345817,1.62827176917846,-1.84780425855058,-1.11763545121696,-0.643191630468744,0.451716703393964,0.84689544597528,-0.559261574988318,1.05763625013153,1.47219716610631,-0.00821525111779738,1.70829589443536,1.16347417268422,1.71143828658506,-1.90564896686108,-0.0434394750785479,-1.4539213055202,0.316369346371756,-1.33646809824615,1.0006271980648,1.9624533203116,1.80078789084298,1.15413903883141,0.345007941808495,-0.935084990514191,-0.74097475342036,-0.929755767254651,1.81191391069492,-1.43217368307691,-1.45379521745794,-1.51910139909913,-0.367588995099266,0.541639931980367,1.62080879306181,-1.22727640689733,-0.19303434089828,0.654505240326962,-0.685065614300712,-0.271108506764991,-0.369380994528561,1.45397509630072,1.51651098639447,0.0676369735048736,1.09583161946172,0.425697522619159,0.363041895031447,-1.0486055617444,-1.43435210677647,0.1176333537932,0.0200268700581301,0.289738816360834,1.36889591153478,0.134446078571878,-0.18741933672877,1.23885525492322,1.5381691505623,6.10658952730344,2.11355582668949
"1653",-0.385214401195155,-0.0735006695224572,-0.12669815882641,-0.297998997003276,-0.0360873719284759,0.202293009702572,-0.0502065823501754,-0.0928241310550145,0.0264222470344234,-0.231154876600615,0.00104465437322954,-0.134045817234908,-0.211877811000052,0.0890060120796524,-0.124812845238775,-0.0509657347320221,-0.426486473535928,-0.142540542301621,-0.200000831014902,-0.349570286667042,0.246996370075125,-0.0732129228789738,-0.1224175788034,0.392884868054483,-0.126188673562516,-0.0799327486368253,0.00566592040427715,0.0624124752497863,0.11519363893512,0.0997061169961038,0.0997869051398666,0.0891335882313255,0.0195221821705375,0.201090650433878,0.0271573007259901,0.130522898100195,-0.088533265400124,0.0832833559160261,-0.144331922255581,-0.0574467905145655,-0.159190059117597,-0.236458901499006,-0.0445221388184628,0.0501408566452125,-0.39791466764103,-0.0993893630120298,-0.177775992732094,-0.206016592400477,0.0737458830964038,0.134410738523469,0.0133851036058624,0.000562267102151763,-0.205824006788039,-0.243539287481388,-0.283419545303701,-0.0381493027268333,0.076388889604964,-0.13857051583809,-0.179882676967075,0.0418190107200247,-0.0411301980239625,0.0318257313060087,0.0728301570564776,0.00690489348557203,9.52793752925802,9.65524207515577,9.75204754554226,9.70727300113703,1.02270766917643,0.946209535361333,0.900813447532749,0.917327427995784,-0.0375849978424788,0.00369509752479153,0.0123068008625645,0.0208986665529868,-0.00400811892597586,-0.00648461683824507,0.00533700230228142,0.0186277033382872,-0.0297550409536412,-0.00572337436236536,0.00748995307430982,-0.00345609478363844,-0.0078121296134662,-0.000456654648892438,0.00691442545481307,0.0181167061517153,-0.0210065015540677,-0.0264153755568022,-0.0336648657383947,-0.0940600587452671,-1.62285027741058,-0.343989692308965,0.186378465603572,0.0138029822599234
"5893",1.97934462525895,-0.237948168231791,0.259023648838332,-1.61985212738356,1.38005027588757,-1.54421106429471,1.78263250976915,0.0668538554569694,-0.26375412417124,1.44382076467298,0.859146218168058,0.597880000963655,1.312478049665,-1.19485830078047,-0.775166022583003,-0.102116555931586,1.79441322055134,-0.944592898116016,-1.68338238475388,-0.824756326078026,-1.01860227843765,0.116903194913602,-0.519094079971377,1.26313758450258,-0.991053773671036,-0.347566776404354,-1.00590934052355,0.729235520973971,0.408915874943497,-1.60893303556512,-0.784180959198293,0.55408969452773,-0.66287941809094,0.410065255580333,0.938023453570974,-0.300432713670327,-0.0693433534144003,-1.91543479683507,1.97134547249166,1.62832309565096,-1.8478637582687,-1.11771293720411,-0.643160767388293,0.451779940155034,0.846868758734919,-0.559188429609119,1.05758740224511,1.47215768438484,-0.00817021783086844,1.70833531183495,1.16348608062888,1.71147145290024,-1.90566701295193,-0.0434017066750507,-1.45397048833389,0.316386149966764,-1.33651686541953,1.00068363350679,1.96252603413107,1.80083979843241,1.15413563589599,0.345011004785722,-0.935161861988538,-0.740963971493986,-0.929661255155162,1.81200686972572,-1.43211863645982,-1.45365689167594,-1.51907709903209,-0.36759316953449,0.541659758339868,1.62075684498713,-1.2272722802029,-0.193023806693779,0.654537279212116,-0.68494052239205,-0.2710452800415,-0.369344685548794,1.45394110328398,1.51643880392867,0.0676204198602374,1.09585311778804,0.425732718820512,0.363050904272078,-1.04870240855326,-1.43433842822412,0.117626488630242,0.0200138605513765,0.289712885372967,1.36897508226487,0.136244331248213,-0.187040148415976,1.23893147920568,1.53780132415826,6.10650159790437,2.11350432725844
"178",-0.33239039164571,-0.148468130523933,-0.0615035116542796,-0.254686334667867,-0.164207447308798,0.153518115012676,-0.102187008715806,0.00359004195092018,-0.0456097503301053,0.0590381234208115,-0.0412080819137715,-0.0840065422091589,-0.166062596604909,0.139012166795072,-0.0370902004593343,-0.18424460124401,-0.413070180812944,-0.238198313448441,-0.0297382484497406,-0.393795099308159,0.297165015459202,0.155404500764737,0.162896171837231,0.251420319182624,-0.00152541298409304,-0.112643483945846,0.0924614976118324,-0.146317341975917,0.338143181336038,0.0445760232350791,0.183794583734845,0.0286165506356448,0.124952240674592,0.174116637931339,0.0494672791981448,0.0642715230266056,-0.049731535211259,-0.00802359565602805,0.139695862624717,-0.0387715772596013,-0.094906945678386,-0.0461827027263272,-0.052002994692673,-0.0377330457813018,-0.314288786321079,-0.0797128961429689,-0.266016390530168,-0.328769157998727,-0.0657374338885707,0.247274119431293,0.0850569420355254,0.0192282018993752,-0.176580878396411,-0.234549534155218,-0.0532331909925332,-0.0666518243482261,0.132714382358093,0.01093787191627,-0.110231796139552,0.0213127406002198,0.125414420739481,0.0481109575657071,0.193333506322535,-0.0101161562877443,9.45140796218694,9.76925792316653,9.68574635268126,9.76533327103014,1.01125079236478,0.90556398295202,0.892063646063342,0.914121856031904,-0.0276492984509572,-0.0146555972199217,0.0391830890749943,0.0179687801330874,-0.0156576146522005,0.0120243621030436,-0.00509892163131425,0.0335268409918394,0.000357016771482526,-0.0538329276144339,0.000586688167016235,0.0094587375071986,0.00773345412719895,0.0223115015648717,-0.0231370290583596,-0.0292013053902491,-0.0185427272979459,-0.0359504965199343,-0.0354703088024507,-0.0960183036662385,-1.72024840763065,-0.373688332374356,0.168775746817716,0.0239280970099618
"2815",-0.211060535236605,0.132125397230152,-0.103402868176839,-0.224553835158742,-0.122164195340616,-0.163678545310612,-0.204472099080662,-0.061984549927278,0.00603936777628501,-0.0666564945067673,0.148196100459213,0.0865233300786845,-0.26922158217308,0.0324779777569347,-0.00453099791604409,0.0658206878198709,-0.310028622894781,-0.312592177166521,0.0911502657755551,-0.246430103143141,0.340281794388129,0.104412237660147,0.197552530699008,0.464499889577777,-0.0348883784964929,-0.022950575659469,0.0890347029098249,0.11802034868122,0.236523351816657,-0.0228725508511552,0.198474491350395,0.239188231938291,0.111445677858383,0.028975472172416,0.0117872120454013,0.235613145226744,-0.040342312567706,0.0411665821833262,0.279650416497486,0.127491251857375,-0.061849643002454,0.00385348685355345,-0.0553465304306069,0.115707767302066,-0.333820512005881,-0.198018059473306,-0.161023224998076,-0.0685930984953838,0.0610357863379137,0.205805084102656,0.0636402404685511,0.115394646211453,-0.197869455292235,-0.186487199112122,0.0441817711806607,0.00659495268314116,0.141724723189035,-0.0529943369528641,-0.0734005431045933,0.184792704786574,0.262687214327493,0.00980723538050503,-0.0039801679703324,0.189720427807417,9.4530091528466,9.60562646531696,9.65232227324662,9.58319777283929,1.01161059247798,0.979469396740275,0.901080115673925,0.924347637928507,-0.00515510253514725,0.00785134719334156,0.00959456306175727,0.0238067126983785,-0.0129320990428054,-0.00324657699384308,-0.013374786724321,0.00396485315403614,-0.00912310056603923,-0.00906155694256492,-0.00878742783203222,0.00360006036574827,0.006147060526241,0.0155532545029213,0.00241249932414893,0.0014917452283437,0.0094070985506488,-0.0176913690544817,-0.038090809389204,-0.0890693642685842,-1.68106390019846,-0.33530323972209,0.173203002677081,0.008669271555749
