"","w.1.1","w.2.1","w.3.1","w.4.1","w.1.2","w.2.2","w.3.2","w.4.2","w.1.3","w.2.3","w.3.3","w.4.3","w.1.4","w.2.4","w.3.4","w.4.4","w.1.5","w.2.5","w.3.5","w.4.5","w.1.6","w.2.6","w.3.6","w.4.6","w.1.7","w.2.7","w.3.7","w.4.7","w.1.8","w.2.8","w.3.8","w.4.8","w.1.9","w.2.9","w.3.9","w.4.9","w.1.10","w.2.10","w.3.10","w.4.10","w.1.11","w.2.11","w.3.11","w.4.11","w.1.12","w.2.12","w.3.12","w.4.12","beta0.1","beta0.2","beta0.3","beta0.4","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"4757",0.424128002603029,-0.789546677825907,1.22565800124583,0.70398688229405,-0.504588473892865,-1.28742182504315,-0.493742261804334,-0.944731618722594,3.50467669702593,-0.0166029370228731,1.20738364300823,0.888414212544309,-1.06472499195125,0.0454623853810964,-1.18738176381575,0.432693287154966,-0.641490107475364,-0.14851531071479,0.337172620707403,-0.269695968644014,0.0566669887878874,-0.348101567802333,0.129754146192062,0.0259469895120231,-0.187534003696339,-0.910374145920539,0.0974541757805321,-0.113686073056464,-1.46721123755176,-1.19155040731257,-1.47811567662071,-1.26939036138515,1.64774611056365,0.79875770470793,-0.0694248163000918,-0.163375225305139,-0.066172723251689,-0.56471220837985,0.396351027055927,0.0687644116039503,0.55204291650304,-0.309195941799467,0.959346296561275,0.920334045605964,-0.230953433015675,1.3600704546408,-0.374200841445917,-0.900691544127908,1.50056252031058,2.6371416943474,1.51691549224227,1.28771694874499,-1.59105104531496,-0.862107967443242,-0.826082554605525,0.462713916310529,-0.100407086625241,-0.894705786272807,-0.372836077208952,-0.588762115932288,-0.667546189452081,-1.19723565176187,-1.50265099094017,0.258872634206926,1.21993211984322,-0.908050841305952,0.488699104145761,0.344381034425009,0.553997264125198,-0.316076728968053,0.42207742139231,0.906925619616218,0.972225711075041
"23871",0.469102031767752,0.117709016434224,-1.5372650211678,0.486913792687333,-1.56308225881603,-0.969160295698672,-0.0787395090450843,-0.66461352269277,1.31046119507389,0.920778300895118,0.149708259166429,1.00350341536013,-1.30730771760041,0.577910226314187,-0.228610471648667,0.489079119471789,-0.868270078936995,0.476455512340889,1.25621823577902,-0.744002133235933,-0.152504107838738,0.283400875483199,0.950717986562174,0.7270493667335,-0.624604573291603,-0.254835136834521,1.15575200448399,-0.0709020368690211,-1.56509497365014,-0.556687348353873,-0.406980687263778,-1.05719933674163,1.60836418649139,1.28354546875214,0.876316635728507,-0.025180832355933,-0.264716990643683,0.0416962968479931,0.779759876929025,-0.053416681226084,0.0610488968078266,0.369107230417485,2.00585020470381,0.833415026105487,-0.0161011149662872,2.02410283848822,-1.38716023929641,-0.876557064280213,1.72093163956432,1.83499816068289,0.504341130494394,1.12328394711667,0.0708816939554612,-0.73603356571393,-0.768265742512766,0.593846161607984,-0.0702594719610961,-0.569833506569763,-0.289704861682275,-0.364688112771876,-0.444380038634692,-0.506415761970255,0.310238202559241,0.432216266311852,-0.114425634420172,-0.660758624347004,-0.417777495854241,0.691460731754913,0.351344119796373,-0.103540769696637,0.883337644536438,1.07081251324007,0.780182831099378
"4154",-0.784361444722518,-0.543046033034996,-0.00744256186216309,-0.00944441930262781,-1.81761252101072,-1.74589136291282,-0.197850784038713,-1.12563817254111,1.07310943718009,-0.236554440557519,1.4006573331608,1.32109793584197,-1.83440196863103,0.311744848173188,-1.08797696343758,0.567938843116197,-1.18081400630141,0.0185982332435553,0.751813011880814,-0.521371970656359,-0.467455210728203,-0.103343272792869,0.557302253189229,0.608002240753877,-0.710802739398584,-0.563825293029964,0.283394662468462,0.129129839972799,-1.55317761609079,-0.838333842436765,-0.504878790624067,-0.969115137164986,1.20418581248868,0.968915348475767,-0.237917771382486,0.329844855473747,-0.68702059724898,-0.373249741447176,0.0809443908536679,0.10564298890543,0.13004778908475,-0.0012730758461029,0.819368011359811,1.00649406482198,-2.02228757109871,1.0952095531351,-1.24048230332263,1.01106019230594,1.55581730506112,1.80631086097775,0.923409858116859,0.664493678326804,-0.136276491371878,-0.262071565797067,-0.327028712218646,1.03233998857963,0.218687958601346,-0.403314066162617,0.0898484312468634,-0.0343307069509944,-0.114543074722607,0.654183403760142,-0.276825078823747,-0.570980911533533,0.126064906378552,0.0401434341495448,0.646086424670936,0.340704615634598,0.927512740149871,0.933095680993309,1.58586383345044,0.992577469691667,0.641380182375344
"18123",-0.110025519093647,0.0158544188194524,-0.312285671041734,0.62806445138154,-1.01597990559319,-0.855295360441358,0.416070486712844,-0.75412914882428,2.06488053214522,0.810972233016264,-0.744164464247878,2.04156346442871,-1.11279616734146,0.554728004839869,-0.826426942547455,-0.0104167812629528,-0.637929712895437,0.138883767699614,0.866145339830651,-0.985731180641356,-0.0527939781868181,0.117317922831895,0.744647815890656,0.220651596855735,-0.182123670184156,-0.448335836347289,0.176991245708124,-0.649584715917305,-1.21514722750961,-0.79564545581892,-0.427230515076387,-1.44696910191385,1.91029595526879,1.2913397014852,0.116624293510346,-0.215110596089388,-0.3023093995291,-0.223254264527346,0.159475879499588,0.089669050592698,0.48034663591535,0.0121608731092925,0.967174663650968,0.424557740258282,1.10619690747627,1.59841758969195,-0.308549791056125,-1.16239080486035,1.77413116624679,2.28713828078997,1.37452552948398,1.67921174637539,-0.574780843259971,-0.86854873935179,-0.864577170984967,0.424984642698434,-0.285520609056293,-0.842472207921044,-0.502885527952737,-0.574061723570449,-0.710124418605749,-0.731150730200254,0.62192896282443,-0.285518128148138,1.5945600070934,0.472521845505168,0.051573631842001,-0.0214813946467426,-0.3575715790592,-0.570009717845021,0.279625404864831,0.909052852994932,0.793055320276648
"6210",0.0808132867088298,0.0962646381125973,-0.883253978629856,0.843609436838457,-0.898720954970495,-0.670548826840337,0.0614609572763298,-0.76089144999452,1.5213864176166,0.529208784888609,1.65419372858523,1.64684899524257,-1.99100106553748,0.471536761589244,-1.36520987920925,0.329950406788841,-0.963769811486199,-0.0194442871636634,0.318054448468274,-0.383069565754263,-0.602478650002049,-0.16055602024225,0.0423531537718398,0.667982979444503,-0.53617449702993,-0.632671849915541,-0.0979690275166615,-0.014646198972092,-2.40933207863413,-0.869114620816331,-0.758377417543267,-1.13618551897885,1.13914315331762,0.953804473362143,-0.385785745877472,-0.152427376189649,-0.765156921898474,-0.383087297917941,-0.0902723489576969,0.0716513344067633,-0.17330445936901,-0.074131088374627,0.851757236509012,0.96915825770132,-1.21329041381825,1.00002027431891,-1.04441827711701,-0.634591333747301,2.42518380799567,2.38805031655043,1.80803864502953,1.18803249713786,-0.79405949002615,-0.800441203031419,-0.891143421301061,0.468459764180197,0.00723852723516202,-0.849899147331569,-0.432152607430773,-0.566813452676803,-0.63120550105883,0.853047404354679,0.705653774702896,1.04570235243905,-0.807128311506714,-0.79586612873371,-0.125469213188212,-0.316384792460024,-0.175122393273391,-0.50605932983865,0.309856610499048,1.06275544592414,0.760313496188215
"18516",-0.414029166023278,-0.603466806518823,-1.00056576592986,0.351297966978134,-0.320239983689448,-1.62335933225151,-0.42281871766796,-0.876773228439247,1.75650412109284,-0.0509280958773279,0.948336060345544,1.7700888582926,-0.896591192192614,-0.220703345807723,-1.24592747637078,0.124939049775827,-0.428029980045154,-0.320714620257532,0.29988517916682,-0.780402201344202,0.122429091780526,-0.456141793172207,-0.22811864477322,0.148780781034313,-0.272224273181739,-1.02061524511578,-0.193309272136678,-0.230818777254265,-1.33402553431968,-1.2183652448607,-1.20882638839452,-1.46318538198699,2.32369445991565,0.548154602716123,-0.547895907546834,-0.171455357186981,0.0835392560365177,-0.6910940052647,0.147239082554343,-0.082914297268043,0.573620661356249,-0.3414594272519,0.886962498471763,0.382470637223221,-0.907596506369793,0.797701146435262,-1.18742371636814,0.548139874729633,1.10254060095444,2.34064659644319,1.34951312412326,1.19980462823777,0.41298194584378,-0.332655495172088,-0.468789299322936,0.818003240521273,0.153520501029476,-0.394549238283596,0.0425735730819774,-0.210218100671447,-0.273428276272141,0.190985020361687,0.14171999964496,-0.932754590927641,0.363968250678714,0.081257443701468,0.206064288948483,-0.0276636224508895,0.761191232759709,0.126334075979425,1.06043247376616,0.880996002599741,0.526952387596514
"7922",0.0263701565878276,-0.207086296308054,0.863826053018314,0.715329067026648,-1.05056537809413,-1.16923075308185,0.144215447247491,-0.926423993015337,2.07716107852601,0.300028786106557,-1.10703675329873,2.03492662158291,-1.23949721577538,0.174713545169477,-0.858520484536308,0.107117857319975,-1.04769474513939,-0.0904132275115082,0.751225479896251,-0.522425781593636,-0.210646271294599,-0.115142158061843,0.236059409775725,0.218439127907278,-0.463226756262554,-0.859477648099348,0.45122972505988,-0.169652957574689,-1.58231941354327,-1.03884134136914,-0.0710538444044214,-1.43906319222619,1.63499812559636,0.969865499496113,-0.105387685472299,-0.081293432286375,-0.422979342806035,-0.557557746056046,0.55975805713787,0.0570142470934214,0.237288216167522,-0.242680941910868,1.2528779851508,0.796831870143295,0.381194190275565,1.34036440158875,-0.506457783798258,0.224230122762624,1.63217313698703,2.23876157968901,0.96691106719655,1.07285505471007,-0.0689324362697472,-0.492893327911506,-0.521123552957897,0.735149414015941,0.119907313489744,-0.423791612800065,-0.0231476490576479,-0.189395320156108,-0.368972625893648,-0.282513678122906,-1.00604704988142,-0.0169004553114125,-0.292850867605183,-0.561771562641706,0.419260470605309,-0.360237112491894,-0.00675251893169345,-0.229481337078651,0.612744251081534,0.837328914779786,0.457925580761169
"19937",1.52369957886415,-0.0615929591925643,-0.416461711207908,0.645493852138333,-0.403301502789031,-1.19307555401243,0.17140346593783,-0.715660159481996,2.10711047971718,0.68668883290596,1.09152434278874,1.95820932690015,-0.990832760979326,0.130603258420274,-1.4626401753891,0.416490495670163,-0.515356860250055,-0.153430919876634,0.195791469102993,-0.705142097699808,0.0377479252201526,-0.22369788188934,-0.0743876215823557,0.163014288093598,-0.0332427791178331,-0.762496437479737,-0.253884624687257,-0.360974701246834,-1.33233916941116,-1.0783308733999,-1.04361485483974,-1.08919505796251,1.97019440903486,0.927667249950299,-0.40883266778964,0.125588759823949,-0.275608203916561,-0.600596764266371,-0.296408859632893,-0.342805579140866,0.37735284386248,-0.254456402901267,0.314589469617468,0.677938711297571,0.462598379330217,1.21014687430189,0.149693127377649,-0.772237409585019,1.23609132675889,2.20500253298138,1.59152610060684,0.964370636326938,-0.703000593530429,-0.476949837014071,-0.442042857875277,0.751208513853232,0.191529082280509,-0.649628719674318,0.0594561042525536,-0.122051727225978,-0.298649985458126,-0.0592437237113507,-0.0868610558427605,-0.410984477166689,0.501085900387198,0.163084160286454,0.140502355350811,-0.73468204017564,0.246869109420316,-0.162064134014813,0.378725848349687,0.735961722542823,0.425814113839634
"4217",-0.787090183573592,0.122021954974841,0.457883822992287,0.481770424243554,-0.486070352438792,-1.0001443313379,-0.695737447897293,-0.735393771287705,2.45784233487785,0.850366143965655,-0.705081239651398,2.80958862784723,-1.44256409325841,0.514584955023352,-1.00879228299345,0.643221472960255,-1.1375967509897,0.324231618280471,0.61989009229213,-0.398027496773995,-0.439487000582709,0.224436307763667,0.559703467675118,0.505332413044533,-0.716459388274623,-0.431992125618808,0.460806906958295,-0.0377890110229654,-1.84810509552848,-0.723258621744051,-0.293298511646781,-1.12131030623528,1.11021227548376,1.15442637311303,-0.148820231036889,0.399707036460525,-0.612839307391269,-0.159508501231692,0.452833262212795,0.204050914645609,-0.213292010553881,0.231851191946415,1.18860717783006,0.952584753928549,-1.12493880486014,1.04733092155757,-0.173418762303273,-0.71441893567121,1.63159604168267,1.65887126301981,0.767911175856406,0.650003042228123,-0.135712727035626,-0.246166873149394,-0.302955121961797,0.907761709126716,0.29064632753684,-0.357719306402506,0.0306734786167712,-0.0959615611138484,-0.115193574063982,-0.18337525824781,-0.95505920812121,-0.703328603166374,0.0882065959367812,-0.342307665636133,-0.591400529651715,0.125501895177591,0.509722756015836,0.366712082392684,1.1952460975496,0.84020853725102,0.553154433617689
"109",0.829388271294109,-0.42278931252488,-0.30156028383331,-0.12219913377428,-0.132462909480938,-0.952911129183731,1.49740430210775,-1.14522034111794,1.60541773411796,0.520866342606485,-1.10217244812591,1.21896689294881,-0.936644430679153,0.383813933762688,-0.528518872810975,-0.0842988608631562,-0.485405608515201,0.178578553138597,1.06057832830116,-1.0212185910489,0.209639353687705,0.00841048571148467,0.811534769893161,-0.119286653181294,-0.00420360073744734,-0.572901371357512,0.560249121500279,-0.523320451967121,-1.8247466947702,-0.675980848785633,0.214809938816442,-1.51845524637297,1.56280913502128,1.14879761938524,0.543505202867233,-0.610418194377784,-0.0942698498252022,-0.256802057646022,0.575535855126338,-0.291377034738869,0.645289811628928,0.0248424575788884,1.54256206108202,0.424587090920437,-0.497374865582425,1.68410644993293,-0.780803585349202,0.490441532668254,1.22768190235951,1.92837040139082,0.743205627239243,1.42851544926165,-0.0382268731784048,-0.380172890565965,-0.594789553126383,0.843247101808925,0.173160827027123,-0.620139315362045,0.00122141491847807,-0.299548113788421,-0.3305232695456,0.67729107987796,-0.505102498811023,0.44678203334491,0.0316839076824646,0.23869926514978,-0.497160485100432,-0.0875329144851914,0.479599466688614,-0.0673007905042819,0.704584732070343,0.837949691252732,0.454133043897716
