"","beta.1.1","beta.2.1","beta.3.1","beta.4.1","beta.5.1","beta.1.2","beta.2.2","beta.3.2","beta.4.2","beta.5.2","beta.1.3","beta.2.3","beta.3.3","beta.4.3","beta.5.3","beta.1.4","beta.2.4","beta.3.4","beta.4.4","beta.5.4","beta_raw.1.1","beta_raw.2.1","beta_raw.3.1","beta_raw.4.1","beta_raw.5.1","beta_raw.1.2","beta_raw.2.2","beta_raw.3.2","beta_raw.4.2","beta_raw.5.2","beta_raw.1.3","beta_raw.2.3","beta_raw.3.3","beta_raw.4.3","beta_raw.5.3","theta.1.1","theta.2.1","theta.3.1","theta.4.1","theta.5.1","theta.6.1","theta.7.1","theta.8.1","theta.9.1","theta.10.1","theta.11.1","theta.12.1","theta.13.1","theta.14.1","theta.15.1","theta.1.2","theta.2.2","theta.3.2","theta.4.2","theta.5.2","theta.6.2","theta.7.2","theta.8.2","theta.9.2","theta.10.2","theta.11.2","theta.12.2","theta.13.2","theta.14.2","theta.15.2","theta.1.3","theta.2.3","theta.3.3","theta.4.3","theta.5.3","theta.6.3","theta.7.3","theta.8.3","theta.9.3","theta.10.3","theta.11.3","theta.12.3","theta.13.3","theta.14.3","theta.15.3","theta.1.4","theta.2.4","theta.3.4","theta.4.4","theta.5.4","theta.6.4","theta.7.4","theta.8.4","theta.9.4","theta.10.4","theta.11.4","theta.12.4","theta.13.4","theta.14.4","theta.15.4","theta_raw.1.1","theta_raw.2.1","theta_raw.3.1","theta_raw.4.1","theta_raw.5.1","theta_raw.6.1","theta_raw.7.1","theta_raw.8.1","theta_raw.9.1","theta_raw.10.1","theta_raw.11.1","theta_raw.12.1","theta_raw.13.1","theta_raw.14.1","theta_raw.15.1","theta_raw.1.2","theta_raw.2.2","theta_raw.3.2","theta_raw.4.2","theta_raw.5.2","theta_raw.6.2","theta_raw.7.2","theta_raw.8.2","theta_raw.9.2","theta_raw.10.2","theta_raw.11.2","theta_raw.12.2","theta_raw.13.2","theta_raw.14.2","theta_raw.15.2","theta_raw.1.3","theta_raw.2.3","theta_raw.3.3","theta_raw.4.3","theta_raw.5.3","theta_raw.6.3","theta_raw.7.3","theta_raw.8.3","theta_raw.9.3","theta_raw.10.3","theta_raw.11.3","theta_raw.12.3","theta_raw.13.3","theta_raw.14.3","theta_raw.15.3","sigma_w.1","sigma_w.2","sigma_w.3","sigma_w.4"
"11668",-2.77768290981909,-4.74505878349512,-4.52533301447037,-4.31006314749418,0.249450289265262,-4.59257280675868,-2.85403136190211,-4.46974148044038,-4.38663291739754,0.342535815335825,-5.53283829689796,-6.03480535025779,-5.57460776815318,-5.84561269354444,0.35902079011777,0,0,0,0,0,-2.77768290981909,-4.74505878349512,-4.52533301447037,-4.31006314749418,0.249450289265262,-4.59257280675868,-2.85403136190211,-4.46974148044038,-4.38663291739754,0.342535815335825,-5.53283829689796,-6.03480535025779,-5.57460776815318,-5.84561269354444,0.35902079011777,0.770259426848426,1.51881187243092,-4.03714900731199,-1.7825538182597,-1.92646074923156,1.12367005567794,1.09411595482044,1.82062842264397,-0.685737549586188,-0.63863362987692,-0.057336107450388,1.32925402908731,-0.943823698225949,0.0456310443205416,1.17129538880222,0.561505987863116,0.981379648864074,-5.2513089363086,0.569660625006659,-0.922754059731684,0.202517666249959,1.74262202474449,1.83871632923015,0.436067775263991,-0.314671784046597,1.02882300595373,0.287521101760009,-0.211293555603646,0.861508957147696,-0.118433255287247,-0.129524984972617,-1.1029440760334,-2.00994184124323,0.385949562768338,-1.32671748246215,0.448375481433329,1.07847780879,1.86328903190997,1.05165459335798,-0.787079559328394,0.393613520849748,0.204794701055322,0.142424381373493,-0.363627613027233,-0.688796577338586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770259426848426,1.51881187243092,-4.03714900731199,-1.7825538182597,-1.92646074923156,1.12367005567794,1.09411595482044,1.82062842264397,-0.685737549586188,-0.63863362987692,-0.057336107450388,1.32925402908731,-0.943823698225949,0.0456310443205416,1.17129538880222,0.561505987863116,0.981379648864074,-5.2513089363086,0.569660625006659,-0.922754059731684,0.202517666249959,1.74262202474449,1.83871632923015,0.436067775263991,-0.314671784046597,1.02882300595373,0.287521101760009,-0.211293555603646,0.861508957147696,-0.118433255287247,-0.129524984972617,-1.1029440760334,-2.00994184124323,0.385949562768338,-1.32671748246215,0.448375481433329,1.07847780879,1.86328903190997,1.05165459335798,-0.787079559328394,0.393613520849748,0.204794701055322,0.142424381373493,-0.363627613027233,-0.688796577338586,1.73500095387818,1.38006765757509,1.066971638597,-298195773008.693
"23361",-3.21693817032863,-5.19098664865873,-4.87612578486133,-4.71931270341041,0.232853337047925,-4.32408849371971,-2.43894879936403,-4.12643908505125,-4.07496946189391,0.299983924430747,-6.33785288275282,-6.51574039487592,-6.45231410653214,-6.43924973033709,0.384934605389887,0,0,0,0,0,-3.21693817032863,-5.19098664865873,-4.87612578486133,-4.71931270341041,0.232853337047925,-4.32408849371971,-2.43894879936403,-4.12643908505125,-4.07496946189391,0.299983924430747,-6.33785288275282,-6.51574039487592,-6.45231410653214,-6.43924973033709,0.384934605389887,1.22386566210733,2.19094821934354,-2.50609795309871,-0.170441613489598,-0.904244868432916,1.65591757941441,1.40508397133473,1.95548415691207,-0.598228577157471,-0.172726513808077,-0.0378881880536054,1.53476177558657,-0.756355149775183,0.782400189313972,2.09057517673278,0.241579772997208,1.14269648308036,-5.12157410945777,0.729196066125321,-1.16171924494742,0.293750164875284,1.62857374033238,1.50909611515799,0.340329689496717,-0.0051704814238978,1.03945552318215,0.296967681161047,-0.15606043872899,0.981230593186923,0.80185126259233,0.845157611282267,-1.8775326994376,-2.53164045297208,0.84957023489146,-1.36044403504531,0.503228960558675,0.828046785527612,1.67571012652158,1.22191713233732,-0.66082876468013,0.4946422736638,0.690444190128081,0.397811942278357,-0.0572249257426155,0.293716768285794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22386566210733,2.19094821934354,-2.50609795309871,-0.170441613489598,-0.904244868432916,1.65591757941441,1.40508397133473,1.95548415691207,-0.598228577157471,-0.172726513808077,-0.0378881880536054,1.53476177558657,-0.756355149775183,0.782400189313972,2.09057517673278,0.241579772997208,1.14269648308036,-5.12157410945777,0.729196066125321,-1.16171924494742,0.293750164875284,1.62857374033238,1.50909611515799,0.340329689496717,-0.0051704814238978,1.03945552318215,0.296967681161047,-0.15606043872899,0.981230593186923,0.80185126259233,0.845157611282267,-1.8775326994376,-2.53164045297208,0.84957023489146,-1.36044403504531,0.503228960558675,0.828046785527612,1.67571012652158,1.22191713233732,-0.66082876468013,0.4946422736638,0.690444190128081,0.397811942278357,-0.0572249257426155,0.293716768285794,1.45759286157758,1.84964069314092,1.80801212128425,243380442190.073
"3336",-2.89953226266816,-4.57576196630802,-4.51205507994715,-4.2492663187176,0.226426004569784,-5.62072787649702,-3.63255730356236,-5.24722263281053,-5.16157036559348,0.336853947660933,-6.22616083893848,-6.48191457852577,-5.8817293143608,-6.28530121780406,0.35124193986107,0,0,0,0,0,-2.89953226266816,-4.57576196630802,-4.51205507994715,-4.2492663187176,0.226426004569784,-5.62072787649702,-3.63255730356236,-5.24722263281053,-5.16157036559348,0.336853947660933,-6.22616083893848,-6.48191457852577,-5.8817293143608,-6.28530121780406,0.35124193986107,0.859320813446068,1.49824216546202,-3.22263143017233,-0.625017316641693,-1.46049794862999,1.41835396347095,1.31118931360777,1.94248848814064,-0.701647090240224,-0.272786834256356,-0.0669964845129418,1.36178554761026,-0.983082197718895,0.623924878979044,1.88532839074278,1.29274122097833,2.11820439254303,-3.845961412273,1.62339905865547,-0.421911138303313,1.33365309736685,2.49989424358229,2.69399364094669,1.12068601173896,0.660787129911074,1.73094911483101,0.996677870459174,0.572851759236265,1.71118410150193,0.991935015441641,1.07840632644328,-1.40232906232456,-1.77663281115262,0.63749019873159,-1.44848265191098,0.92114769764047,1.35280497968448,2.17535115597308,1.66974259851178,0.0608166121867716,0.719001957834282,0.274930202876363,0.344543609597975,0.630429941720316,-0.272464425988654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859320813446068,1.49824216546202,-3.22263143017233,-0.625017316641693,-1.46049794862999,1.41835396347095,1.31118931360777,1.94248848814064,-0.701647090240224,-0.272786834256356,-0.0669964845129418,1.36178554761026,-0.983082197718895,0.623924878979044,1.88532839074278,1.29274122097833,2.11820439254303,-3.845961412273,1.62339905865547,-0.421911138303313,1.33365309736685,2.49989424358229,2.69399364094669,1.12068601173896,0.660787129911074,1.73094911483101,0.996677870459174,0.572851759236265,1.71118410150193,0.991935015441641,1.07840632644328,-1.40232906232456,-1.77663281115262,0.63749019873159,-1.44848265191098,0.92114769764047,1.35280497968448,2.17535115597308,1.66974259851178,0.0608166121867716,0.719001957834282,0.274930202876363,0.344543609597975,0.630429941720316,-0.272464425988654,1.91917793175525,2.02278170078107,0.975383731992192,-294397022345.252
"18102",-2.61006596901338,-4.23782780154861,-3.72825515689183,-4.18995235373947,0.210254641685617,-4.96789289443254,-2.98101936017562,-4.58684228265185,-4.60853771572171,0.339184637495599,-5.58574387673196,-5.86547824744024,-5.67108467637988,-5.68249865806571,0.38051918461207,0,0,0,0,0,-2.61006596901338,-4.23782780154861,-3.72825515689183,-4.18995235373947,0.210254641685617,-4.96789289443254,-2.98101936017562,-4.58684228265185,-4.60853771572171,0.339184637495599,-5.58574387673196,-5.86547824744024,-5.67108467637988,-5.68249865806571,0.38051918461207,1.17998052779312,1.03551193151859,-2.96314452229406,-0.463424583635162,-1.23055080659394,1.27320072480384,1.16438726089303,1.74593431768698,-0.897432364716898,-0.70988375594495,-0.0345324460382674,1.26915161277861,-0.53915383768232,0.454300000454864,1.44487223229415,0.662287507052354,1.32018159294105,-4.47471795068673,1.01885402197252,-0.98540373526904,0.615104693154312,1.83545813882444,2.03332986582725,0.624024346083619,0.17316637689232,1.37131433836766,0.61902274316898,-0.0192657146821728,1.02942822501957,0.915511115593677,0.216369805533529,-2.22526428819247,-2.96303318279437,-0.925410601916698,-2.69014626431002,0.143692613443719,0.325838224651456,1.41114660488056,0.69429577589297,-1.05227019528239,0.375513775357693,-0.471365288185614,-0.121564786329017,-0.694147676680756,0.865153932365749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17998052779312,1.03551193151859,-2.96314452229406,-0.463424583635162,-1.23055080659394,1.27320072480384,1.16438726089303,1.74593431768698,-0.897432364716898,-0.70988375594495,-0.0345324460382674,1.26915161277861,-0.53915383768232,0.454300000454864,1.44487223229415,0.662287507052354,1.32018159294105,-4.47471795068673,1.01885402197252,-0.98540373526904,0.615104693154312,1.83545813882444,2.03332986582725,0.624024346083619,0.17316637689232,1.37131433836766,0.61902274316898,-0.0192657146821728,1.02942822501957,0.915511115593677,0.216369805533529,-2.22526428819247,-2.96303318279437,-0.925410601916698,-2.69014626431002,0.143692613443719,0.325838224651456,1.41114660488056,0.69429577589297,-1.05227019528239,0.375513775357693,-0.471365288185614,-0.121564786329017,-0.694147676680756,0.865153932365749,1.72794029113025,1.90494962401849,1.931985547841,-1140716814184.99
"14148",-2.28361033891524,-4.5185436114054,-4.1218716998373,-4.03670547327177,0.240341095557402,-4.15943684600832,-2.49983045153619,-4.26020927802756,-4.13456100826032,0.340974539484059,-6.2658599254855,-6.73716444275088,-6.63739148042073,-7.06497194974074,0.410992769969103,0,0,0,0,0,-2.28361033891524,-4.5185436114054,-4.1218716998373,-4.03670547327177,0.240341095557402,-4.15943684600832,-2.49983045153619,-4.26020927802756,-4.13456100826032,0.340974539484059,-6.2658599254855,-6.73716444275088,-6.63739148042073,-7.06497194974074,0.410992769969103,0.481920440272522,1.64524097731655,-2.66415667702664,-1.10515531116195,-2.06704272958476,1.07896726207859,0.922503277220513,1.33218397199155,-1.5435213035764,-0.950684507102449,-0.782414981436567,0.862575032775048,-1.54499392642036,0.173423205289318,0.843620393775436,-0.439495293683424,1.25307911005445,-5.07820143895301,0.335949415951304,-1.33293511210832,0.131459070491003,1.4078521146174,1.2786175391737,-0.121747845702443,-0.525584601548919,0.600425685419505,-0.172488402891549,-0.694755717362183,0.581548323834567,-0.194283355164676,0.133067540579903,-1.49418815341561,-3.12279130357664,0.823210760724639,-1.05598587899346,1.41557561529778,1.08977967407177,1.91408777221046,1.22925483089035,-0.0586252757015545,0.886815456243848,0.897608456493656,0.402940321485742,0.963987477072712,-0.382831249602448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481920440272522,1.64524097731655,-2.66415667702664,-1.10515531116195,-2.06704272958476,1.07896726207859,0.922503277220513,1.33218397199155,-1.5435213035764,-0.950684507102449,-0.782414981436567,0.862575032775048,-1.54499392642036,0.173423205289318,0.843620393775436,-0.439495293683424,1.25307911005445,-5.07820143895301,0.335949415951304,-1.33293511210832,0.131459070491003,1.4078521146174,1.2786175391737,-0.121747845702443,-0.525584601548919,0.600425685419505,-0.172488402891549,-0.694755717362183,0.581548323834567,-0.194283355164676,0.133067540579903,-1.49418815341561,-3.12279130357664,0.823210760724639,-1.05598587899346,1.41557561529778,1.08977967407177,1.91408777221046,1.22925483089035,-0.0586252757015545,0.886815456243848,0.897608456493656,0.402940321485742,0.963987477072712,-0.382831249602448,1.27515209202686,1.35784324502474,1.33325546774329,-205542604429.257
"9600",-2.11135874002857,-3.98039197527795,-3.72276600874785,-3.67659717519196,0.242361843330046,-4.320417457877,-2.46266456551649,-3.85383492406048,-4.05399663091813,0.319111795347349,-5.63051527251797,-5.87473506217756,-5.70047600077886,-5.91176359556719,0.394632039730125,0,0,0,0,0,-2.11135874002857,-3.98039197527795,-3.72276600874785,-3.67659717519196,0.242361843330046,-4.320417457877,-2.46266456551649,-3.85383492406048,-4.05399663091813,0.319111795347349,-5.63051527251797,-5.87473506217756,-5.70047600077886,-5.91176359556719,0.394632039730125,0.137161766737629,1.39602677458086,-3.38104772001817,-1.49893249405177,-2.32170908110993,0.5123318752137,0.183315995865032,0.914460091179404,-2.00016103724583,-1.46082474858081,-0.867943238328539,0.357766367892651,-1.78913991790819,-0.150065225915292,0.955206527631482,0.0782538913078024,1.42269303981506,-4.55269353994207,0.60716778908655,-1.21918192575476,0.185324416476848,1.35228620273598,1.5535553067336,0.261539582935196,-0.400705431837956,0.819799985626037,-0.0491933358724655,-0.483780476984547,0.685652364706126,0.012625790112483,-0.250962260855111,-1.21559058792042,-2.40572320767079,-0.148091934908461,-1.29464241313235,0.0889748606659969,0.494990507017781,1.41922891669262,0.658062019453892,-1.41306333818799,0.309779287427644,-0.529962972727403,-0.284232722262111,-0.93323109161775,-0.753337265571052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137161766737629,1.39602677458086,-3.38104772001817,-1.49893249405177,-2.32170908110993,0.5123318752137,0.183315995865032,0.914460091179404,-2.00016103724583,-1.46082474858081,-0.867943238328539,0.357766367892651,-1.78913991790819,-0.150065225915292,0.955206527631482,0.0782538913078024,1.42269303981506,-4.55269353994207,0.60716778908655,-1.21918192575476,0.185324416476848,1.35228620273598,1.5535553067336,0.261539582935196,-0.400705431837956,0.819799985626037,-0.0491933358724655,-0.483780476984547,0.685652364706126,0.012625790112483,-0.250962260855111,-1.21559058792042,-2.40572320767079,-0.148091934908461,-1.29464241313235,0.0889748606659969,0.494990507017781,1.41922891669262,0.658062019453892,-1.41306333818799,0.309779287427644,-0.529962972727403,-0.284232722262111,-0.93323109161775,-0.753337265571052,1.68619931850225,1.56667905403299,1.04153896225751,-242284963795.623
"14693",-2.88822208540536,-5.00858095213024,-4.87974106988132,-4.54636545444673,0.223144504178832,-5.08757498009833,-3.34857769162577,-5.16681309253986,-4.868175340923,0.365716205561983,-6.2281562980552,-7.124579917928,-6.73307181776427,-6.68844948855519,0.426270980222724,0,0,0,0,0,-2.88822208540536,-5.00858095213024,-4.87974106988132,-4.54636545444673,0.223144504178832,-5.08757498009833,-3.34857769162577,-5.16681309253986,-4.868175340923,0.365716205561983,-6.2281562980552,-7.124579917928,-6.73307181776427,-6.68844948855519,0.426270980222724,1.31875512552776,1.68199507730447,-2.90250651352738,-0.0481437683790739,-1.26838146281419,1.43271832697369,1.60684878190148,2.00180957864818,-0.41874607600265,-0.428418679572283,0.0972758132741022,1.39024218249054,-1.06625752922466,0.773864766730155,1.88408867138727,0.565156133837699,1.38138074860513,-4.75448034645899,0.97744810440861,-0.746570069442481,0.644976609568193,1.69758132643564,2.2124463843648,0.591038484072551,-0.0218268560317781,1.26000781078434,0.405359525442318,0.0246352776319555,1.17865364740656,0.738012277332937,-0.0582270107695324,-1.77844668244,-1.88468327014587,0.280339014250548,-1.71683147307113,0.68716007888232,0.640220809013654,1.83801152313364,1.18113356420695,-0.631113863657614,0.571870186592329,0.0921929418520394,-0.275003156142505,0.214364336288553,-1.27966186696804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31875512552776,1.68199507730447,-2.90250651352738,-0.0481437683790739,-1.26838146281419,1.43271832697369,1.60684878190148,2.00180957864818,-0.41874607600265,-0.428418679572283,0.0972758132741022,1.39024218249054,-1.06625752922466,0.773864766730155,1.88408867138727,0.565156133837699,1.38138074860513,-4.75448034645899,0.97744810440861,-0.746570069442481,0.644976609568193,1.69758132643564,2.2124463843648,0.591038484072551,-0.0218268560317781,1.26000781078434,0.405359525442318,0.0246352776319555,1.17865364740656,0.738012277332937,-0.0582270107695324,-1.77844668244,-1.88468327014587,0.280339014250548,-1.71683147307113,0.68716007888232,0.640220809013654,1.83801152313364,1.18113356420695,-0.631113863657614,0.571870186592329,0.0921929418520394,-0.275003156142505,0.214364336288553,-1.27966186696804,1.71865655317578,1.3176750783181,1.11762849812157,-770590025539.893
"21192",-3.4189479758602,-5.63964112823879,-5.2557523238707,-5.08458175286982,0.26495629622747,-4.67287282399739,-2.93077665665976,-4.70976911465157,-4.4504721762829,0.337422581176646,-6.30610748054514,-6.70208722511689,-6.31024007848,-6.4037366058165,0.388945541238581,0,0,0,0,0,-3.4189479758602,-5.63964112823879,-5.2557523238707,-5.08458175286982,0.26495629622747,-4.67287282399739,-2.93077665665976,-4.70976911465157,-4.4504721762829,0.337422581176646,-6.30610748054514,-6.70208722511689,-6.31024007848,-6.4037366058165,0.388945541238581,1.71476659427691,1.98992138086345,-1.92653498944002,-0.0742817462917189,-0.711549890375787,1.74063911622386,1.32413918044839,2.33198547242111,-0.463170737154275,-0.0640201730593215,0.131493457671313,1.5970589383454,-0.561065425378313,0.983759278903482,2.24225495890691,0.763292461683288,1.26819086879681,-3.92008696228804,0.781632190775375,-0.940461286012016,0.648787069325796,1.74435477591172,1.73065310689646,0.44720688887564,-0.0693314562532208,1.1675910968024,0.291684123579481,-0.26814975109283,0.926118066635736,0.734801671745322,0.81766144553076,-0.900106411260305,-2.29838246651744,0.162593439279627,-0.694547479386124,0.843294974327698,0.610390849963644,1.97488540963248,1.23150640804141,-0.00287173284110167,0.706331697035158,0.396269655790882,-0.130234762574867,0.0891473481250199,0.516850944093487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71476659427691,1.98992138086345,-1.92653498944002,-0.0742817462917189,-0.711549890375787,1.74063911622386,1.32413918044839,2.33198547242111,-0.463170737154275,-0.0640201730593215,0.131493457671313,1.5970589383454,-0.561065425378313,0.983759278903482,2.24225495890691,0.763292461683288,1.26819086879681,-3.92008696228804,0.781632190775375,-0.940461286012016,0.648787069325796,1.74435477591172,1.73065310689646,0.44720688887564,-0.0693314562532208,1.1675910968024,0.291684123579481,-0.26814975109283,0.926118066635736,0.734801671745322,0.81766144553076,-0.900106411260305,-2.29838246651744,0.162593439279627,-0.694547479386124,0.843294974327698,0.610390849963644,1.97488540963248,1.23150640804141,-0.00287173284110167,0.706331697035158,0.396269655790882,-0.130234762574867,0.0891473481250199,0.516850944093487,1.71035062977283,1.84313009168847,0.833803083643079,78538623065.1328
"24392",-3.30277312747936,-5.31224662485327,-4.68388080868649,-4.8750286892123,0.248911555262017,-5.20641701154507,-3.33157880601898,-5.138101961314,-4.85734340076862,0.329902412734889,-6.25113131852271,-6.55293132476063,-6.53542754768414,-6.46333433106404,0.387755798707708,0,0,0,0,0,-3.30277312747936,-5.31224662485327,-4.68388080868649,-4.8750286892123,0.248911555262017,-5.20641701154507,-3.33157880601898,-5.138101961314,-4.85734340076862,0.329902412734889,-6.25113131852271,-6.55293132476063,-6.53542754768414,-6.46333433106404,0.387755798707708,1.11798468634173,1.82046834573854,-4.19254456782256,-0.78596655085251,-0.917503002227154,1.84836406242925,1.58571268060117,2.35119629785882,-0.893780958221624,-0.160715995173485,0.271222990969151,1.64439850144902,-0.3261464673235,0.76421870651053,2.31541297014971,1.08956472228692,1.50184854285346,-4.14738709262771,1.22014236979857,-0.507471401225553,1.01769913290344,2.23607781085071,2.33216287362006,1.07524883308371,0.417591948411691,1.64221710596182,0.837348650546614,0.425182167594413,1.33925120020636,0.933413310922089,0.455744872777027,-0.95215776232104,-1.80539508603346,0.832394855609491,-1.35594302075563,0.77036934295755,0.949563173471549,1.70995816496804,1.41231279502638,-0.594929568171009,0.678313746515752,0.471994128570647,0.413690149262939,-0.143079423481419,0.898420054727973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11798468634173,1.82046834573854,-4.19254456782256,-0.78596655085251,-0.917503002227154,1.84836406242925,1.58571268060117,2.35119629785882,-0.893780958221624,-0.160715995173485,0.271222990969151,1.64439850144902,-0.3261464673235,0.76421870651053,2.31541297014971,1.08956472228692,1.50184854285346,-4.14738709262771,1.22014236979857,-0.507471401225553,1.01769913290344,2.23607781085071,2.33216287362006,1.07524883308371,0.417591948411691,1.64221710596182,0.837348650546614,0.425182167594413,1.33925120020636,0.933413310922089,0.455744872777027,-0.95215776232104,-1.80539508603346,0.832394855609491,-1.35594302075563,0.77036934295755,0.949563173471549,1.70995816496804,1.41231279502638,-0.594929568171009,0.678313746515752,0.471994128570647,0.413690149262939,-0.143079423481419,0.898420054727973,2.47068758266796,2.45367305404022,0.786989099680192,174963517592.112
"17638",-2.69419164787882,-4.90576174656877,-4.71542401414572,-4.22228448415381,0.22758715819226,-4.95733453492977,-3.10337439684331,-4.70479413584417,-4.59675197589525,0.340454776473098,-6.1868991581176,-6.65267895008325,-6.1068798098176,-6.46572759375647,0.407099098161365,0,0,0,0,0,-2.69419164787882,-4.90576174656877,-4.71542401414572,-4.22228448415381,0.22758715819226,-4.95733453492977,-3.10337439684331,-4.70479413584417,-4.59675197589525,0.340454776473098,-6.1868991581176,-6.65267895008325,-6.1068798098176,-6.46572759375647,0.407099098161365,0.182249363117548,1.1824969354602,-3.9253652296246,-0.137832408117876,-1.52178857784224,1.42240261685402,1.27331108731686,1.69748389566026,-1.04755970363465,-0.236653142698863,-0.268342165624833,1.35792374153818,-1.27167872419181,0.36809531155471,0.881835877040362,0.970178444896637,1.08894143030524,-5.49657063842188,1.16494495345262,-0.68998419172433,0.697130993648014,1.76031713047803,1.90825574625743,0.708458060437039,0.22092396784082,1.18982815023933,0.392754328685387,0.0315699864360123,1.00336119489013,0.756208695880904,-0.192134220762342,-0.667965714699798,-3.83310897356817,0.700766092910784,-1.54815663538032,0.83220681541902,0.798455863985766,1.88545309037475,1.21333576757139,-0.278095620638047,0.549557753843253,0.25442824079281,0.0721590744420887,-0.327354741909602,0.711341508010737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182249363117548,1.1824969354602,-3.9253652296246,-0.137832408117876,-1.52178857784224,1.42240261685402,1.27331108731686,1.69748389566026,-1.04755970363465,-0.236653142698863,-0.268342165624833,1.35792374153818,-1.27167872419181,0.36809531155471,0.881835877040362,0.970178444896637,1.08894143030524,-5.49657063842188,1.16494495345262,-0.68998419172433,0.697130993648014,1.76031713047803,1.90825574625743,0.708458060437039,0.22092396784082,1.18982815023933,0.392754328685387,0.0315699864360123,1.00336119489013,0.756208695880904,-0.192134220762342,-0.667965714699798,-3.83310897356817,0.700766092910784,-1.54815663538032,0.83220681541902,0.798455863985766,1.88545309037475,1.21333576757139,-0.278095620638047,0.549557753843253,0.25442824079281,0.0721590744420887,-0.327354741909602,0.711341508010737,1.34220196522892,1.39795361665992,1.69368969271768,-156093857347.196
