"g1.alpha","g2.alpha","precens.surv","fruit.disp.informed","fruit.disp.flat","seed.num","kid.mean","kid.sd","f.alpha","f.beta","f.sigma.plot","g.alpha","g.beta","g.eps","g.sigma.plot","pf.alpha","pf.beta","pf.sigma.plot","s.alpha","s.beta","s.sigma.plot","sigma.year","sigma.yr.1.","sigma.yr.2.","sigma.yr.3.","sigma.yr.4.","y.beta.1.","y.beta.2.","y.beta.3.","y.beta.4."
-5.00706613878308,-5.53451956673044,-1.77348823441728,-3.04810106183906,-3.32695679409314,125.782614024263,-3.43182520007965,0.830380259546194,-5.96235747347593,0.680662145656032,0.230810707013238,0.665738141860595,0.918805292806231,0.855377220856711,0.0317508893162988,-21.1336119655549,1.85250948349761,0.160031926596234,0.767831993193684,0.368687151917923,0.0373243724328094,0.185452442189396,1.2242452271952,0.168398625175568,1.33272327001401,0.0303469002903801,1,-1,1,1
-5.02671108248801,-5.25680086709299,-2.03351380961177,-3.34324970097306,-3.11799411490001,125.398065422815,-3.34376416974182,0.777645628644892,-5.95886864491095,0.651696651714475,0.304890955372108,0.808237071193386,0.916074558529339,0.836624699689252,0.0487295538274643,-19.0050789807889,1.68069734878927,0.29837601948115,0.790498217687838,0.322999445694737,0.118322379912349,0.597444851178083,0.692849348657605,0.112720787540765,1.77722128417195,0.157273258188573,1,-1,1,1
-5.25222151579292,-5.44334040685604,-1.88211005960275,-3.24083242189654,-2.91713085459807,125.963962134896,-3.06518778943258,1.10435295657733,-6.29787130308255,0.69876215686258,0.287798163049293,0.960623584242606,0.910480147536863,0.841361526001027,0.0763737154452205,-20.0324592254469,1.74021647342728,0.537403000034091,0.190623296371242,0.36084279856235,0.120404264882379,0.198290316043384,0.674387428835528,0.168949520411325,1.45424285428124,0.180761233161608,1,-1,1,1
-5.38415577850194,-5.22065784848885,-1.76911329895153,-3.1979073070438,-2.94443326912772,125.251988885694,-3.2470295446822,0.985760693255495,-5.76704001914374,0.684152343476763,0.168998487029713,0.796631694793443,0.905660641749402,0.849009087102495,0.118244524003144,-20.4458787572346,1.73905146287651,0.684509016878969,0.370792933224217,0.366516364776585,0.0115409838807592,0.224950148944139,0.873850436539312,0.0192885747354493,2.34261693299903,0.391863138659036,-1,-1,-1,1
-4.91163550141803,-5.45687837855608,-1.50907523904395,-3.35623373838595,-3.14020636357351,124.406687488848,-2.9834650313827,0.763345750523819,-6.62691390980678,0.709698465184767,0.280581687785473,0.784873891761877,0.906974572386285,0.853958403580967,0.0558063545690848,-20.7993267506747,1.93047858746187,0.365706139293443,1.09017069118734,0.339404744540798,0.274554640507222,0.0729779689137993,0.73655861637985,0.273229445580763,2.30592380728394,0.386259427013391,1,-1,1,1
-5.14027301776168,-5.34370701131119,-1.18512186995118,-3.18400042041353,-2.99700994315217,125.039107867642,-3.52061537149025,0.805333841317897,-5.9235308471775,0.685362528686672,0.286489363220157,0.615175867903474,0.916168180594,0.85004470722097,0.0709316061494985,-18.6742307227989,1.72411142577913,0.320475835835878,1.09448280694601,0.327110822658455,0.0110413435752687,0.244555297763696,0.982335810525303,0.0534149417249933,1.46649676606066,0.405438366255912,1,-1,-1,1
-5.19918763482822,-5.61069200207266,-1.96040886767026,-3.00410608917056,-3.19019412258765,125.120242238747,-3.15838035151295,0.971084134008754,-5.81476071354021,0.658465974294908,0.143838145319985,0.767905738829442,0.924019613958808,0.858815919061114,0.0584870748380503,-19.8608227446161,1.8371654622278,0.377161178009059,0.75603657009302,0.359831087643184,0.431788440223796,0.166225221303046,1.23942767434735,0.096057142420603,2.00162496503564,0.209991165500931,1,-1,1,1
-5.31221983391167,-5.56080168544159,-1.79044915009919,-2.98805888568057,-2.96930153481472,126.018654113982,-3.11829742642719,0.57983043774497,-6.82214371956162,0.754307258581478,0.317261629810322,0.549889794088574,0.923799532537022,0.85223930095812,0.0512356005483946,-19.989917364336,1.87037919533253,0.422930839248189,1.11838862489953,0.328156423639144,0.263537897538101,0.498379187220332,0.530763793870632,0.233841267144917,1.76817275513116,0.0260649665738211,1,-1,1,1
-5.15475562060078,-5.53524269722662,-2.45968381316668,-3.0370798643306,-2.91455904893241,124.129835030544,-2.8811502202835,1.09849236441846,-5.72469146073792,0.660439572817332,0.203562809224522,0.893105987577938,0.9063888897789,0.853419050742707,0.0347470432604253,-20.8893859944187,1.82036057906449,0.275333421766756,-0.971123851734258,0.349861011935497,0.14768412949753,0.0313948228072592,3.84165970768766,0.230017453554636,2.03743438682911,0.145919650981817,-1,-1,-1,1
-5.3167399515004,-5.61784063332699,-1.73391276057932,-2.97041264350458,-3.10188039060185,123.705816323511,-3.35082842859356,0.762387663460554,-6.14766109893299,0.675307255347816,0.307712696006565,0.981211518171511,0.911034826504794,0.849271819360157,0.00291114290680838,-20.5396622459791,1.81572017651408,0.176790122258596,0.0725945773296611,0.339305649383531,0.331679000683316,0.301270600905313,0.57058690258575,0.254736640112419,1.3066660632656,0.113692578423322,-1,-1,1,1
-5.02373721258601,-5.41069531699531,-1.0461787336707,-2.74171795413346,-2.95912316402135,126.06314209138,-3.23211991998074,0.773942669540807,-6.027554858603,0.660913993753397,0.159057424920991,0.918914341567255,0.923599788418253,0.850922805294998,0.0525703303348189,-20.0076277006284,1.78536715109634,0.464261936565589,0.566191480147712,0.376716381481466,0.261170683318128,0.430239219162167,0.78336561498229,0.0671057060097511,2.39039998828879,0.35818607445417,1,-1,1,1
-5.03083955423122,-5.36888140926694,-1.7045257269972,-3.19239499770258,-3.14261859742847,126.537523363575,-3.31460784391105,0.627606802552556,-5.67557044380868,0.643621529607509,0.179538770185254,1.11585783751343,0.90675239102649,0.866283762784402,0.0979215647059165,-20.4922748850157,1.79326116098705,0.416062951942603,0.206486379726346,0.380449153727954,0.302874148304298,0.510038541119465,1.37510618614783,0.473802551298309,1.41518763857646,0.11705256969409,-1,-1,1,1
-5.17728878005262,-5.37623734765151,-1.56741483714185,-3.39250153893667,-2.98349974522537,125.477353400142,-3.12659895832938,1.16385318650317,-6.55449637892532,0.711979557295727,0.141707345343159,1.00233618857165,0.90422019885054,0.868796674117066,0.0460933456890151,-19.2654553324064,1.7239506384393,0.338531380654413,0.056979407275252,0.371067867428227,0.0941362435506872,0.300432915485978,1.20393121844766,0.238262381581908,1.53398247920166,0.150913541394468,1,-1,1,1
-5.11384169539836,-5.11667164936141,-1.50976482570194,-2.89105003020837,-3.18502334333258,125.051160261828,-3.20028012367545,0.660184370191056,-6.35361230008242,0.680871866831227,0.216984957084525,1.02015434695333,0.900813542480429,0.835865316865373,0.0604226614068882,-22.0692090129573,1.86549420045485,0.277769646851937,1.43394670366972,0.388853559146129,0.0508576731113737,0.271202214067513,1.83180794323471,0.0217242222228982,1.47468381068449,0.451876181094817,-1,-1,1,1
-5.26529981701568,-5.26251248197411,-1.82112143233,-3.32427806854473,-2.82577065114941,125.910054139721,-3.27224623383142,0.65025684728834,-6.02975912883719,0.685039380251701,0.218108457859839,0.880953205606104,0.911661994706831,0.835153787709388,0.0545979886971449,-20.4197718342253,1.84202424295451,0.226515465424835,0.722606603451299,0.390077706434739,0.136771259345509,0.225778957378397,0.744278009231213,0.289384621395724,1.33180739015418,0.0822439367533651,1,-1,1,1
