"","beta.1.1","beta.2.1","beta.1.2","beta.2.2","beta.1.3","beta.2.3","beta.1.4","beta.2.4"
"1509",0.000295231189019681,-2.41186246426875,-0.0833820325096087,-2.85139815152059,-0.0335830351014283,-2.2574791729273,-0.0893919746382146,-3.08054477370379
"1510",0.267751095889896,6.85557330483665,0.244607823245342,6.06457217679123,0.205404798341847,7.16187596327866,0.158703232182496,6.23363705266733
"1511",-2.09583474924023,2.41517473605358,-2.14253218119534,1.71437605967094,-2.12462252353547,2.55134356232043,-2.11629121699682,1.41629927876522
"1512",1.46653524009063,-1.36887032232043,1.45235144571362,-2.07231904088208,1.4315021509908,-1.17770713573334,1.4225204492506,-2.12745863122997
"1513",-2.50568917198967,1.57943264330483,-2.59678787689607,1.10431585523863,-2.56658399355097,1.85675366820132,-2.61349984345298,0.758159632860369
"1514",-4.61576873011485,-4.13927160765923,-4.70943764316808,-4.58876664698402,-4.69106414623849,-3.82121788716663,-4.75419603366353,-4.72293915149296
"1515",-2.44205611995195,-0.373716116872537,-2.57084866601987,-0.730729343648069,-2.50879100188858,-0.0307170371352378,-2.54272991824297,-0.989306909634952
"1516",-3.27556721223073,3.88035005860061,-3.35688542531142,3.28208161936879,-3.316384593465,4.11000306160296,-3.35872453625695,3.22941783125915
"1517",2.20780174802689,1.1662906677114,2.14326851001335,0.556074543963895,2.15494872357059,1.36433195006912,2.10030728478647,0.445839812245399
"1518",-5.36865612257236,0.754879788651643,-5.42777439407351,0.211068530017946,-5.41605773847988,1.01754530097007,-5.4522109378194,0.0574230237353993
"1519",-1.12781443066853,-0.256128073423475,-1.22877771089069,-0.674005013612564,-1.1753921089097,-0.0326729480479439,-1.24939895415369,-0.753694593023175
"1520",-1.38723187760744,3.34506251858382,-1.43185146882444,2.72815309108317,-1.42663253913095,3.58090910552351,-1.48572763632199,2.82439642339106
"1521",0.00571400255653199,-2.18232468171845,-0.0486467404992078,-2.86307595931677,-0.0583024855412336,-1.87966223062639,-0.0941779234425153,-2.73215190587671
"1522",-1.31997482717769,-3.60779297124403,-1.38106096709317,-4.18081071634889,-1.33856119783375,-3.4251381655444,-1.3839951122162,-4.35131945696607
"1523",-2.7318026974722,1.16424613285506,-2.78040217114075,0.631202934421791,-2.77020707240091,1.39973700310786,-2.82589768367754,0.566801569593551
"1524",0.69714326987687,1.54729161546109,0.642089251324882,0.971917873056952,0.640019907262311,1.84465689856924,0.573225244127417,1.0255710736365
"1525",3.20740553542964,-1.45576426198321,3.16976159583195,-1.97318111566232,3.16489609839628,-1.16341952464596,3.10051515964659,-1.91548277243673
"1526",-3.13392159122489,3.87663333362508,-3.21358781527241,3.38095270517914,-3.16593756812293,4.05844044732522,-3.25007311360063,3.26714627773034
"1527",-3.86860195294547,0.923406533209912,-3.8844933194163,0.194073009728773,-3.88527045262196,1.04069638373897,-3.92072652882875,0.193178538497677
"1528",0.0375834103964726,-1.14396019544213,0.00650944838770577,-1.78137589569285,0.00333014643088715,-0.9621733562026,-0.0499791624338128,-1.68657981156504
"1529",-3.26524999841846,1.70777448481728,-3.34573960639938,1.080772480832,-3.31627977027502,1.95924338738539,-3.33336810360589,0.792403329402605
"1530",-4.05575384413908,-1.50747608245007,-4.14299654581687,-2.00863805438556,-4.10757362240594,-1.24886877731926,-4.14645792261919,-2.22808472185807
"1531",3.24527102180922,-3.05746049721171,3.15386784218781,-3.38674057063995,3.18339046477932,-2.74793586240136,3.15357316027516,-3.62172888320222
"1532",-2.72535573851059,-0.603285198028013,-2.74632958768735,-1.21289773751446,-2.76068182536183,-0.3640428815445,-2.75118018644731,-1.37209786277258
"1533",-2.23813788831852,2.05798531431747,-2.29251534436487,1.47529429512112,-2.3057348856726,2.43722237166108,-2.4048052952793,1.7031917475646
"1534",-3.05615749295948,4.6879750220626,-3.09154850654774,3.94312446482459,-3.10545639236083,4.94860221529506,-3.16756656412296,4.02934662853489
"1535",-2.05623472864638,0.560395636206023,-2.10994586605664,0.030530620799308,-2.10488947246222,0.812171602723525,-2.13518524097557,-0.0680747184216563
"1536",0.938581604254793,-1.7835368804351,0.876268250046815,-2.29298206491203,0.889129587393047,-1.47728593631184,0.860394552539959,-2.39648459544505
"1537",1.46822393537272,1.34363131277041,1.36048484172892,1.02035925422925,1.40441224080307,1.69613126429599,1.33262777283472,0.888217060168871
"1538",0.587787248144579,2.43745756850116,0.550680514000849,1.89917429481995,0.539557589748946,2.69574404766164,0.474084247745848,1.90682953744473
"1539",-0.205449435805222,1.16284156164345,-0.303023240250342,0.695365730929694,-0.249202624848674,1.41831554260741,-0.297516984044859,0.484397725184973
"1540",-1.2167586104937,-4.22250727223977,-1.31860960502259,-4.65527507319102,-1.28389993977464,-3.93797555056244,-1.39238438463083,-4.73497374225936
"1541",-3.26440041150729,1.52909523689587,-3.35754763728005,1.20566523948122,-3.31229193925416,1.79028608079707,-3.34309945456938,0.934380251328435
"1542",3.4555157953501,0.432930787861723,3.39326729509328,-0.0505578851791774,3.41446913557959,0.704646468309026,3.39190775753138,-0.171931836669241
"1543",1.20758111232754,0.785218622220208,1.13489426363218,0.350261545606774,1.16966899573796,1.00545132814327,1.13824651201321,0.0750688529616945
"1544",2.69412223767265,-1.96985977589887,2.59564961963046,-2.33582101808993,2.63432069988023,-1.70502208083845,2.55907509201306,-2.63239601778243
"1545",-1.43026557753716,5.4083249806725,-1.50818459931052,4.98968885264819,-1.48098518400469,5.65544952465229,-1.56159319287257,4.86492107358507
"1546",2.28659314724504,-1.80432655620671,2.27269247495034,-2.48668406558168,2.2414610956975,-1.55930364593682,2.22086234029974,-2.44146874895627
"1547",-0.752279723827218,-1.60072164445871,-0.817226504280006,-2.17737460209974,-0.79066110042087,-1.41709370031191,-0.872377554252153,-2.26085533979024
"1548",4.43621930990737,-0.515403048374391,4.37182568725236,-1.17574547172139,4.3739593025741,-0.220085790368867,4.34179855381415,-1.1506116307247
"1549",-3.83700846514282,0.578402172482163,-3.89668512475448,-0.0282481425912787,-3.88826492455298,0.816988041792332,-3.88928081832874,-0.182380070038915
"1550",-5.00819488697049,1.7202253556386,-5.09557472117577,1.34303282846704,-5.04536508233147,1.95359474502183,-5.17241913251913,1.38286632005402
"1551",-1.16938222848931,-3.92322643746181,-1.24251815292929,-4.62893196834133,-1.23601082239456,-3.64270145993767,-1.27112981758718,-4.48255410554335
