"","vacvac","vaccrem","cremvac","cremcrem"
"1",0.990119015981144,0.00988098401885572,0.158440386611301,0.841559613388699
"2",0.989908997427031,0.0100910025729694,0.15959550202338,0.84040449797662
"3",0.989694561427588,0.0103054385724115,0.160757430161385,0.839242569838615
"4",0.989475617063023,0.0105243829369767,0.161926187745639,0.838073812254361
"5",0.989252071627861,0.0107479283721392,0.163101791181068,0.836898208818932
"6",0.989023830599572,0.0109761694004282,0.164284256551598,0.835715743448402
"7",0.988790797606809,0.0112092023931913,0.165473599614523,0.834526400385477
"8",0.988552874397257,0.0114471256027432,0.166669835794858,0.833330164205142
"9",0.988309960805104,0.0116900391948957,0.167872980179674,0.832127019820326
"10",0.988061954718135,0.011938045281865,0.169083047512419,0.830916952487581
"11",0.987808752044447,0.0121912479555533,0.17030005218722,0.82969994781278
"12",0.987550246678803,0.0124497533211965,0.171524008243177,0.828475991756823
"13",0.987286330468624,0.0127136695313756,0.172754929358635,0.827245070641365
"14",0.987016893179617,0.0129831068203831,0.173992828845459,0.826007171154541
"15",0.986741822461061,0.013258177538939,0.175237719643283,0.824762280356717
"16",0.986461003810753,0.0135389961892472,0.176489614313766,0.823510385686234
"17",0.986174320539615,0.0138256794603853,0.177748525034825,0.822251474965175
"18",0.985881653735982,0.0141183462640183,0.179014463594876,0.820985536405124
"19",0.985582882229574,0.0144171177704254,0.180287441387063,0.819712558612937
"20",0.98527788255517,0.0147221174448305,0.181567469403486,0.818432530596514
"21",0.984966528915976,0.0150334710840238,0.182854558229423,0.817145441770577
"22",0.984648693146737,0.0153513068532628,0.184148718037562,0.815851281962438
"23",0.984324244676562,0.0156757553234383,0.185449958582222,0.814550041417778
"24",0.983993050491508,0.0160069495084925,0.186758289193588,0.813241710806412
"25",0.983654975096928,0.0163450249030722,0.188073718771942,0.811926281228058
"26",0.983309880479598,0.0166901195204017,0.189396255781902,0.810603744218098
"27",0.982957626069642,0.0170423739303578,0.190725908246676,0.809274091753324
"28",0.982598068702272,0.0174019312977278,0.192062683742312,0.807937316257688
"29",0.982231062579369,0.017768937420631,0.193406589391968,0.806593410608032
"30",0.981856459230917,0.0181435407690829,0.194757631860194,0.805242368139806
"31",0.981474107476322,0.0185258925236784,0.196115817347228,0.803884182652772
"32",0.981083853385627,0.0189161466143726,0.1974811515833,0.8025188484167
"33",0.980685540240668,0.0193144597593319,0.198853639822968,0.801146360177032
"34",0.98027900849617,0.0197209915038304,0.200233286839458,0.799766713160542
"35",0.979864095740837,0.0201359042591631,0.20162009691904,0.79837990308096
"36",0.979440636658454,0.0205593633415457,0.203014073855416,0.796985926144584
"37",0.979008462989028,0.0209915370109723,0.204415220944137,0.795584779055863
"38",0.978567403490006,0.0214325965099945,0.205823540977048,0.794176459022952
"39",0.978117283897608,0.0218827161023917,0.207239036236756,0.792760963763244
"40",0.977657926888307,0.0223420731116927,0.20866170849114,0.79133829150886
"41",0.977189152040487,0.022810847959513,0.210091558987879,0.789908441012121
"42",0.976710775796333,0.0232892242036673,0.211528588449025,0.788471411550975
"43",0.976222611423985,0.0237773885760147,0.212972797065608,0.787027202934392
"44",0.975724468980007,0.0242755310199934,0.214424184492279,0.785575815507721
"45",0.975216155272201,0.0247838447277993,0.215882749841995,0.784117250158006
"46",0.97469747382284,0.02530252617716,0.217348491680745,0.782651508319255
"47",0.974168224832347,0.0258317751676535,0.218821408022322,0.781178591977678
"48",0.973628205143479,0.0263717948565206,0.220301496323138,0.779698503676862
"49",0.973077208206085,0.0269227917939152,0.22178875347709,0.77821124652291
"50",0.972515024042465,0.0274849759575351,0.223283175810478,0.776716824189522
"51",0.971941439213425,0.0280585607865747,0.224784759076969,0.775215240923031
"52",0.971356236785063,0.0286437632149367,0.226293498452623,0.773706501547377
"53",0.970759196296362,0.0292408037036384,0.227809388530973,0.772190611469027
"54",0.970150093727655,0.0298499062723454,0.229332423318159,0.770667576681841
"55",0.969528701470038,0.0304712985299623,0.230862596228134,0.769137403771866
"56",0.968894788295792,0.0311052117042081,0.23239990007792,0.767600099922079
"57",0.9682481193299,0.0317518806701001,0.233944327082941,0.766055672917059
"58",0.967588456022732,0.0324115439772684,0.235495868852411,0.764504131147589
"59",0.966915556123981,0.033084443876019,0.237054516384807,0.762945483615193
"60",0.966229173657939,0.0337708263420613,0.238620260063397,0.761379739936603
"61",0.965529058900187,0.0344709410998126,0.240193089651857,0.759806910348143
"62",0.964814958355812,0.0351850416441882,0.241772994289949,0.758227005710051
"63",0.964086614739216,0.0359133852607843,0.243359962489294,0.756640037510706
"64",0.963343766955644,0.0366562330443558,0.244953982129208,0.755046017870792
"65",0.962586150084511,0.0374138499154888,0.246555040452636,0.753444959547364
"66",0.961813495364635,0.0381865046353649,0.248163124062159,0.751836875937841
"67",0.961025530181491,0.0389744698185086,0.249778218916093,0.750221781083907
"68",0.960221978056591,0.0397780219434093,0.251400310324679,0.748599689675321
"69",0.959402558639097,0.0405974413609029,0.253029382946361,0.746970617053639
"70",0.958566987699804,0.0414330123001956,0.254665420784157,0.745334579215843
"71",0.95771497712759,0.0422850228724098,0.256308407182126,0.743691592817874
"72",0.956846234928472,0.0431537650715275,0.257958324821936,0.742041675178064
"73",0.955960465227396,0.0440395347726035,0.25961515571953,0.74038484428047
"74",0.955057368272883,0.0449426317271165,0.261278881221888,0.738721118778112
"75",0.954136640444675,0.0458633595553245,0.262949482003905,0.737050517996095
"76",0.953197974264515,0.0468020257354849,0.264626938065363,0.735373061934637
"77",0.952241058410201,0.0477589415897993,0.26631122872802,0.73368877127198
"78",0.951265577733065,0.0487344222669352,0.268002332632808,0.731997667367192
"79",0.950271213279021,0.0497287867209791,0.269700227737136,0.730299772262864
"80",0.949257642313334,0.0507423576866663,0.271404891312321,0.728595108687679
"81",0.948224538349266,0.0517754616507344,0.27311629994112,0.72688370005888
"82",0.94717157118076,0.0528284288192397,0.274834429515395,0.725165570484605
"83",0.946098406919322,0.0539015930806778,0.276559255233891,0.723440744766109
"84",0.945004708035259,0.0549952919647409,0.278290751600133,0.721709248399867
"85",0.943890133403454,0.0561098665965456,0.280028892420458,0.719971107579542
"86",0.942754338353838,0.057245661646162,0.281773650802167,0.718226349197833
"87",0.941596974726732,0.0584030252732677,0.283524999151802,0.716475000848198
"88",0.940417690933245,0.0595823090667546,0.285282909173563,0.714717090826437
"89",0.939216132020891,0.0607838679791089,0.287047351867847,0.712952648132153
"90",0.937991939744616,0.062008060255384,0.288818297529927,0.711181702470073
"91",0.936744752643415,0.063255247356585,0.290595715748769,0.709404284251231
"92",0.935474206122719,0.0645257938772812,0.292379575405975,0.707620424594025
"93",0.93417993254274,0.06582006745726,0.29416984467488,0.70583015532512
