"","none","cremvac","liomvac","othervac","liomcremvac","liomvacother","othercremvac","all"
"1",0.762866957373832,0.804945716192459,0.795495597676984,0.756323439982918,0.779747827440073,0.781525370601496,0.791998242948145,0.782102765706264
"2",0.816997463964537,0.84217605009866,0.847445380700743,0.832041489683258,0.852243324374372,0.836209547236329,0.833226910617114,0.814768535632822
"3",0.817949973670044,0.858685685282467,0.852686917666065,0.83624233983199,0.851792003999181,0.851628909547708,0.842890916872418,0.852456021355475
"4",0.817991637019912,0.856135922129809,0.830287662663378,0.833160904927536,0.848347936490456,0.832005474798616,0.839968555596248,0.832734334002322
"5",0.842200795484017,0.886055777105291,0.884486950854256,0.892215905454226,0.893622056526417,0.885676823581003,0.901141060374457,0.890498788768401
"6",0.875232197835638,0.898702091801788,0.906079986648379,0.891498043799326,0.904589386669025,0.898302498518446,0.894832351743783,0.897258420707768
"7",0.735440731510319,0.788621028397125,0.793057098548548,0.752598583886384,0.79308598028493,0.768856342308208,0.781426466947482,0.757959106434011
"8",0.788169068412581,0.862130009068598,0.836613453334494,0.823751192680334,0.837172119550111,0.819598340407032,0.813029905668008,0.816848998533991
"9",0.834682569797961,0.859390459000293,0.864916972476037,0.858118063602029,0.86926572821964,0.854322868431587,0.866753914792019,0.862708419354904
"10",0.853439563544231,0.893662518657463,0.891345840161172,0.882526061422855,0.886970369982321,0.885328680998771,0.884421330009311,0.871007842551805
"11",0.775332917197556,0.8302388308354,0.806204915662332,0.791220813889089,0.830355115415569,0.808097182074302,0.82011745083922,0.813366264919483
"12",0.860179649961571,0.893199767805302,0.90779121633231,0.891364753401552,0.906180193122188,0.901654356183396,0.890503060983256,0.892164986595751
"13",0.880270005146404,0.902002889849431,0.900590807696417,0.890057651527491,0.908981666194031,0.890877349830563,0.899774882168092,0.893495516696182
"14",0.679406956569308,0.735578258471443,0.746636319284371,0.747767892782082,0.748768954762531,0.727953820441334,0.740310661665147,0.731010136679814
"15",0.855481379580524,0.884576455265421,0.88863341324499,0.878897247046229,0.875045583035373,0.872742513146231,0.885745744302595,0.881234288683447
