"","cremcrem","cremother","othercrem","otherother"
"1",0.952390966938827,0.047609033061173,0.856668769300349,0.143331230699651
"2",0.951836333312643,0.0481636666873572,0.855168576348611,0.144831423651389
"3",0.951275568903183,0.0487244310968165,0.853655363814701,0.146344636185299
"4",0.950708613677637,0.0492913863223626,0.852129074900515,0.147870925099485
"5",0.950135407196633,0.0498645928033674,0.85058965377388,0.14941034622612
"6",0.949555888615945,0.0504441113840546,0.849037045597804,0.150962954402196
"7",0.948969996688347,0.0510300033116526,0.847471196559958,0.152528803440041
"8",0.948377669765597,0.0516223302344029,0.845892053902404,0.154107946097596
"9",0.947778845800577,0.052221154199423,0.844299565951534,0.155700434048466
"10",0.94717346234958,0.0528265376504201,0.842693682148237,0.157306317851762
"11",0.946561456574749,0.053438543425251,0.841074353078268,0.158925646921733
"12",0.945942765246674,0.0540572347533261,0.839441530502802,0.160558469497198
"13",0.945317324747146,0.0546826752528543,0.837795167389196,0.162204832610804
"14",0.944685071072076,0.0553149289279237,0.836135217941895,0.163864782058105
"15",0.944045939834583,0.0559540601654168,0.834461637633527,0.165538362366473
"16",0.943399866268245,0.0566001337317552,0.832774383236132,0.167225616763869
"17",0.94274678523053,0.0572532147694703,0.831073412852531,0.168926587147469
"18",0.942086631206402,0.0579133687935979,0.829358685947831,0.170641314052169
"19",0.941419338312109,0.0585806616878914,0.827630163381026,0.172369836618974
"20",0.940744840299149,0.0592551597008506,0.825887807436709,0.174112192563291
"21",0.940063070558437,0.0599369294415632,0.824131581856866,0.175868418143134
"22",0.939373962124646,0.0606260378753542,0.822361451872735,0.177638548127265
"23",0.93867744768076,0.0613225523192401,0.82057738423673,0.17942261576327
"24",0.937973459562815,0.0620265404371849,0.818779347254397,0.181220652745603
"25",0.937261929764848,0.062738070235152,0.8169673108164,0.1830326891836
"26",0.936542789944049,0.0634572100559512,0.815141246430516,0.184858753569484
"27",0.935815971426125,0.064184028573875,0.813301127253619,0.186698872746381
"28",0.935081405210879,0.0649185947891204,0.811446928123645,0.188553071876355
