"","cremother","cremcrem","cremliom","otherother","othercrem","otherliom","liomother","liomcrem","liomliom"
"52",0.0685382707689742,0.737254390263736,0.215631993383373,0.113756111597176,0.365599136373825,0.365599136373825,0.0286547129739076,0.0915036004154771,0.879841686610615
"53",0.0692077586602671,0.735454549429381,0.216971624245848,0.114471996831154,0.363451537980494,0.363451537980494,0.0287756980011209,0.0907788792762095,0.880445422722669
"54",0.0698825833605566,0.73364647509496,0.218315820054036,0.115189961617398,0.361308946677772,0.361308946677772,0.0288970012493826,0.0900592977843376,0.88104370096628
"55",0.0705627676377222,0.731830188194304,0.219664544223328,0.115909992869661,0.359171435937899,0.359171435937899,0.0290186236919939,0.0893448286084993,0.881636547699507
"56",0.0712483340397063,0.73000571058608,0.221017759395469,0.116632077446516,0.357039078489666,0.357039078489666,0.029140566308779,0.0886354444192314,0.88222398927199
"57",0.0719393048890566,0.728173065059391,0.222375427436702,0.117356202153803,0.354911946309848,0.354911946309848,0.0292628300860522,0.0879311178916636,0.882806052022284
"58",0.0726357022774579,0.726332275339225,0.223737509436085,0.118082353747063,0.352790110614868,0.352790110614868,0.0293854160165859,0.0872318217081677,0.883382762275246
"59",0.0733375480602544,0.724483366091734,0.22510396570397,0.11881051893398,0.350673641852691,0.350673641852691,0.0295083250995774,0.0865375285609651,0.883954146339458
"60",0.0740448638509644,0.722626362929354,0.226474755770658,0.119540684376811,0.348562609694952,0.348562609694952,0.0296315583406166,0.0858482111546911,0.884520230504692
"61",0.0747576710157891,0.720761292415754,0.22784983838523,0.12027283669481,0.346457083029313,0.346457083029313,0.0297551167516532,0.0851638422089165,0.88508104103943
"62",0.0754759906681172,0.718888182070605,0.229229171514544,0.121006962466658,0.344357129952054,0.344357129952054,0.0298790013509642,0.084484394460627,0.885636604188409
"63",0.076199843663027,0.717007060374175,0.230612712342425,0.121743048232866,0.342262817760904,0.342262817760904,0.0300032131631214,0.0838098406666605,0.886186946170218
"64",0.0769292505917883,0.715117956771747,0.232000417269029,0.122481080498193,0.340174212948102,0.340174212948102,0.0301277532189586,0.0831401536061034,0.886732093174938
"65",0.0776642317763653,0.713220901677843,0.233392241910395,0.123221045734035,0.338091381193697,0.338091381193697,0.0302526225555393,0.0824753060826438,0.887272071361817
"66",0.078404807263923,0.711315926480263,0.234788141098183,0.123962930380822,0.336014387359086,0.336014387359086,0.0303778222161241,0.0818152709268855,0.88780690685699
"67",0.0791509968213378,0.709403063543929,0.2361880688796,0.124706720850392,0.333943295480787,0.333943295480787,0.0305033532501382,0.0811600209986196,0.888336625751242
