"","vacother","vacvac","otherother","othervac"
"1",0.000941252527596812,0.999058747472403,0.00135982618940731,0.998640173810593
"2",0.000973199076432063,0.999026800923568,0.00140595933042526,0.998594040669575
"3",0.00100622881393993,0.99899377118606,0.00145365529523486,0.998546344704765
"4",0.00104037839163841,0.998959621608361,0.0015029668694644,0.998497033130536
"5",0.00107568569600846,0.998924314303992,0.00155394861077548,0.998446051389224
"6",0.0011121898897465,0.998887810110254,0.0016066569076023,0.998393343092398
"7",0.00114993145436997,0.99885006854563,0.00166115003978626,0.998338849960214
"8",0.00118895223421878,0.998811047765781,0.00171748824116332,0.998282511758837
"9",0.00122929548189638,0.998770704518104,0.00177573376416335,0.998224266235837
"10",0.00127100590519562,0.998728994094804,0.00183595094648179,0.998164049053518
"11",0.0013141297155559,0.998685870284444,0.00189820627988579,0.998101793720114
"12",0.00135871467809915,0.998641285321901,0.00196256848121852,0.998037431518782
"13",0.00140481016329383,0.998595189836706,0.00202910856566671,0.997970891434333
"14",0.00145246720029724,0.998547532799703,0.00209789992235816,0.997902100077642
"15",0.00150173853202794,0.998498261467972,0.00216901839235769,0.997830981607642
"16",0.00155267867202147,0.998447321327979,0.00224254234913134,0.997757457650869
"17",0.00160534396312384,0.998394656036876,0.00231855278155028,0.99768144721845
"18",0.00165979263807907,0.998340207361921,0.00239713337950776,0.997602866620492
"19",0.00171608488206793,0.998283915117932,0.00247837062222353,0.997521629377777
"20",0.00177428289725731,0.998225717102743,0.00256235386931234,0.997437646130688
"21",0.00183445096942029,0.99816554903058,0.0026491754546941,0.997350824545306
"22",0.00189665553668929,0.998103344463311,0.00273893078342543,0.997261069216575
"23",0.00196096526050565,0.998039034739494,0.00283171843153346,0.997168281568467
"24",0.00202745109883095,0.997972548901169,0.0029276402489345,0.997072359751065
"25",0.00209618638168664,0.997903813618313,0.00302680146552153,0.996973198534478
"26",0.00216724688909031,0.99783275311091,0.00312931080050621,0.996870689199494
"27",0.00224071093145854,0.997759289068541,0.00323528057510216,0.996764719424898
"28",0.0023166594325478,0.997683340567452,0.00334482682863801,0.996655173171362
"29",0.00239517601500634,0.997604823984994,0.00345806943818969,0.99654193056181
"30",0.00247634708861192,0.997523652911388,0.00357513224182311,0.996424867758177
"31",0.0025602619412716,0.997439738058728,0.003696143165539,0.996303856834461
"32",0.00264701283286132,0.997352987167139,0.0038212343540135,0.996178765645987
"33",0.00273669509198492,0.997263304908015,0.0039505423052283,0.996049457694772
"34",0.00282940721573331,0.997170592784267,0.00408420800908583,0.995915791990914
"35",0.00292525097252657,0.997074749027473,0.00422237709010505,0.995777622909895
"36",0.00302433150812276,0.996975668491877,0.00436519995429462,0.995634800045705
"37",0.00312675745487914,0.996873242545121,0.00451283194030048,0.9954871680597
"38",0.00323264104435249,0.996767358955647,0.00466543347492514,0.995334566525075
"39",0.00334209822332699,0.996657901776673,0.00482317023311637,0.995176829766884
"40",0.00345524877335929,0.996544751226641,0.00498621330252292,0.995013786697477
"41",0.00357221643393146,0.996427783566068,0.00515473935271439,0.994845260647286
"42",0.00369312902930412,0.996306870970696,0.00532893080916246,0.994671069190837
"43",0.00381811859916274,0.996181881400837,0.00550897603207929,0.994491023967921
"44",0.00394732153315146,0.996052678466848,0.00569506950020859,0.994304930499791
"45",0.00408087870938934,0.995919121290611,0.00588741199966307,0.994112588000337
"46",0.00421893563706506,0.995781064362935,0.00608621081790052,0.993913789182099
"47",0.00436164260320654,0.995638357396793,0.00629167994292908,0.993708320057071
"48",0.00450915482372253,0.995490845176278,0.00650404026782928,0.993495959732171
"49",0.00466163259881367,0.995338367401186,0.00672351980067844,0.993276480199322
"50",0.00481924147285043,0.99518075852715,0.00695035387995913,0.993049646120041
"51",0.00498215239881571,0.995017847601184,0.00718478539553024,0.99281521460447
"52",0.00515054190740928,0.994849458092591,0.00742706501523455,0.992572934984766
"53",0.00532459228091113,0.994675407719089,0.00767745141721228,0.992322548582788
"54",0.00550449173189968,0.9944955082681,0.00793621152798462,0.992063788472015
"55",0.00569043458692036,0.99430956541308,0.00820362076636516,0.991796379233635
"56",0.0058826214751982,0.994117378524802,0.00847996329325051,0.99152003670675
"57",0.00608125952248699,0.993918740477513,0.00876553226733411,0.991234467732666
"58",0.00628656255014521,0.993713437449855,0.00906063010677873,0.990939369893221
"59",0.00649875127952679,0.993501248720473,0.00936556875687437,0.990634431243126
"60",0.00671805354177208,0.993281946458228,0.00968066996369822,0.990319330036302
"61",0.006944704493081,0.993055295506919,0.0100062655537823,0.989993734446218
"62",0.00717894683554678,0.992821053164453,0.0103426977197826,0.989657302280217
"63",0.0074210310436246,0.992578968956375,0.0106903193121309,0.989309680687869
"64",0.00767121559630449,0.992328784403695,0.0110494941366349,0.988950505863365
"65",0.00792976721505272,0.992070232784947,0.0114205972579788,0.988579402742021
"66",0.00819696110757973,0.99180303889242,0.0118040153090588,0.988195984690941
"67",0.00847308121748612,0.991526918782514,0.012200146806068,0.987799853193932
"68",0.00875842047983082,0.991241579520169,0.012609402469231,0.987390597530769
"69",0.00905328108265719,0.990946718917343,0.0130322055490599,0.98696779445094
"70",0.00935797473450396,0.990642025265496,0.0134689921579879,0.986531007842012
"71",0.009672822937918,0.990327177062082,0.0139202116072064,0.986079788392794
"72",0.0099981572689747,0.990001842731025,0.0143863267485096,0.98561367325149
"73",0.0103343196628003,0.9896656803372,0.014867814320919,0.985132185679081
"74",0.0106816627050772,0.989318337294923,0.0153651653018329,0.984634834698167
"75",0.0110405499294991,0.988959450070501,0.0158788852624098,0.98412111473759
