"","vacvac","vacliom","vacother","othervac","otherliom","otherother","liomvac","liomliom","liomother"
"30",0.97824214978592,0.0193293693529905,0.00242848086108994,0.979111059403555,0.0173759296007692,0.00351301099567575,0.931868226323323,0.0661386017828319,0.00199317189384556
"31",0.977588321366198,0.0199023719780469,0.00250930665575517,0.978478561284787,0.0178914248172338,0.00363001389797903,0.929939639993583,0.0680037382242967,0.00205662178212065
"32",0.976915281001923,0.0204919486161732,0.00259277038190398,0.977827307571412,0.0184218522894071,0.00375084013918065,0.927960658333832,0.0699173745218431,0.00212196714432455
"33",0.976222491517659,0.0210985536987113,0.00267895478362967,0.97715676751521,0.0189676225749737,0.00387560990981627,0.925930204794156,0.0718805381278681,0.00218925707797594
"34",0.975509402410208,0.0217226526040813,0.00276794498571045,0.976466396946046,0.0195291561809534,0.00400444687300089,0.923847193599048,0.0738942649005975,0.00225854150035424
"35",0.974775449623437,0.0223647218283148,0.002859828548248,0.975755638033181,0.0201068837218945,0.00413747824492431,0.921710530536207,0.0759595983298988,0.00232987113389436
"36",0.974020055326335,0.023025249152035,0.00295469552162989,0.975023919049091,0.0207012460750345,0.00427483487587404,0.919519113805836,0.0780775887048013,0.00240329748936298
"37",0.973242627694907,0.023704733803349,0.0030526385017436,0.974270654136369,0.0213126945319477,0.00441665133168284,0.917271834932495,0.0802492922207982,0.00247887284670692
"38",0.972442560698555,0.0244036866160814,0.00315375268536383,0.973495243078345,0.021941690946167,0.00456306597548843,0.914967579741487,0.0824757700250501,0.0025566502334633
"39",0.971619233891625,0.0251226301827471,0.00325813592562793,0.97269707107408,0.0225887078762367,0.00471422104968315,0.912605229401707,0.084758087197673,0.00263668340062028
"40",0.97077201221087,0.0258620990016227,0.00336588878750744,0.971875508518459,0.0232542287236195,0.0048702627579213,0.910183661536823,0.0870973116673594,0.00271902679581767
"41",0.969900245779583,0.0266226396172403,0.00347711460317612,0.971029910788112,0.0239387478648474,0.00503134134704076,0.907701751406549,0.0894945130596749,0.00280373553377649
"42",0.969003269719244,0.0274048107535885,0.00359191952716745,0.970159618033987,0.0246427707772688,0.00519761118874434,0.905158373159688,0.091950761476464,0.00289086536384797
"43",0.968080403969528,0.0282091834392655,0.00371041259120608,0.969263954981415,0.0253668141577107,0.00536923086087426,0.902552401160503,0.0944671262049234,0.00298047263457339
"44",0.967130953117621,0.0290363411237896,0.00383270575858959,0.968342230738565,0.0261114060333344,0.00554636322810059,0.899882711389825,0.0970446743550257,0.00307261425514884
"45",0.966154206237785,0.0298868797842275,0.00395891397798781,0.967393738614243,0.0268770858639251,0.00572917552183182,0.897148182922178,0.0996844694241312,0.00316734765369096
"46",0.965149436742221,0.0307614080212611,0.00408915523651787,0.966417755946043,0.0276644046348155,0.00591783941914133,0.894347699480007,0.102387569787789,0.00326473073220388
"47",0.96411590224429,0.0316605471437669,0.00422355061194346,0.965413543939908,0.0284739249396023,0.00611253112049012,0.891480151065932,0.105155027115917,0.00336482181815095
"48",0.963052844435228,0.0325849312409357,0.0043622243238368,0.964380347522216,0.029306221051773,0.00631343142601064,0.888544435673704,0.107987884713756,0.00346767961254044
"49",0.96195948897555,0.0335352072409185,0.00450530378353143,0.963317395205584,0.0301618789843144,0.00652072581010173,0.885539461078352,0.110887175787209,0.00357336313443967
"50",0.960835045402386,0.0345120349549306,0.00465291964268316,0.962223898969597,0.0310414965363352,0.00673460449406807,0.882464146705716,0.113853921632445,0.0036819316618389
"51",0.959678707054049,0.0355160871057052,0.00480520584024547,0.961099054157795,0.0319456833256835,0.00695526251652164,0.879317425581318,0.116889129749888,0.00379344466879386
"52",0.958489651013213,0.0365480493391329,0.00496229964765402,0.959942039392254,0.0328750608065012,0.00718289980124488,0.876098246358206,0.11999379188301,0.00390796175878418
"53",0.957267038070117,0.0376086202178795,0.00512434171200329,0.958752016507197,0.0338302622706054,0.00741772122219816,0.872805575423097,0.123168881982669,0.00402554259423458
"54",0.956010012707292,0.0386985111957218,0.005291476096986,0.95752813050312,0.034811932831544,0.0076599366653355,0.869438399079801,0.126415354098043,0.00414624682215633
"55",0.954717703107353,0.0398184465712935,0.00546385032135363,0.956269509523001,0.0358207293901251,0.00790976108687398,0.865995725808537,0.129734140195585,0.00427013399587788
"56",0.953389221185473,0.0409691634198832,0.00564161539464349,0.954975264852186,0.0368573205801709,0.00816741456764309,0.862476588599373,0.133126147907781,0.00439726349284636
"57",0.952023662648217,0.0421514115018781,0.00582492584990493,0.953644490943677,0.0379223866932026,0.00843312236312052,0.858880047357606,0.136592258213898,0.00452769442849557
"58",0.950620107080458,0.043365953146398,0.00601393977314371,0.952276265470543,0.0390166195807159,0.00870711494874096,0.85520519137847,0.140133323055339,0.00466148556619074
"59",0.949177618062193,0.0446135631086162,0.00620881882919042,0.950869649407298,0.0401407225326579,0.00898962806004415,0.851451141888099,0.143750162888625,0.00479869522327664
"60",0.947695243317095,0.0458950283992198,0.00640972828368497,0.949423687142116,0.0412954101306762,0.00928090272720758,0.847617054647216,0.147443564179511,0.00493938117327261
"61",0.946172014894732,0.0472111480844122,0.00661683702085567,0.947937406621849,0.042481408074662,0.0095811853034886,0.843702122613515,0.151214276842208,0.00508360054427633
"62",0.94460694938842,0.0485627330548229,0.00683031755675735,0.946409819531849,0.0436994529810712,0.00989072748707951,0.83970557865819,0.155063011628153,0.0052314097136578
"63",0.942999048190736,0.0499506057616449,0.00705034604761958,0.944839921512679,0.0449502921514626,0.0102097863358582,0.83562669833156,0.158990437469295,0.00538286419914486
"64",0.941347297788776,0.0513755999182823,0.00727710229294186,0.943226692415847,0.0462346833096575,0.0105386242744956,0.831464802672197,0.162997178781379,0.00553801854642366
"65",0.939650670101282,0.052838560165758,0.00751076973295971,0.941569096600751,0.0475533943058878,0.0108775090933614,0.827219261053395,0.167083812733206,0.00569692621339916
"66",0.937908122859814,0.0543403417000945,0.00775153544009146,0.939866083275088,0.048907202786266,0.0112267139386464,0.8228894940603,0.171250866488415,0.00585963945128471
"67",0.936118600036177,0.0558818098598599,0.00799959010396341,0.938116586881014,0.0502968958258832,0.0115865172931027,0.818474976390441,0.175498814426846,0.00602620918271313
"68",0.934281032318362,0.057463839672041,0.0082551280095975,0.936319527529404,0.0517232695238156,0.0119572029467807,0.813975239769827,0.179828075353086,0.00619668487708691
