"","otherother","otherliom","liomother","liomliom"
"1",0.154347115670106,0.845652884329894,0.0264854356638066,0.973514564336193
"2",0.154808078504935,0.845191921495065,0.0265765362114894,0.973423463788511
"3",0.155270165248593,0.844729834751407,0.0266679415290465,0.973332058470954
"4",0.155733377131358,0.844266622868642,0.0267596525769236,0.973240347423076
"5",0.156197715375474,0.843802284624526,0.0268516703181856,0.973148329681814
"6",0.156663181195086,0.843336818804914,0.0269439957185205,0.973056004281479
"7",0.157129775796181,0.842870224203819,0.0270366297462441,0.972963370253756
"8",0.157597500376523,0.842402499623477,0.0271295733723038,0.972870426627696
"9",0.158066356125593,0.841933643874407,0.0272228275702835,0.972777172429717
"10",0.158536344224523,0.841463655775477,0.0273163933164068,0.972683606683593
"11",0.159007465846033,0.840992534153967,0.0274102715895423,0.972589728410458
"12",0.159479722154372,0.840520277845628,0.027504463371207,0.972495536628793
"13",0.159953114305249,0.840046885694751,0.0275989696455707,0.972401030354429
"14",0.160427643445776,0.839572356554224,0.0276937913994602,0.97230620860054
"15",0.1609033107144,0.8390966892856,0.0277889296223636,0.972211070377636
"16",0.16138011724084,0.83861988275916,0.0278843853064339,0.972115614693566
"17",0.161858064146026,0.838141935853974,0.0279801594464936,0.972019840553506
"18",0.162337152542032,0.837662847457968,0.0280762530400386,0.971923746959961
"19",0.162817383532015,0.837182616467985,0.0281726670872423,0.971827332912758
"20",0.163298758210151,0.836701241789849,0.0282694025909593,0.971730597409041
"21",0.163781277661569,0.836218722338431,0.02836646055673,0.97163353944327
"22",0.164264942962287,0.835735057037713,0.0284638419927844,0.971536158007215
"23",0.164749755179152,0.835250244820848,0.0285615479100457,0.971438452089954
"24",0.16523571536977,0.83476428463023,0.0286595793221348,0.971340420677865
"25",0.165722824582447,0.834277175417553,0.028757937245374,0.971242062754626
"26",0.166211083856119,0.833788916143881,0.028856622698791,0.971143377301209
"27",0.166700494220294,0.833299505779706,0.0289556367041225,0.971044363295878
"28",0.167191056694983,0.832808943305017,0.0290549802858188,0.970945019714181
"29",0.167682772290636,0.832317227709364,0.0291546544710469,0.970845345528953
"30",0.168175642008079,0.831824357991921,0.0292546602896947,0.970745339710305
"31",0.168669666838448,0.831330333161552,0.029354998774375,0.970645001225625
"32",0.169164847763125,0.830835152236875,0.0294556709604289,0.970544329039571
"33",0.169661185753672,0.830338814246328,0.02955667788593,0.97044332211407
"34",0.170158681771767,0.829841318228233,0.0296580205916877,0.970341979408312
"35",0.17065733676914,0.82934266323086,0.0297597001212515,0.970240299878748
"36",0.171157151687504,0.828842848312496,0.0298617175209142,0.970138282479086
"37",0.171658127458497,0.828341872541503,0.0299640738397159,0.970035926160284
"38",0.172160265003609,0.827839734996391,0.0300667701294475,0.969933229870553
"39",0.172663565234122,0.827336434765878,0.0301698074446548,0.969830192555345
"40",0.173168029051044,0.826831970948956,0.0302731868426413,0.969726813157359
"41",0.173673657345042,0.826326342654958,0.0303769093834725,0.969623090616527
"42",0.174180450996378,0.825819549003622,0.0304809761299795,0.969519023870021
"43",0.174688410874844,0.825311589125156,0.0305853881477618,0.969414611852238
"44",0.175197537839695,0.824802462160305,0.0306901465051919,0.969309853494808
"45",0.175707832739587,0.824292167260413,0.0307952522734179,0.969204747726582
"46",0.176219296412506,0.823780703587494,0.0309007065263675,0.969099293473632
"47",0.176731929685709,0.823268070314291,0.0310065103407513,0.968993489659249
"48",0.177245733375653,0.822754266624347,0.0311126647960662,0.968887335203934
"49",0.177760708287933,0.822239291712067,0.0312191709745989,0.968780829025401
"50",0.178276855217215,0.821723144782785,0.0313260299614293,0.968673970038571
"51",0.178794174947171,0.821205825052829,0.0314332428444336,0.968566757155566
"52",0.179312668250413,0.820687331749587,0.031540810714288,0.968459189285712
"53",0.179832335888428,0.820167664111572,0.0316487346644718,0.968351265335528
"54",0.180353178611511,0.819646821388489,0.0317570157912706,0.968242984208729
"55",0.180875197158703,0.819124802841297,0.0318656551937797,0.96813434480622
"56",0.18139839225772,0.81860160774228,0.0319746539739074,0.968025346026093
"57",0.181922764624892,0.818077235375108,0.0320840132363778,0.967915986763622
"58",0.182448314965096,0.817551685034904,0.0321937340887345,0.967806265911265
"59",0.182975043971689,0.817024956028311,0.0323038176413434,0.967696182358657
"60",0.183502952326444,0.816497047673556,0.0324142650073956,0.967585734992604
"61",0.184032040699486,0.815967959300514,0.0325250773029111,0.967474922697089
"62",0.184562309749222,0.815437690250778,0.0326362556467414,0.967363744353259
"63",0.185093760122278,0.814906239877722,0.0327478011605725,0.967252198839428
"64",0.185626392453436,0.814373607546564,0.0328597149689281,0.967140285031072
"65",0.186160207365563,0.813839792634437,0.0329719981991724,0.967028001800827
"66",0.186695205469552,0.813304794530448,0.0330846519815133,0.966915348018487
"67",0.187231387364249,0.812768612635751,0.0331976774490048,0.966802322550995
"68",0.187768753636396,0.812231246363604,0.0333110757375503,0.96668892426245
"69",0.188307304860558,0.811692695139442,0.0334248479859052,0.966575152014095
"70",0.188847041599062,0.811152958400938,0.0335389953356799,0.96646100466432
"71",0.189387964401932,0.810612035598068,0.0336535189313424,0.966346481068658
"72",0.189930073806822,0.810069926193178,0.0337684199202211,0.966231580079779
"73",0.19047337033895,0.809526629661049,0.0338836994525074,0.966116300547493
"74",0.191017854511037,0.808982145488964,0.0339993586812587,0.966000641318741
"75",0.191563526823235,0.808436473176765,0.0341153987624005,0.9658846012376
"76",0.192110387763069,0.807889612236931,0.0342318208547294,0.965768179145271
"77",0.19265843780537,0.80734156219463,0.0343486261199158,0.965651373880084
"78",0.193207677412207,0.806792322587793,0.0344658157225059,0.965534184277494
"79",0.193758107032824,0.806241892967176,0.0345833908299245,0.965416609170075
"80",0.194309727103578,0.805690272896422,0.0347013526124778,0.965298647387522
"81",0.19486253804787,0.80513746195213,0.0348197022433552,0.965180297756645
"82",0.195416540276083,0.804583459723917,0.0349384408986319,0.965061559101368
"83",0.195971734185516,0.804028265814483,0.0350575697572717,0.964942430242728
"84",0.196528120160322,0.803471879839678,0.0351770900011285,0.964822909998872
"85",0.197085698571439,0.802914301428561,0.0352970028149495,0.96470299718505
"86",0.197644469776532,0.802355530223468,0.0354173093863766,0.964582690613623
"87",0.198204434119922,0.801795565880078,0.0355380109059491,0.964461989094051
"88",0.198765591932527,0.801234408067473,0.0356591085671059,0.964340891432894
"89",0.199327943531797,0.800672056468203,0.0357806035661873,0.964219396433813
"90",0.199891489221649,0.800108510778351,0.0359024971024373,0.964097502897563
"91",0.200456229292402,0.799543770707598,0.0360247903780057,0.963975209621994
"92",0.201022164020716,0.798977835979284,0.0361474845979499,0.96385251540205
"93",0.201589293669529,0.798410706330471,0.0362705809702372,0.963729419029763
"94",0.202157618487989,0.797842381512011,0.0363940807057464,0.963605919294254
"95",0.202727138711395,0.797272861288605,0.0365179850182697,0.96348201498173
"96",0.203297854561132,0.796702145438868,0.036642295124515,0.963357704875485
"97",0.20386976624461,0.79613023375539,0.036767012244107,0.963232987755893
"98",0.204442873955197,0.795557126044803,0.0368921375995897,0.96310786240041
"99",0.205017177872159,0.794982822127841,0.0370176724164276,0.962982327583572
"100",0.205592678160599,0.794407321839401,0.0371436179230076,0.962856382076992
"101",0.206169374971388,0.793830625028612,0.0372699753506404,0.96273002464936
"102",0.206747268441111,0.793252731558889,0.0373967459335626,0.962603254066437
"103",0.207326358692,0.792673641308,0.0375239309089377,0.962476069091062
"104",0.20790664583187,0.79209335416813,0.0376515315168581,0.962348468483142
"105",0.208488129954063,0.791511870045937,0.0377795490003459,0.962220450999654
"106",0.20907081113738,0.79092918886262,0.0379079846053552,0.962092015394645
"107",0.209654689446024,0.790345310553976,0.0380368395807725,0.961963160419227
"108",0.210239764929537,0.789760235070463,0.0381661151784191,0.961833884821581
"109",0.210826037622738,0.789173962377262,0.0382958126530513,0.961704187346949
"110",0.211413507545662,0.788586492454338,0.0384259332623624,0.961574066737638
"111",0.212002174703501,0.787997825296499,0.0385564782669835,0.961443521733017
"112",0.212592039086539,0.787407960913461,0.038687448930485,0.961312551069515
"113",0.213183100670098,0.786816899329902,0.0388188465193772,0.961181153480623
"114",0.213775359414471,0.786224640585529,0.0389506723031117,0.961049327696888
"115",0.214368815264866,0.785631184735134,0.0390829275540824,0.960917072445918
"116",0.214963468151345,0.785036531848655,0.0392156135476262,0.960784386452374
"117",0.215559317988763,0.784440682011237,0.0393487315620241,0.960651268437976
"118",0.21615636467671,0.78384363532329,0.039482282878502,0.960517717121498
"119",0.216754608099451,0.783245391900549,0.0396162687812316,0.960383731218768
"120",0.217354048125868,0.782645951874132,0.0397506905573309,0.960249309442669
"121",0.217954684609399,0.782045315390601,0.0398855494968651,0.960114450503135
"122",0.218556517387979,0.781443482612021,0.0400208468928471,0.959979153107153
"123",0.219159546283985,0.780840453716015,0.0401565840412384,0.959843415958762
"124",0.219763771104174,0.780236228895826,0.0402927622409491,0.959707237759051
"125",0.220369191639629,0.779630808360371,0.0404293827938391,0.959570617206161
"126",0.220975807665697,0.779024192334303,0.0405664470047177,0.959433552995282
"127",0.221583618941932,0.778416381058068,0.0407039561813448,0.959296043818655
"128",0.22219262521204,0.777807374787959,0.0408419116344307,0.959158088365569
"129",0.222802826203824,0.777197173796176,0.0409803146776365,0.959019685322364
"130",0.223414221629118,0.776585778370882,0.0411191666275743,0.958880833372426
"131",0.224026811183742,0.775973188816258,0.0412584688038076,0.958741531196192
"132",0.224640594547437,0.775359405452563,0.041398222528851,0.958601777471149
"133",0.225255571383814,0.774744428616186,0.0415384291281706,0.958461570871829
"134",0.225871741340295,0.774128258659705,0.0416790899301839,0.958320910069816
"135",0.22648910404806,0.77351089595194,0.0418202062662596,0.95817979373374
"136",0.227107659121992,0.772892340878009,0.0419617794707176,0.958038220529282
"137",0.227727406160617,0.772272593839383,0.0421038108808289,0.957896189119171
"138",0.228348344746057,0.771651655253943,0.042246301836815,0.957753698163185
"139",0.228970474443971,0.77102952555603,0.0423892536818481,0.957610746318152
