"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","Year_t1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","MA","comments","X","antcount_t","antcount_t1","volume_t","volume_t1","ant_t","ant_t1","logsize_t","logsize_t1","flower1_YN","occ_t","occ_t1"
"11","T1","AD22",0,2004,73,35,35,6,3,3,0,27,"L",2005,0,0,1,84,45,34,6,6,6,0,3,"liom","",NA,NA,"","",27,3,23411.4102539389,34311.6895643443,"liom","liom",10.0609788001886,10.4432413787189,TRUE,"occ","occ"
"12","T1","AD23",0,2004,85,82,82,20,14,14,0,8,"L",2005,0,0,1,107,93,72,7,31,31,0,29,"liom","",NA,NA,"","",8,29,149628.822102726,190660.312903252,"liom","liom",11.9159129870802,12.1582486572046,TRUE,"occ","occ"
"13","T1","AD27",0,2004,120,44,44,10,3,6,3,0,"vacant",2005,0,0,1,132,63,52,7,23,25,2,0,"vacant","",NA,NA,"","",0,0,60821.2337734984,114255.797820244,"vacant","vacant",11.01569424668,11.6461950542544,TRUE,"vac","vac"
"14","T1","AD28",0,2004,90,62,62,8,1,1,0,39,"L",2005,0,0,1,96,70,43,6,5,5,0,23,"crem","",NA,NA,"","",39,23,90572.1162029937,80229.9931873761,"liom","crem",11.4139016764818,11.292652703834,TRUE,"occ","occ"
"15","T1","AD29",0,2004,150,130,130,10,22,22,0,47,"L",2005,0,0,1,54,141,61,26,26,27,1,8,"dropoff","",NA,NA,"","",47,8,663661.448070844,144213.239966713,"liom","other",13.4055274310688,11.8790483163082,TRUE,"occ","occ"
"16","T1","AD3",0,2004,90,74,74,8,7,7,0,0,"vacant",2005,0,0,1,95,59,50,6,9,13,4,33,"crem","",NA,NA,"","",0,33,129025.210282933,73872.9150029902,"vacant","crem",11.7677630928,11.2101015310003,TRUE,"vac","occ"
"17","T1","AD4",0,2004,99,94,94,6,17,18,1,0,"vacant",2005,0,0,1,103,98,29,15,17,18,1,4,"drpoff","",NA,NA,"","",0,4,229012.679668735,108730.979889671,"vacant","other",12.341532650736,11.5966320360883,TRUE,"vac","occ"
"18","T1","AD6",0,2004,92,58,58,7,8,8,0,26,"L",2005,0,0,1,78,84,54,16,1,1,0,36,"liom","",NA,NA,"","",26,36,81023.7689311831,97221.2970543165,"liom","liom",11.3024978342033,11.4847450719455,TRUE,"occ","occ"
"19","T1","AD8",0,2004,172,124,124,13,20,20,0,7,"L",2005,0,0,1,174,82,79,14,21,21,0,55,"liom","",NA,NA,"","",7,55,692373.510529552,295195.434004666,"liom","liom",13.4478808440849,12.595392904125,TRUE,"occ","occ"
"20","T1","AD9",0,2004,84,88,88,3,12,12,0,0,"vacant",2005,0,0,1,87,63,31,8,6,6,0,0,"vacant","",NA,NA,"","",0,0,170299.454565796,50313.3917454039,"vacant","vacant",12.0453136638611,10.8260265581361,TRUE,"vac","vac"
"21","T1","LJ11",0,2004,56,25,25,6,0,0,0,16,"C",2005,0,0,1,58,39,28,4,0,0,NA,18,"crem","",NA,NA,"","",16,18,9162.97857297023,17040.6530515405,"crem","crem",9.12292657653295,9.74335712426986,FALSE,"occ","occ"
"22","T1","LJ12",0,2004,73,66,66,12,0,0,0,13,"L",2005,0,0,1,76,72,31,9,0,0,NA,23,"crem","",NA,NA,"","",13,23,83249.0637274759,52771.1643980623,"liom","crem",11.3295921612626,10.8737201916871,FALSE,"occ","occ"
"23","T1","LJ13",0,2004,64,28,28,7,0,0,0,27,"C",2005,0,0,1,73,37,22,5,0,0,NA,0,"vacant","",NA,NA,"","",27,0,13136.0460822101,16631.6569579513,"crem","vacant",9.48311533977148,9.71906320390134,FALSE,"occ","vac"
"24","T1","LJ14",0,2004,63,62,62,7,0,0,0,0,"vacant",2005,0,0,1,66,40,29,7,1,1,0,0,"vacant","",NA,NA,"","",0,0,63400.4813420956,20566.0436076439,"vacant","vacant",11.0572267325431,9.93139662616245,TRUE,"vac","vac"
"25","T1","LJ15",0,2004,43,20,20,4,0,0,0,1,"L",2005,0,0,1,46,19,21,5,0,0,NA,0,"vacant","",NA,NA,"","",1,0,4502.94947014537,4817.10873550435,"liom","vacant",8.41248789886294,8.47992917965848,FALSE,"occ","vac"
"26","T1","LJ16",0,2004,57,67,67,9,0,0,0,20,"L",2005,0,0,1,70,69,52,11,0,0,NA,41,"liom","",NA,NA,"","",20,41,66987.3947543318,67077.5846434286,"liom","liom",11.1122597426779,11.1136052081843,FALSE,"occ","occ"
"27","T1","LJ17",0,2004,47,29,29,10,0,0,0,0,"vacant",2005,0,0,1,49,34,28,10,0,0,NA,12,"crem","",NA,NA,"","",0,12,10348.144401537,12327.8713720741,"vacant","crem",9.24456249774441,9.41961794314232,FALSE,"vac","occ"
"28","T1","LJ3",0,2004,52,35,35,2,0,0,0,0,"vacant",2005,0,0,1,49,34,24,5,0,0,NA,2,"dropoff","",NA,NA,"","",0,2,16676.6210028058,10788.4909718151,"vacant","other",9.72176307762165,9.28623519414498,FALSE,"vac","occ"
"29","T1","LJ8",0,2004,45,29,29,6,0,0,0,0,"vacant",2005,0,0,1,48,45,21,5,0,0,NA,1,"liom","",NA,NA,"","",0,1,9907.79783125881,13684.7775990371,"vacant","liom",9.20107738580467,9.52403936990225,FALSE,"vac","occ"
"30","T1","LJ9",0,2004,63,48,48,6,0,0,0,5,"L",2005,0,0,1,77,45,39,4,0,0,NA,26,"crem","",NA,NA,"","",5,26,38000.7047378221,35559.6872459829,"liom","crem",10.5453599842687,10.4789678944818,FALSE,"occ","occ"
"31","T1","SJ11",0,2004,32,15,15,3,0,0,0,0,"vacant",2005,0,0,1,34,26,23,0,0,0,NA,0,"vacant","",NA,NA,"","",0,0,1884.95559215388,5342.93280589894,"vacant","vacant",7.54165954106555,8.58352999577892,FALSE,"vac","vac"
"32","T1","SJ13",0,2004,22,18,18,2,0,0,0,0,"vacant",2005,0,0,1,33,12,12,3,0,0,NA,0,"vacant","",NA,NA,"","",0,0,1866.10603623234,1244.07069082156,"vacant","vacant",7.53160920521205,7.12614409710388,FALSE,"vac","vac"
"33","T1","SJ17",0,2004,20,13,13,1,0,0,0,0,"vacant",2005,0,0,1,26,11,10,3,0,0,NA,0,"vacant","",NA,NA,"","",0,0,884.881930761125,750.447945126262,"vacant","vacant",6.78545422453846,6.62067028840984,FALSE,"vac","vac"
"34","T1","SJ2",0,2004,48,32,32,3,0,0,0,2,"C",2005,0,0,1,51,22,14,2,0,0,NA,8,"crem","",NA,NA,"","",2,8,12867.9635091038,4325.97308399314,"crem","crem",9.46249605256874,8.37239238457805,FALSE,"occ","occ"
