"","vacvac","vacother","vaccrem","cremvac","cremother","cremcrem","othervac","otherother","othercrem"
"1",0.989196263975754,0.000931960694115458,0.00987177533013096,0.965997878259475,0.00161880813809469,0.0323833136024304,0.990589187484153,0.00134886333978003,0.00806194917606695
"2",0.988955330994595,0.000963387983051856,0.0100812810223536,0.965273619332568,0.00167254982372447,0.0330538308437074,0.990372367526584,0.00139438371751719,0.00823324875589887
"3",0.98870895478816,0.00099586951150568,0.0102951757003345,0.964534267706125,0.00172804762945103,0.0337376846644234,0.990150423073198,0.00144143275193196,0.0084081441748701
"4",0.988457010964452,0.00102944032273817,0.0105135487128094,0.963779525930744,0.00178535738012683,0.0344351166891295,0.989923229806514,0.00149006133052563,0.00858670886295996
"5",0.988199372285783,0.00106413660609814,0.0107364911081187,0.963009091524922,0.00184453658853639,0.0351463718865415,0.989690660339907,0.00154032200797711,0.00876901765211552
"6",0.987935908605679,0.00109999573340221,0.0109640956609186,0.962222656930065,0.00190564450161344,0.0358716985683214,0.989452584142609,0.0015922690591403,0.00895514679825058
"7",0.987666486804563,0.00113705629640428,0.0111964568990325,0.961419909467202,0.00196874214765253,0.0366113483851452,0.989208867463031,0.00164595853362675,0.00914517400334206
"8",0.987390970724192,0.00117535814538294,0.0114336711304248,0.960600531295566,0.0020338923845203,0.0373655763199135,0.988959373250377,0.0017014483120146,0.00933917843760854
"9",0.987109221100841,0.0012149424288761,0.0116758364702826,0.959764199373172,0.00210115994887083,0.0381346406779573,0.988703961074519,0.00175879816372575,0.00953724076175518
"10",0.986821095497224,0.0012558516345922,0.011923052868184,0.958910585419545,0.0021706115063681,0.0389188030740865,0.988442487044119,0.00181806980661368,0.00973944314926734
"11",0.986526448233135,0.00129812963152842,0.0121754221353369,0.95803935588076,0.00224231570291749,0.0397183284163222,0.98817480372296,0.00187932696830502,0.00994586930873483
"12",0.986225130314809,0.00134182171332627,0.0124330479718646,0.957150171896942,0.0023163432169067,0.0405334848861518,0.987900760044475,0.00194263544933848,0.0101566045061868
"13",0.985916989362987,0.00138697464289575,0.0126960359941174,0.956242689272407,0.00239276681245518,0.0413645439151374,0.987620201224438,0.00200806318814545,0.0103717355874164
"14",0.985601869539673,0.00143363669833949,0.012964493761987,0.955316558448624,0.00247166139366938,0.0422117801577064,0.98733296867181,0.00207568032791702,0.0105913510002728
"15",0.985279611473594,0.00148185772020884,0.0132385308061971,0.954371424480155,0.0025531040598997,0.0430754714599457,0.987038899897701,0.00214555928540255,0.0108155408168967
"16",0.984950052184331,0.00153168916012413,0.0135182586555452,0.95340692701379,0.00263717416199291,0.043955898824217,0.98673782842244,0.00221777482168568,0.0110443967558741
"17",0.984613025005142,0.00158318413079199,0.0138037908640662,0.952422700271063,0.00272395335953229,0.0448533463694047,0.986429583680735,0.00229240411498369,0.0112780122042809
"18",0.984268359504459,0.00163639745745251,0.0140952430380884,0.951418373034339,0.00281352567905531,0.0457681012866054,0.986113990924892,0.00236952683551672,0.011516482239591
"19",0.983915881406061,0.00169138573078984,0.0143927328631494,0.950393568636705,0.00290597757323679,0.0467004537900583,0.985790871126091,0.00244922522249369,0.0117599036514156
"20",0.983555412507921,0.00174820736133975,0.0146963801307389,0.949347904955861,0.0030013979810231,0.0476506970631156,0.985460040873695,0.00253158416326163,0.0120083749630436
"21",0.983186770599739,0.00180692263542813,0.015006306764833,0.948280994412254,0.00309987838870053,0.0486191271990452,0.985121312272586,0.00261669127466593,0.0122619964527479
"22",0.982809769379144,0.0018675937726745,0.0153226368481812,0.947192443971671,0.00320151289187839,0.049606043136451,0.98477449283851,0.00270463698666834,0.0125208701748215
"23",0.982424218366598,0.00193028498509496,0.0156454966483074,0.94608185515254,0.00330639825836477,0.0506117465890958,0.984419385391423,0.00279551462827023,0.0127850999803064
"24",0.982029922818978,0.00199506253783879,0.0159750146431831,0.944948824038188,0.00341463399190994,0.0516365419699025,0.984055787946839,0.00288942051578824,0.0130547915373732
"25",0.98162668364188,0.0020619948115935,0.0163113215465267,0.943792941294302,0.00352632239678938,0.0526807363089084,0.983683493605159,0.0029864540435291,0.0133300523513116
"26",0.981214297300622,0.0021311523666926,0.0166545503326854,0.942613792191864,0.00364156864319538,0.0537446391649411,0.983302290439006,0.00308671777691067,0.0136109917840837
"27",0.980792555729992,0.00220260800896075,0.0170048362610471,0.941410956635818,0.00376048083340266,0.0548285625307794,0.982911961378529,0.00319031754807521,0.0138977210733955
"28",0.980361246242736,0.00227643685733069,0.0173623168999329,0.940184009199767,0.00388317006867006,0.0559328207315626,0.982512284094723,0.00329736255404094,0.0141903533512359
"29",0.979920151436819,0.00235271641326601,0.0177271321499152,0.938932519166961,0.00400975051683671,0.057057730316202,0.982103030880734,0.0034079654574369,0.0144890036618293
"30",0.979469049101472,0.00243152663202401,0.0180994242665036,0.937656050577883,0.0041403394805672,0.0582036099415499,0.981683968531185,0.00352224248986574,0.014793788978949
"31",0.979007712122069,0.00251294999579206,0.018479337882139,0.936354162284729,0.00427505746619627,0.0593707802490749,0.981254858219532,0.00364031355793766,0.0151048282225309
"32",0.978535908383837,0.00259707158873086,0.0188670200274321,0.935026408013089,0.00441402825311937,0.060559563733792,0.980815455373454,0.00376230235201815,0.0154222422745279
"33",0.978053400674461,0.00268397917395732,0.0192626201515816,0.933672336431139,0.00455737896367108,0.0617702846051897,0.980365509548329,0.0038883364577306,0.0157461539939399
"34",0.977559946585601,0.00277376327249911,0.0196662901418998,0.932291491226673,0.00470524013342881,0.0630032686398983,0.979904764298795,0.0040185474702534,0.016076688230952
