"","vacvac","vaccrem","vacother","vacliom","cremvac","cremcrem","cremother","cremliom","othervac","othercrem","otherother","otherliom","liomvac","liomcrem","liomother","liomliom"
"52",0.932143230458492,0.00482589876601963,0.0274874335125798,0.0355434372629089,0.879323792535164,0.0080974534409746,0.0871029139243641,0.0254758400994968,0.938281786793838,0.00702082394905845,0.0225641254467084,0.0321332638103952,0.865299855169863,0.00385979398765137,0.0123255482284438,0.118514802614042
"53",0.930438406247649,0.0049807254882576,0.0280262776795861,0.0365545905845071,0.876765319656941,0.00834819179924888,0.0887142678381739,0.0261722207056359,0.936691566378564,0.00724704281289838,0.0230095475668471,0.033051843241691,0.86186046032082,0.00397506167582195,0.0125401525958075,0.121624325407551
"54",0.928692666985276,0.005140275712053,0.0285743301418543,0.037592727160817,0.874158298522387,0.0086061430445006,0.0903496437185889,0.0268859147145233,0.935061929702517,0.00748021382507501,0.0234627057784709,0.0339951506939376,0.85834681107843,0.00409335237724566,0.0127571867231888,0.124802649821136
"55",0.92690516834293,0.00530467915848983,0.0291316843438649,0.0386584681547156,0.871502093172943,0.00887148515702905,0.0920091553858038,0.0276172662842242,0.933392020196501,0.00772053046408607,0.0239236837509453,0.0349637655884676,0.854758029232062,0.00421472209399838,0.0129766189850221,0.128050629688918
"56",0.925075056726113,0.0054740682664079,0.0296984314802233,0.0397524435272558,0.868796073083931,0.00914439895091041,0.0936929058624973,0.0283666221026609,0.931680970075102,0.00796819038927155,0.0243925634876934,0.0359582760479328,0.851093264968755,0.00433922658600178,0.0131984146365112,0.131369093808732
"57",0.923201469663594,0.00564857819852401,0.0302746603004057,0.0408752918374762,0.866039613955663,0.00942506803440041,0.0954009868400418,0.0291343311698946,0.929927900641972,0.00822339545760213,0.0248694251651748,0.0369792787352512,0.847351699233605,0.00446692128825161,0.013422535730652,0.134758843747492
"58",0.921283536231656,0.00582834684393763,0.0308604569062822,0.0420276600181237,0.86323209853342,0.00971367876461453,0.0971334781353987,0.0299207445665672,0.928131922628841,0.00848635173526253,0.0253543469654491,0.0380273786704475,0.843532546146206,0.00459786122454969,0.0136489410377051,0.138220651591539
"59",0.919320377514678,0.00601351481677856,0.0314559045423663,0.0432102031261768,0.860372917456301,0.0100104201962548,0.0988904471392577,0.0307262152081861,0.926292136569812,0.0087572695036556,0.0258474049022449,0.0391031890242877,0.839635055469427,0.00473210091778383,0.013877585967492,0.141755257645297
"60",0.917311107103454,0.00620422545074657,0.0320610833787571,0.044423584067042,0.857461470134855,0.0103154840241533,0.10067194825604,0.0315510975849519,0.924407633212502,0.00903636325944036,0.0263486726404682,0.0402073308875891,0.835658515126364,0.00486969429681668,0.0141084224949073,0.145363368081911
"61",0.91525483163267,0.00640062478928617,0.0326760702867568,0.0456684732912875,0.854497165657311,0.010629064519404,0.102478022336437,0.0323957474868482,0.922477493967627,0.00932385170820403,0.0268582213090982,0.0413404330150706,0.831602253760837,0.00501069460006155,0.0143413990890492,0.149045652550052
"62",0.913150651358934,0.00660286157113233,0.0333009386071654,0.0469455484627681,0.851479423724168,0.0109513584588573,0.104308696103238,0.0332605217137362,0.920500791398622,0.00961995775135595,0.0273761193074302,0.042503131542592,0.827465643336329,0.00515515427584155,0.014576460646384,0.152802741741445
"63",0.91099766078077,0.00681108721095683,0.0339357579112775,0.048255494096996,0.84840767561079,0.0112825650477569,0.106163981571235,0.0341457777702178,0.918476589752912,0.00992490846581894,0.0279024321046464,0.0436960696766223,0.823248101767785,0.00530312487964748,0.0148135484283717,0.156635224924196
"64",0.908794949301927,0.00702545577483878,0.0345805937546267,0.049599001168608,0.845281365157553,0.0116228858352996,0.108043875462085,0.0350518735450624,0.916403945536441,0.0102389350760825,0.028437222032708,0.0449198973547688,0.818949095580178,0.00545465696842967,0.015052600003988,0.160543647447405
"65",0.906541601939387,0.00724612395027745,0.0352355074235478,0.0509767666867878,0.842099949787003,0.0119725246229096,0.10994835861507,0.0359791669750171,0.914281908133053,0.0105622729181713,0.0289805480725844,0.0461752708761915,0.814568142587283,0.00560979999207951,0.015293549197587,0.164528508223051
"66",0.904236700077375,0.0074732510104604,0.0359005556746541,0.0523894932375106,0.838862901547367,0.0123316873650219,0.111877395394756,0.0369280156928553,0.91210952047034,0.0108951613950722,0.0295324656338549,0.0474628525007326,0.810104814583586,0.00576860218227773,0.015536326042555,0.168590257191581
"67",0.90187932226866,0.00770699877249612,0.0365757904673549,0.0538378884914891,0.835569708181644,0.0127005820621789,0.113830933096623,0.0378987766595536,0.909885819733514,0.0112378439231546,0.03009302632774,0.0487833100155913,0.805558740041759,0.00593111043890817,0.0157808567412089,0.172729292778124
"68",0.899468545084392,0.00794753154931641,0.037261258689566,0.0553226646767253,0.832219874221392,0.0130794186462539,0.115808901351833,0.0388918057805212,0.907609838128862,0.0115905678691089,0.0306622777336446,0.0501373162683842,0.800929606807655,0.00609737021425813,0.0160270636313961,0.17694595934669
"69",0.897003444013655,0.00819501609495166,0.0379570018768015,0.0568445380145923,0.828812922104193,0.0134684088576274,0.117811211532328,0.0399074575058519,0.905280603698306,0.0119535844769247,0.0312402631593212,0.0515255486654481,0.796217164784302,0.00626742539524891,0.0162748651602525,0.181240544660196
"70",0.894483094413849,0.00844962154288011,0.038663055924864,0.0584042281184072,0.825348393313673,0.0138677661141502,0.11983775615757,0.0409460844146061,0.902897141186535,0.0123271487844188,0.0318270213947866,0.0529486886342599,0.791421228595886,0.00644131818396306,0.0165241758655716,0.185613277354579
"71",0.891906572512964,0.00871151933715175,0.0393794507963916,0.0600024573534924,0.821825849540788,0.0142777053717464,0.121888408304285,0.042008036783181,0.90045847296214,0.0127115195288253,0.0324225864601575,0.0544074210488772,0.786541680222294,0.00661908897675768,0.0167749063652337,0.190064324435715
"72",0.889272956464693,0.00898088315598795,0.0401062102215501,0.061639950157769,0.818244873864982,0.0146984429765195,0.123963021020623,0.0430936621378752,0.897963619994114,0.0131069590409523,0.0330269873475998,0.0559024336173341,0.781578471594349,0.00680077624227613,0.0170269633551341,0.19459378880824
"73",0.886581327457254,0.00925788882755977,0.0408433513932055,0.0633174323219811,0.814605071953675,0.0151301965082442,0.126061426746278,0.0442033047918029,0.895411602884999,0.0135137331274115,0.0336402477576208,0.0574344162299689,0.776531627139465,0.00698641639869297,0.0172802496160421,0.1992017068458
