"","vacvac","vaccrem","vacliom","cremvac","cremcrem","cremliom","liomvac","liomcrem","liomliom"
"138",0.594739484375222,0.109002336742508,0.29625817888227,0.501468377147831,0.0268733314259916,0.189797306043267,0.347489048478268,0.0307636761230324,0.6217472753987
"139",0.58807844943765,0.110095749117579,0.30182580144477,0.495333147275745,0.0271144998799253,0.193161871695098,0.340835974235039,0.0308225656025915,0.62834146016237
"140",0.581381436305422,0.111178982889851,0.307439580804727,0.489194917979404,0.0273534678374325,0.196554717178367,0.334244290623631,0.0308754720473386,0.634880237329031
"141",0.574650736993552,0.112251396860047,0.313097866146401,0.483055534984218,0.0275901314371012,0.199975189979688,0.3277159815568,0.0309224203378069,0.641361598105394
"142",0.567888695279689,0.113312353369244,0.318798951351067,0.476916848223824,0.0278243880671382,0.203422619021195,0.321252938931924,0.0309634409657628,0.647783620102313
"143",0.5610977036808,0.114361219346725,0.324541076972475,0.470780709619318,0.0280561364945274,0.20689631539748,0.314856961324163,0.0309985698788032,0.654144468797034
"144",0.554280200276012,0.115397367361087,0.3303224323629,0.464648970849459,0.0282852769920584,0.210395573146022,0.308529752941422,0.031027848315056,0.660442398743522
"145",0.547438665383791,0.116420176671173,0.336141157945036,0.458523481117544,0.0285117114628967,0.213919670049184,0.302272922837427,0.0310513226288317,0.666675754533741
"146",0.540575618102379,0.117429034273365,0.341995347624256,0.45240608492065,0.0287353435623722,0.217467868465809,0.296087984378122,0.0310690441080844,0.672842971513794
"147",0.53369361272321,0.118423335941724,0.347883051335065,0.44629861982698,0.0289560788166705,0.221039416190279,0.28997635495564,0.0310810687845535,0.678942576259806
"148",0.526795235027641,0.119402487257447,0.353802277714912,0.440202914266975,0.0291738247381254,0.224633547336876,0.283939355943142,0.0310874572374572,0.684973186819401
"149",0.519883098478043,0.120365904624115,0.359750996897842,0.434120785343849,0.0293884909368187,0.228249483247124,0.277978212882972,0.0310882743916076,0.69093351272542
"150",0.512959840314864,0.121313016265241,0.365727143419895,0.428054036669109,0.0295999892282086,0.231886433417785,0.272094055899846,0.031083589310812,0.696822354789342
