"","beta.1.1","beta.1.2","beta.1.3","beta.1.4"
"766",-3.15927382645306,-3.31014513586544,-3.14361930184707,-3.4122941927418
"767",1.08968921391703,0.947530298812052,1.11515937417727,0.88665748443202
"768",1.35493187713801,1.19727778995171,1.38364446936322,1.12954837941633
"769",-0.768591840835493,-0.907226306869988,-0.745566311184778,-0.971593500747166
"770",1.80675376082776,1.64742034142395,1.82108494888347,1.57564705342973
"771",2.47233397019356,2.30399869356331,2.49753903905219,2.25825630334269
"772",0.947529403498605,0.797280427990586,0.96865549199305,0.728337739288037
"773",-3.40101700076473,-3.55473331481889,-3.3762604640635,-3.62821021671617
"774",1.31916564374438,1.19081018264968,1.35433775412911,1.1094292596084
"775",-2.62354687775088,-2.74209684220771,-2.59051199129978,-2.82659285427717
"776",1.93732337412908,1.79929871476899,1.96091048146916,1.74149175545308
"777",0.946111323111777,0.799005039704147,0.975774515884812,0.714819656023447
"778",-3.84659140302851,-3.98985548510098,-3.81508543504647,-4.05748633545231
"779",3.13229462828788,2.98124644763953,3.16443075498934,2.8824052369748
"780",-0.841940334408718,-1.00026803830013,-0.811393019690625,-1.05473815854079
"781",-1.63975851787137,-1.78134520862941,-1.61205065160718,-1.83812789362404
"782",-0.0373676261939173,-0.203866878051871,-0.0223174247885101,-0.254352931449333
"783",2.87987006338536,2.72581457258709,2.90283591405799,2.68870447893674
"784",-2.07621280971112,-2.24016899609264,-2.05604917434588,-2.29634938829661
"785",0.527297547144208,0.373041078082226,0.556406606418838,0.343514445529597
"786",-1.7676881496384,-1.91656376331531,-1.73691583907656,-1.97984307496024
"787",2.50006732307415,2.36794777599618,2.52427970406567,2.31461993855449
"788",4.44171315038558,4.31414901217253,4.46736270252671,4.22438998620503
"789",-1.27221627446277,-1.40694894946988,-1.24353286669903,-1.47628173423137
"790",-1.89573598388324,-2.05768920612956,-1.87381307482003,-2.1356417064671
"791",0.951857688428604,0.788846564773533,0.970725673539336,0.72109022649797
"792",2.99723680246249,2.85437253761457,3.01654165965763,2.78895367501602
"793",1.45769044701932,1.3229117866391,1.465584962178,1.22140385700179
"794",-0.364612972642041,-0.509347631171817,-0.328040943510905,-0.566282942411512
"795",-1.62666092799187,-1.76111277958182,-1.58957917331161,-1.8294175180137
"796",2.40585378087005,2.268421801137,2.4222313360556,2.24772709913002
"797",1.9329403477919,1.80012532768772,1.96414871881714,1.71701931827704
"798",2.04935830052864,1.89901129762108,2.06597391385904,1.84072540281657
"799",0.365541522184967,0.221421503593786,0.390715239917894,0.17473383661901
"800",2.58836870547539,2.43896494991016,2.6152068255952,2.37769026698056
"801",-0.193145163408588,-0.34491716872393,-0.163931386786308,-0.410619380835927
"802",-4.78188260276208,-4.92251695820895,-4.76364512078485,-4.99052092406553
"803",0.3663948008112,0.199613643533124,0.387576375308604,0.147352606354725
"804",1.22017420122005,1.0634964136409,1.24808892902989,1.00993042293452
"805",1.55185885717534,1.4147053140795,1.57314725715847,1.33602536506219
"806",0.274450009542621,0.117547873906987,0.294056849920125,0.0657296059807583
"807",-1.22849727024387,-1.37618494259037,-1.19971420872438,-1.45762317046397
"808",1.67416483985505,1.50368973321552,1.6915102402048,1.41645286528048
"809",-1.21851339058619,-1.35497078141563,-1.19543942245338,-1.43908561937875
"810",0.374314827021762,0.237253287306923,0.393407946032521,0.130066451945204
"811",2.52730643407563,2.40473909934076,2.55049397571026,2.30965517818844
"812",0.913687996361144,0.776236222162731,0.932329638354249,0.699663384992774
"813",-0.839289154243196,-0.975446265754345,-0.803890221396319,-1.03986125195821
"814",-1.47486535603349,-1.60552277759332,-1.45538225697395,-1.70433476947711
"815",-1.61470716244325,-1.7601966731006,-1.59796743122383,-1.82814129651463
"816",-0.544955253049119,-0.698819822737229,-0.519588714477428,-0.740683916866805
"817",1.45596891363368,1.30485625049745,1.48619009048787,1.2217651955531
"818",0.254179768826067,0.128901888531707,0.288484139043119,0.0539447888962835
