"","none","cremvac","liomvac","othervac","liomcremvac","liomvacother","othercremvac","all"
"1",0.762866957373832,0.769739847041111,0.782924849452409,0.751230429378675,0.773033306314265,0.782438557575285,0.775930586900343,0.790822692629417
"2",0.816997463964537,0.828951827073752,0.835782010050238,0.821460821302432,0.851037675304169,0.833861772229243,0.823808158665844,0.820650617926871
"3",0.817949973670044,0.819706198520435,0.836487170482178,0.810062330412232,0.847309608297444,0.845555429096417,0.815352214941725,0.858450224348625
"4",0.817991637019912,0.826603806129865,0.825447279854007,0.825672737019985,0.841507578503136,0.829928303023689,0.825457416667761,0.834772233536986
"5",0.842200795484017,0.852240427360429,0.875327386735856,0.866990602984533,0.887549891552954,0.879354779984132,0.876809767212794,0.890769538329715
"6",0.875232197835638,0.880485549296795,0.899156984927554,0.874893179772132,0.905089880209246,0.895971244817872,0.880162684391573,0.900630721905962
"7",0.735440731510319,0.757873242925508,0.77596179503225,0.727878360799732,0.791694611484913,0.764968629161075,0.753947102285868,0.765929162842406
"8",0.788169068412581,0.826810671087644,0.829161946282908,0.811842073422294,0.831089595773969,0.817207845500503,0.792550793792507,0.81705112754642
"9",0.834682569797961,0.818471792666602,0.85591101606755,0.831560224418879,0.865392611874378,0.849395888184204,0.838836027213932,0.864625862807166
"10",0.853439563544231,0.855390538109224,0.875235747646751,0.849518109652045,0.882125788716935,0.879379732739549,0.851156468789417,0.875925387000793
"11",0.775332917197556,0.800523229754563,0.792810846522964,0.781620820972958,0.824132784110988,0.80512640865381,0.802486349344825,0.818529524143636
"12",0.860179649961571,0.864432283203571,0.896261832338593,0.859351090049427,0.903564320538908,0.895122669440729,0.861656889856061,0.895749885575072
"13",0.880270005146404,0.8739805974586,0.89290014883908,0.873949741154673,0.903384929003782,0.888930809893999,0.882424277423709,0.895661259625693
"14",0.679406956569308,0.694153725302722,0.727483531348904,0.705804650145847,0.744417210467258,0.710950793177651,0.707815142673631,0.733242680975963
"15",0.855481379580524,0.857352003275354,0.87868980936269,0.851412182456507,0.871827027727282,0.865765394912919,0.863579449605421,0.883169447397778
"16",0.799370797534127,0.822147470658651,0.812542541798732,0.825083764026658,0.841663128352002,0.810856761278529,0.810001001125825,0.84220244375465
"17",0.771635419119872,0.797758368129485,0.794123728251012,0.786855431388261,0.825322494427325,0.805831951451941,0.807342155442629,0.820664230904877
