"","none","cremvac","liomvac","othervac","liomcremvac","liomvacother","othercremvac","all"
"1",0.762866957373832,0.804945716192459,0.795495597676984,0.756323439982918,0.779145164074286,0.797417867728357,0.799597734997952,0.790822692629417
"2",0.816997463964537,0.84217605009866,0.847445380700743,0.832041489683258,0.854835128905937,0.845995178094105,0.835005125460066,0.820650617926871
"3",0.817949973670044,0.858685685282467,0.852686917666065,0.83624233983199,0.853914479426172,0.863832530934633,0.84739656806204,0.858450224348625
"4",0.817991637019912,0.856135922129809,0.830287662663378,0.833160904927536,0.844213078095604,0.836177602298994,0.847131496128092,0.834772233536986
"5",0.842200795484017,0.886055777105291,0.884486950854256,0.892215905454226,0.891907138768669,0.890030280070559,0.904012873644929,0.890769538329715
"6",0.875232197835638,0.898702091801788,0.906079986648379,0.891498043799326,0.907159758942491,0.905053988145514,0.89600819359385,0.900630721905962
"7",0.735440731510319,0.788621028397125,0.793057098548548,0.752598583886384,0.798030134452126,0.783134552722944,0.783469996520586,0.765929162842406
"8",0.788169068412581,0.862130009068598,0.836613453334494,0.823751192680334,0.834668394907454,0.827041612381899,0.818635458073519,0.81705112754642
"9",0.834682569797961,0.859390459000293,0.864916972476037,0.858118063602029,0.868193238929437,0.86266578342251,0.870767309685927,0.864625862807166
"10",0.853439563544231,0.893662518657463,0.891345840161172,0.882526061422855,0.88938981021684,0.896355498408784,0.887168633963541,0.875925387000793
"11",0.775332917197556,0.8302388308354,0.806204915662332,0.791220813889089,0.82981559944236,0.818124371340994,0.825511535044652,0.818529524143636
"12",0.860179649961571,0.893199767805302,0.90779121633231,0.891364753401552,0.908134191089911,0.910034163533488,0.892287602662023,0.895749885575072
"13",0.880270005146404,0.902002889849431,0.900590807696417,0.890057651527491,0.907108091234405,0.897162997763967,0.903795751290024,0.895661259625693
"14",0.679406956569308,0.735578258471443,0.746636319284371,0.747767892782082,0.748648468037341,0.735143249083681,0.74463694906396,0.733242680975963
"15",0.855481379580524,0.884576455265421,0.88863341324499,0.878897247046229,0.876117226604524,0.880384184571076,0.887255772658132,0.883169447397778
"16",0.799370797534127,0.851999688566354,0.822940970788267,0.848806019976072,0.844408134979356,0.822749568236025,0.836707313625323,0.84220244375465
"17",0.771635419119872,0.823999459323706,0.811221559573499,0.793454493978485,0.831098351836821,0.82549737545239,0.825682436787679,0.820664230904877
"18",0.845840078412184,0.884055350231646,0.878668314555632,0.874555872042997,0.877331856238082,0.892781538226137,0.90300590044953,0.88196498734655
"19",0.775371451913691,0.85048400470309,0.812877149640624,0.844263429463173,0.834013094638453,0.836936736987241,0.851384269826217,0.84724823117526
"20",0.767525524498051,0.802190247663949,0.81303847925655,0.792863207178472,0.794654325301059,0.801061100853994,0.791294243723302,0.814654290047368
"21",0.802436525486651,0.781571879942296,0.812852682704224,0.783953883548493,0.796949678410103,0.81333784112934,0.804092820514674,0.7999063022313
"22",0.662017125229903,0.724030598152363,0.729966894857325,0.721971741651751,0.706723485954901,0.727222551048493,0.724550487185344,0.731621272057849
"23",0.82890538569322,0.842316910295842,0.858220164520442,0.854740062232167,0.846905071169409,0.854811152013821,0.867446361961268,0.848124408622362
"24",0.82610086359073,0.877216603617393,0.862666429507713,0.869953288701237,0.883974651419117,0.881159603084862,0.867403548042204,0.881524405925426
"25",0.791353436560976,0.817537300074231,0.798926041873616,0.79975916654727,0.798479745919927,0.796604209615149,0.822481288529277,0.83160106840595
"26",0.805448505789252,0.833105912316665,0.831012439952012,0.820045404471493,0.845172520559101,0.811447098872063,0.833127546796386,0.828621153012116
"27",0.810837764251436,0.877303906232808,0.858452256515712,0.837725067356705,0.866419064033539,0.866759022266757,0.87518280981152,0.86743531138446
"28",0.771556716931452,0.818842643099206,0.834782975071554,0.823908774875452,0.847037079437943,0.828776012619206,0.815659639024159,0.827659480486746
"29",0.786136997523076,0.828241216327862,0.825820967132662,0.793294646404889,0.825539545568916,0.84645911614536,0.838684351375795,0.818373855685983
"30",0.773141105100537,0.853662282079023,0.836318564306704,0.861161845369054,0.855245152198928,0.842542046401091,0.841656990631334,0.849339384233112
"31",0.831609564020928,0.883988418848324,0.866187360077748,0.874986818898944,0.878920653782589,0.882849264362097,0.870745206665656,0.868799401444785
"32",0.730197541628964,0.769409992206626,0.760221466828114,0.727049631056908,0.740866444323912,0.744206989017766,0.753381247275385,0.769811182210352
"33",0.68875588665008,0.743826692226748,0.754240976364372,0.729825080070474,0.762488079243384,0.758270182479394,0.73594950803886,0.755392532246488
"34",0.876364402141663,0.897063968905575,0.885967858687014,0.864416728053658,0.889578960580823,0.876912442465543,0.883848744148731,0.887268141465764
"35",0.723434350683673,0.797340615143259,0.758448235595569,0.741941081179098,0.764966023019006,0.775272252590228,0.757965056054697,0.755263176563122
"36",0.649542045899628,0.686798198383932,0.693042863451126,0.665854168866086,0.721702550299996,0.711243666150595,0.696424936690258,0.710742532634891
"37",0.722580525828006,0.761265761537297,0.755462719121356,0.721166586355131,0.765589264532193,0.75217492595624,0.748004682932794,0.767757085417738
"38",0.694705699842222,0.747747113995861,0.724331065059754,0.734125509331316,0.725422595280328,0.723082545655809,0.734701154163798,0.742391685772041
"39",0.857143938112711,0.889969434820929,0.888880205276717,0.889485793949873,0.887191522373147,0.899706369870656,0.889512819636251,0.89262062507219
"40",0.803845377783439,0.848638434104,0.849876347960388,0.813583013864106,0.862966370085938,0.85561568351422,0.844017507187341,0.864199107689086
"41",0.746854169012834,0.788925868340473,0.785084979854385,0.806603445334704,0.792589757473799,0.8141302960001,0.787902128574481,0.818920825372667
"42",0.72918650992392,0.805301558971335,0.788707062421313,0.769599724426818,0.800957412171452,0.778097460276084,0.78400055560799,0.783161086596877
"43",0.821112114662873,0.862951260413903,0.850694678335413,0.838380013765568,0.846873106684261,0.827195629422523,0.853287594902151,0.843788035362216
"44",0.786659270859954,0.817905456390321,0.815447117991456,0.809395251782162,0.816490960154455,0.826412668844202,0.826768019102653,0.828229813435616
"45",0.785743770295251,0.847016576622039,0.839212365879256,0.838843682839026,0.846440070859772,0.848895659448558,0.842374351107209,0.835570033587856
"46",0.863375775489552,0.902003883098535,0.906544736865172,0.888935957112254,0.900449606831208,0.904222001494067,0.894581391334463,0.893436596868137
"47",0.777426666666603,0.831768447206549,0.835350358702551,0.837261585780319,0.845602266729983,0.831565728669734,0.825516813915256,0.846558194771978
"48",0.763909097698765,0.794411913680103,0.826058210619616,0.748621652643259,0.810702288212607,0.800792602566636,0.795950353315976,0.782189195063168
"49",0.756912996683041,0.768304916027955,0.784707577560113,0.776219745049438,0.770981668169265,0.756820365225826,0.787684479512233,0.787224768369995
"50",0.773188430959397,0.797899794035443,0.79937726641901,0.782073562889331,0.792580905608232,0.791437819107837,0.791123146260393,0.785326131078943
"51",0.841846838639347,0.874136151115253,0.864790479421648,0.890565747298581,0.879503384777383,0.87192074845452,0.888471414735826,0.875691432217217
"52",0.766684681543022,0.778837308056258,0.774930664353663,0.80291807621742,0.782225424498489,0.799983444420103,0.805675734538518,0.783138381461859
"53",0.809310246744793,0.86688809934922,0.833280924897631,0.84032547457465,0.841495567622025,0.845274554293798,0.860928570636452,0.852140056203991
"54",0.756909694247265,0.802880320188766,0.780900252210707,0.791470059650916,0.810160884477689,0.80653509338981,0.805480020353963,0.78519792064827
"55",0.797168553263622,0.863027448537142,0.840058607647074,0.855932096655511,0.848105393226804,0.872885322591958,0.855747999052767,0.860326588463128
"56",0.796586368704987,0.849654514456301,0.81903611829562,0.837193029198856,0.834050149286198,0.830035755261935,0.848420040179488,0.827982790077116
"57",0.749036238104906,0.780937267239987,0.787587287951139,0.768094015372015,0.790975227088401,0.785946002092184,0.769864189854482,0.801752634234818
"58",0.836657526543778,0.864167998417933,0.84596647110226,0.825782676194716,0.863246393991352,0.855513253130778,0.861899606319079,0.870852655657954
"59",0.806648360978972,0.871933839686063,0.860605122590601,0.875557559582754,0.872841556558131,0.87148223523516,0.865938345987415,0.875779026397364
"60",0.782367574757739,0.82648846378263,0.832784194888414,0.813057490698913,0.84007274525638,0.83418334424535,0.831147364134317,0.84204100417747
"61",0.772123484313813,0.815276383010796,0.820342183440774,0.815994790733373,0.812084227594175,0.815359918793366,0.820686246120211,0.803910772259421
